0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11314 23366	10	 * 	308.23	橙4易伤3伤害3攻速1时间	1平台2双倍矿378攻速4时间578伤害678a易伤78序列升级9核
2	11314 23361	10	 * 	300.17	橙3易伤3伤害3攻速2时间	1平台2双倍矿378攻速4a时间578伤害678易伤78序列升级9核
3	15314 23361	10	   	300.17	橙3易伤3伤害3攻速2时间	1平台2立即金币378攻速4a时间578伤害678易伤78序列升级9核
4	11314 23361	9	   	285.59	橙3易伤3伤害3攻速1时间	1平台2双倍矿378攻速4时间578伤害678易伤78序列升级9核a低血量敌人
5	11314 23362	10	   	285.59	橙3易伤3伤害3攻速1时间	1平台2a双倍矿378攻速4时间578伤害678易伤78序列升级9核
6	11314 23363	10	   	285.59	橙3易伤3伤害3攻速1时间	1平台2双倍矿378攻速4时间578伤害678易伤78序列升级9核a基地爆炸
7	11314 23364	10	   	285.59	橙3易伤3伤害3攻速1时间	1平台2双倍矿378攻速4时间578伤害678易伤78序列升级9核a最后敌人
8	11314 23365	9	   	285.59	橙3易伤3伤害3攻速1时间	1平台2双倍矿378攻速4时间578伤害678易伤78序列升级9核a最后敌人
9	15314 23361	9	   	285.59	橙3易伤3伤害3攻速1时间	1平台2立即金币378攻速4时间578伤害678易伤78序列升级9核a低血量敌人
10	15314 23362	10	   	285.59	橙3易伤3伤害3攻速1时间	1平台2立即金币378攻速4时间578伤害678易伤78序列升级9核a双倍矿
11	15314 23363	10	   	285.59	橙3易伤3伤害3攻速1时间	1平台2立即金币378攻速4时间578伤害678易伤78序列升级9核a基地爆炸
12	11314 23363	9	   	285.49	橙3易伤3伤害3攻速1时间	1平台2双倍矿378攻速4时间578伤害678易伤78序列升级9核a加一
13	11314 23365	10	   	285.49	橙3易伤3伤害3攻速1时间	1平台2双倍矿378攻速4时间578伤害678易伤78序列升级9核a掉矿
14	15314 23363	9	   	285.49	橙3易伤3伤害3攻速1时间	1平台2立即金币378攻速4时间578伤害678易伤78序列升级9核a加一
15	11314 23364	9	   	285.34	橙3易伤3伤害3攻速1时间1卖塔	1平台2双倍矿378攻速4时间578伤害678易伤78序列升级9核a卖塔
16	11345 23382	10	   	282.89	橙3易伤3伤害3攻速1暴击	1平台2双倍矿378攻速4加一578伤害678易伤78序列升级9暴击a核
17	11314 23535	9	   	282.85	橙4易伤2伤害2攻速1时间	1平台2双倍矿37攻速4时间57伤害679a易伤7序列升级8核
18	11324 26332	10	   	282.85	橙4易伤2伤害2攻速1时间	1平台2双倍矿38攻速4689易伤58伤害7核8序列升级a时间
19	11324 26335	9	   	282.85	橙4易伤2伤害2攻速1时间	1平台2双倍矿38攻速4689易伤58伤害7核8序列升级a时间
20	15324 26332	10	   	282.85	橙4易伤2伤害2攻速1时间	1平台2立即金币38攻速4689易伤58伤害7核8序列升级a时间
21	51333 45231	3	 * 	282.66	橙3易伤3伤害3时间	1随机矿278时间3a基地爆炸478伤害578易伤6平台78序列升级9核
22	51333 45232	3	   	282.66	橙3易伤3伤害3时间	1随机矿278时间3基地爆炸478伤害578易伤6平台78序列升级9核a敌人爆炸
23	51333 45233	3	   	282.66	橙3易伤3伤害3时间	1随机矿278时间3基地爆炸478伤害578易伤6平台78序列升级9核a矿等
24	51334 23231	7	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a最后敌人
25	51334 23232	7	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3a基地爆炸4卖塔578伤害678易伤78序列升级9核
26	51334 23233	7	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a低血量敌人
27	51334 23234	7	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a敌人爆炸
28	51334 23331	8	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a最后敌人
29	51334 23332	8	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3a基地爆炸4卖塔578伤害678易伤78序列升级9核
30	51334 23333	8	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a低血量敌人
31	51334 23334	8	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a敌人爆炸
32	51334 25231	6	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a最后敌人
33	51334 25232	6	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3a基地爆炸4卖塔578伤害678易伤78序列升级9核
34	51334 25233	6	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a低血量敌人
35	51334 35231	5	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a最后敌人
36	51334 35232	5	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3a基地爆炸4卖塔578伤害678易伤78序列升级9核
37	51334 35233	5	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a低血量敌人
38	51434 23231	7	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3敌人爆炸4卖塔578伤害678易伤78序列升级9核a最后敌人
39	51434 23232	7	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3敌人爆炸4卖塔578伤害678易伤78序列升级9核a基地爆炸
40	51434 23233	7	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3敌人爆炸4卖塔578伤害678易伤78序列升级9核a矿等
41	51434 23331	8	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3敌人爆炸4卖塔578伤害678易伤78序列升级9核a最后敌人
42	51434 23332	8	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3敌人爆炸4卖塔578伤害678易伤78序列升级9核a基地爆炸
43	51434 23333	8	   	282.42	橙3易伤3伤害3时间1卖塔	1随机矿278时间3敌人爆炸4卖塔578伤害678易伤78序列升级9核a矿等
44	51334 23235	7	   	282.32	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a挖尘
45	51334 23335	8	   	282.32	橙3易伤3伤害3时间1卖塔	1随机矿278时间3基地爆炸4卖塔578伤害678易伤78序列升级9核a挖尘
46	65223 43446	2	   	280.81	橙4易伤3伤害2等级	19等级2459易伤3加一6赏金邻近789伤害9序列升级a核
