0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55334 11223	6	 * 	317.30	橙5易伤3时间2伤害	167时间2雷电37伤害4567a易伤67序列升级8核9掉矿
2	33335 11135	9	 * 	311.69	橙5易伤3伤害1等级2雷电	1加一29雷电369伤害45679易伤69序列升级8核a等级
3	64324 11323	6	   	309.41	橙4易伤3时间2伤害3雷电	167雷电258a易伤37伤害467时间67序列升级9核
4	55334 11221	6	   	307.42	橙4易伤3时间2伤害	167时间2雷电37伤害4567易伤67序列升级8核9掉矿a全技能
5	33335 11138	9	   	306.44	橙5易伤3伤害2雷电1攻速	1加一29雷电369伤害45679易伤69序列升级8核a攻速
6	33337 14263	6	   	305.10	橙5易伤3伤害2雷电	1加一29雷电356伤害45679易伤569序列升级8全技能a核
7	55334 11233	6	   	304.31	橙4易伤3时间2伤害2雷电	167时间2a雷电37伤害4567易伤67序列升级8核9双倍物品
8	33237 36173	8	 * 	302.60	橙4易伤3时间3攻速3雷电	1加一29a雷电357攻速459a易伤59a序列升级69a时间8核
9	64324 11322	6	 * 	302.43	橙3易伤3伤害3时间3雷电	167雷电258易伤37a伤害467时间67序列升级9核
10	33335 11235	6	   	301.81	橙4易伤3伤害1时间2雷电	1加一27雷电367伤害4567易伤67序列升级8全技能9核a时间
11	33335 17235	7	   	301.81	橙4易伤3伤害1时间2雷电	1加一27雷电367伤害4567易伤67序列升级8全技能9核a时间
12	55234 11223	6	 * 	300.86	橙5易伤3时间2攻速	167时间2雷电37攻速4567a易伤67序列升级8核9掉矿
13	66334 11122	6	   	300.55	橙5易伤3伤害3雷电	167雷电2基地爆炸37a伤害45678易伤67序列升级9核
14	33335 11132	10	   	300.45	橙5易伤3伤害3雷电	1加一29a雷电369伤害45679易伤69序列升级8核
15	33335 11132	9	   	300.45	橙5易伤3伤害3雷电	1加一29a雷电369伤害45679易伤69序列升级8核
16	64335 11132	9	   	300.45	橙5易伤3伤害3雷电	19a雷电25679易伤369伤害4加一69序列升级8核
17	64335 11132	10	   	300.45	橙5易伤3伤害3雷电	19a雷电25679易伤369伤害4加一69序列升级8核
18	55334 11231	6	   	297.76	橙4易伤3时间2伤害	167时间2雷电37伤害4567易伤67序列升级8核9双倍物品a低血量敌人
19	55334 11232	6	   	297.66	橙4易伤3时间2伤害	167时间2雷电37伤害4567易伤67序列升级8核9双倍物品a赏金塔
20	55334 31223	6	   	297.66	橙4易伤3时间2伤害	167时间2雷电37伤害457a易伤7序列升级8核9掉矿
21	33335 11231	6	   	296.56	橙4易伤3伤害2雷电1攻速	1加一27雷电367伤害4567易伤67序列升级8全技能9核a攻速
22	33335 17231	7	   	296.56	橙4易伤3伤害2雷电1攻速	1加一27雷电367伤害4567易伤67序列升级8全技能9核a攻速
23	64335 11231	6	   	296.56	橙4易伤3伤害2雷电1攻速	17雷电2567易伤367伤害4加一67序列升级8全技能9核a攻速
24	33337 11183	8	   	295.54	橙5易伤3伤害2雷电	1加一2a雷电356伤害4569a易伤56a序列升级7a敌人爆炸8核
25	33335 11131	9	   	295.44	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a低血量敌人
26	33335 11131	10	   	295.44	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a金币生成
