0	Index      	 *	Score 	Summary	Detail	
1	41522 11623	 * 	302.80	DCR|4VULN|2TLV|3DUR	139aVULN|2CGEN|4RPLT|56aDUR|7RCR|8aTLV|aBPWR
2	23442 12134	 * 	301.32	ACR|3VULN|2TLV|1AEFBLL|1DMG	1AEWIND|2RCR|3AEFBLL|4aTLV|569VULN|7RAT|8DMG
3	11622 36334	 * 	296.92	DCR|2TLV|2VULN|3DMG|1CDMG	1BELT|278DMG|35VULN|458LWND|58BPWR|68TLV|9RCR|aCDMG
4	66412 54341	 * 	295.43	ACR|3VULN|1TLV|3ASPD|3RAT	179RAT|2MBVNT|3RCR|4TLV|579VULN|679ASPD|79BPWR|8MDPS|aDUR
5	41522 31623	   	294.31	DCR|4VULN|2TLV|2DUR	139aVULN|2CGEN|46RPLT|5aDUR|7RCR|8aTLV|aBPWR
6	66412 54334	 * 	294.01	ACR|3VULN|2TLV|2ASPD|2RAT	17RAT|2MBVNT|3RCR|49TLV|57aVULN|67ASPD|7BPWR|8MDPS
7	23633 41141	 * 	293.19	ACR|DCR|2VULN|1TLV|1AART	1AEWIND|2aRCR|3RPLT|4TLV|5AART|67VULN|8BLAICY|9LWND
8	23623 11115	 * 	292.26	ACR|DCR|2TLV|1VULN|1AART	1AEWIND|27RCR|3RPLT|4CGEN|5AART|68TLV|9DUR|aVULN
9	23633 61115	   	292.26	ACR|DCR|2TLV|1VULN|1AART	1AEWIND|27RCR|3RPLT|48TLV|5AART|6CGEN|9DUR|aVULN
10	11632 14215	 * 	292.20	DCR|3VULN|2TLV|2DMG	1BELT|29DMG|369VULN|45TLV|7BEXP|89TSLFST|9BPWR|aRCR
11	23426 35323	 * 	290.38	ACR|2VULN|1TLV|3DMG|1AEFBLL|1CDMG	1AEWIND|2RCR|3AEFBLL|48VULN|567DMG|9CDMG|aTLV
12	23426 35212	   	290.38	ACR|2VULN|1TLV|3DMG|1AEFBLL|1ASPD	1AEWIND|2RCR|3AEFBLL|4aVULN|567DMG|8TLV|9ASPD
13	23426 12334	   	288.77	ACR|3VULN|1TLV|1AEFBLL|1DMG|1ASPD	1AEWIND|2RCR|3AEFBLL|469VULN|5DMG|7RAT|8ASPD|aTLV
14	61142 14322	 * 	288.07	DCR|3TLV|3VULN|3RAT	18aRAT|258TLV|37RCVC|4MDPS|68aVULN|8aBPWR|9RCR
15	66412 54141	   	287.87	ACR|3VULN|1TLV|2ASPD|1DMG|2RAT	17RAT|2MBVNT|3RCR|4TLV|57aVULN|67ASPD|7BPWR|8DUST|9DMG
16	66413 42347	 * 	287.87	ACR|3TLV|3VULN|3RAT	159RAT|2MBVNT|3RCR|49aTLV|69aVULN|7NUKE|8MDPS|9aBPWR
17	23633 43351	   	286.15	ACR|DCR|2VULN|1TLV|1AART	1AEWIND|2aRCR|3RPLT|4TLV|5AART|68VULN|7FEWX|9BASICY
18	23633 21115	   	286.12	ACR|DCR|1TLV|1VULN|1AEBURN|1AART	1AEWIND|27RCR|3RPLT|4TLV|5AART|6RMIN|8AEBURN|9DUR|aVULN
19	66412 54343	   	285.76	ACR|3VULN|1TLV|3ASPD|3RAT	179RAT|2MBVNT|3RCR|4TLV|579VULN|679ASPD|79BPWR|8MDPS|aAAC
20	66412 54344	   	285.76	ACR|3VULN|1TLV|3ASPD|3RAT	179RAT|2MBVNT|3RCR|4TLV|579VULN|679ASPD|79BPWR|8MDPS|aRCVC
21	66412 54241	   	285.66	ACR|3VULN|1TLV|3ASPD|3RAT	178RAT|2MBVNT|3RCR|4TLV|57aVULN|679ASPD|7BPWR
22	66412 54342	   	285.66	ACR|3VULN|1TLV|3ASPD|3RAT|1MSE	179RAT|2MBVNT|3RCR|4TLV|579VULN|679ASPD|79BPWR|8MDPS|aMSE
23	11632 12353	   	284.08	DCR|3VULN|2TLV|1DMG	1BELT|2DMG|369VULN|45TLV|7AME|8RCR|aNUKE
24	45331 16333	   	284.08	DCR|3VULN|2TLV|1DMG	169VULN|2BELT|34TLV|5MLV|7DMG|8RCR|aNUKE
25	11622 36331	   	283.27	DCR|2TLV|2VULN|3DMG	1BELT|278DMG|35VULN|458LWND|58BPWR|68TLV|9RCR|aLHND
26	11622 36335	   	283.27	DCR|2TLV|2VULN|3DMG	1BELT|278DMG|35VULN|458LWND|58BPWR|68TLV|9RCR|aLIT
27	11622 36332	   	283.17	DCR|2TLV|2VULN|3DMG	1BELT|278DMG|35VULN|458LWND|58BPWR|68TLV|9RCR|aLEGI
28	11622 36333	   	283.17	DCR|2TLV|2VULN|3DMG	1BELT|278DMG|35VULN|458LWND|58BPWR|68TLV|9RCR|aDUST
29	66233 33335	 * 	282.77	DCR|2TLV|2VULN|2ASPD|1DMG	1RAT|2MBVNT|3aASPD|4LIT|5DMG|6aVULN|7DUST|8RCR|9aTLV|aBPWR
30	23623 11145	   	282.60	ACR|DCR|2TLV|1VULN|1AART	1AEWIND|27RCR|3RPLT|4CGEN|5AART|68TLV|9FEWX|aVULN
31	23623 11155	   	282.50	ACR|DCR|2TLV|1VULN|1AART	1AEWIND|27RCR|3RPLT|4CGEN|5AART|68TLV|9DUST|aVULN
