0	Index      	 *	Score 	Summary	Detail	
1	66321 23252	 * 	295.10	DCR|DCR|2VULN|2DUR|1TLV|1AART	1BELT|24DUR|34VULN|4BPWR|5BLASTR|6DMSP|78RCR|9AART|aTLV
2	66321 23226	 * 	291.03	DCR|DCR|3VULN|2DUR|1AART	1BELT|24DUR|349VULN|4BPWR|5BLASTR|6DMSP|78RCR|aAART
3	66331 23252	   	282.54	DCR|DCR|2VULN|1TLV|1DUR|1AART	1BELT|2DUR|34VULN|5BLASTR|6DMSP|78RCR|9AART|aTLV
4	66321 23242	   	281.35	DCR|DCR|2VULN|2DUR|1TLV	1BELT|24DUR|34VULN|4BPWR|5BLASTR|6DMSP|78RCR|9BBNT|aTLV
5	66331 23226	   	278.48	DCR|DCR|3VULN|1DUR|1AART	1BELT|2DUR|349VULN|5BLASTR|6DMSP|78RCR|aAART
6	66321 23216	   	277.38	DCR|DCR|3VULN|2DUR	1BELT|24DUR|34aVULN|4BPWR|5BLASTR|6DMSP|78RCR|9CGEN
7	66321 23221	   	277.38	DCR|DCR|3VULN|2DUR	1BELT|24DUR|349VULN|4BPWR|5BLASTR|6DMSP|78RCR|aRPLT
8	66321 23222	   	277.38	DCR|DCR|3VULN|2DUR	1BELT|24DUR|349VULN|4BPWR|5BLASTR|6DMSP|78RCR|aRMIN
9	66321 23225	   	277.38	DCR|DCR|3VULN|2DUR	1BELT|24DUR|349VULN|4BPWR|5BLASTR|6DMSP|78RCR|aFEWX
10	66321 23223	   	277.28	DCR|DCR|3VULN|2DUR	1BELT|24DUR|349VULN|4BPWR|5BLASTR|6DMSP|78RCR|aMBVNT
11	66321 23224	   	277.28	DCR|DCR|3VULN|2DUR	1BELT|24DUR|349VULN|4BPWR|5BLASTR|6DMSP|78RCR|aAEBURN
12	66321 23214	 * 	275.31	DCR|DCR|2VULN|2DUR|1DMG	1BELT|24DUR|34VULN|4BPWR|5BLASTR|6DMSP|78RCR|9CGEN|aDMG
13	66321 23232	   	275.21	DCR|DCR|2VULN|2DUR|1DMG	1BELT|24DUR|34VULN|4BPWR|5BLASTR|6DMSP|78RCR|9DUST|aDMG
14	63321 23252	   	268.99	DCR|DCR|2VULN|1TLV|1AART	1BELT|24FEWX|34VULN|4BPWR|5BLASTR|6DMSP|78RCR|9AART|aTLV
15	63331 23252	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1BELT|2FEWX|34VULN|5BLASTR|6DMSP|78RCR|9AART|aTLV
16	66321 23251	   	268.89	DCR|DCR|2VULN|2DUR|1AART	1BELT|24DUR|34VULN|4BPWR|5BLASTR|6DMSP|78RCR|9AART|aLHND
17	66321 23253	   	268.89	DCR|DCR|2VULN|2DUR|1AART	1BELT|24DUR|34VULN|4BPWR|5BLASTR|6DMSP|78RCR|9AART|aCGEN
18	62321 23252	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1BELT|24DUST|34VULN|4BPWR|5BLASTR|6DMSP|78RCR|9AART|aTLV
19	62331 23252	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1BELT|2DUST|34VULN|5BLASTR|6DMSP|78RCR|9AART|aTLV
20	66331 23242	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1BELT|2DUR|34VULN|5BLASTR|6DMSP|78RCR|9BBNT|aTLV
21	66321 23233	 * 	266.59	DCR|DCR|2VULN|3DUR	1BELT|24aDUR|34VULN|4BPWR|5BLASTR|6DMSP|78RCR|9DUST
