0	Index      	 *	Score 	Summary	Detail	
1	12353 53361	 * 	296.72	ACR|DCR|3VULN|2DMG|1TLV|1MLV	17RCR|2MLV|35DMG|4TLV|6MSLFST|89aVULN
2	34332 34622	 * 	282.54	DCR|DCR|2VULN|1TLV|1DUR|1AART	15VULN|2AETHUN|3AART|45LIT|5BPWR|6TLV|7DUR|8aRCR|9MBVNT
3	15333 53361	   	281.01	ACR|DCR|3VULN|2DMG|1TLV	17RCR|2TLV|35DMG|4ERES|6MSLFST|89aVULN
4	11224 25621	 * 	278.02	ACR|DCR|2VULN|2TLV|2DUR|2CDMG	1aRCR|2DMSP|37CDMG|4BEXP|57VULN|67TLV|7BPWR|89DUR
5	11226 15621	   	278.02	ACR|DCR|2VULN|2TLV|2DUR|2CDMG	1aRCR|2DMSP|37CDMG|4BEXP|57TLV|67VULN|7BPWR|89DUR
6	13224 25621	   	278.02	ACR|DCR|2VULN|2TLV|2DUR|2CDMG	1aRCR|2RCVC|37CDMG|4BEXP|57VULN|67TLV|7BPWR|89DUR
7	13226 15621	   	278.02	ACR|DCR|2VULN|2TLV|2DUR|2CDMG	1aRCR|2RCVC|37CDMG|4BEXP|57TLV|67VULN|7BPWR|89DUR
8	12353 53326	 * 	277.68	ACR|DCR|3DMG|1VULN|1TLV|1MLV|1DUR	17RCR|2MLV|35aDMG|4TLV|6MSLFST|8VULN|9DUR
9	23316 23452	 * 	275.41	DCR|DCR|2VULN|2DUR|1DMG	19aLHND|2FLTFST|39VULN|4BEXP|5DMG|67RCR|89DUR|9BPWR
10	23316 23453	   	275.41	DCR|DCR|2VULN|2DUR|1DMG	19LHND|2FLTFST|39VULN|4BEXP|5DMG|67RCR|89DUR|9BPWR|aLIT
11	23334 23452	   	275.41	DCR|DCR|2VULN|2DUR|1DMG	19aLHND|2FLTFST|39VULN|4DMG|5LWND|67RCR|89DUR|9BPWR
12	23334 23453	   	275.41	DCR|DCR|2VULN|2DUR|1DMG	19LHND|2FLTFST|39VULN|4DMG|5LWND|67RCR|89DUR|9BPWR|aLIT
13	23316 23451	   	275.31	DCR|DCR|2VULN|2DUR|1DMG	19LHND|2FLTFST|39VULN|4BEXP|5DMG|67RCR|89DUR|9BPWR|aBBNT
14	23334 23451	   	275.31	DCR|DCR|2VULN|2DUR|1DMG	19LHND|2FLTFST|39VULN|4DMG|5LWND|67RCR|89DUR|9BPWR|aBBNT
15	12353 53331	   	274.58	ACR|DCR|2VULN|2DMG|1TLV|1MLV|1AAC	17RCR|2MLV|35DMG|4TLV|6MSLFST|8aVULN|9AAC
16	12353 53341	   	274.58	ACR|DCR|2VULN|2DMG|1TLV|1MLV	17RCR|2MLV|35DMG|4TLV|6MSLFST|8aVULN|9CGEN
17	12353 53431	   	274.58	ACR|DCR|2VULN|2DMG|1TLV|1MLV	17RCR|2MLV|35DMG|4TLV|6MSLFST|8RMIN|9aVULN
18	12353 53631	   	274.58	ACR|DCR|2VULN|2DMG|1TLV|1MLV	17RCR|2MLV|35DMG|4TLV|6MSLFST|8CGEN|9aVULN
19	12353 53362	   	274.58	ACR|DCR|2VULN|2DMG|1TLV|1MLV	17RCR|2MLV|35DMG|4TLV|6MSLFST|89VULN|aLHND
20	12353 53363	   	274.58	ACR|DCR|2VULN|2DMG|1TLV|1MLV	17RCR|2MLV|35DMG|4TLV|6MSLFST|89VULN|aLIT
21	12353 53311	   	274.48	ACR|DCR|2VULN|2DMG|1TLV|1MLV	17RCR|2MLV|35DMG|4TLV|6MSLFST|8aVULN|9AEWIND
22	12333 53361	   	270.42	ACR|DCR|3VULN|2DMG|1MLV	17RCR|2MLV|35DMG|4ERES|6MSLFST|89aVULN
