0	Index      	 *	Score 	Summary	Detail	
1	31445 46262	 * 	275.11	DCR|DCR|2VULN|1TLV|1DMG	1RAT|2MBVNT|3DUST|4TBNT|57VULN|69RCR|8DMG|aTLV
2	31712 58213	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RAT|2MBVNT|3TLV|4DMG|5CGEN|68RCR|7ERES|9CDMG|aVULN
3	31812 58213	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1RAT|2MBVNT|3MLV|4DMG|5CGEN|68RCR|7ERES|9CDMG|aVULN
4	31712 58223	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2MBVNT|3TLV|4DMG|5CGEN|68RCR|7ERES|9LHND|aVULN
5	31712 58233	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2MBVNT|3TLV|4DMG|5CGEN|68RCR|7ERES|9LWND|aVULN
6	31712 58243	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2MBVNT|3TLV|4DMG|5CGEN|68RCR|7ERES|9LIT|aVULN
7	31543 44262	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2MBVNT|35BEXP|4VULN|69RCR|7TBNT|8DMG|aTLV
8	14261 25321	 * 	248.96	DCR|DCR|2VULN|2CDMG|1AAC|1SELL	17LHND|2CGEN|37VULN|4AAC|57CDMG|6aRCR|7BPWR|8TBNT|9SELL
9	24261 25321	 * 	248.96	DCR|DCR|2VULN|2CDMG|1AAC|1SELL	17FEWX|2CGEN|37VULN|4AAC|57CDMG|6aRCR|7BPWR|8TBNT|9SELL
10	31445 46263	   	248.90	DCR|DCR|2VULN|1DMG	1RAT|2MBVNT|3DUST|4TBNT|57VULN|69RCR|8DMG|aRMIN
11	31445 46264	   	248.90	DCR|DCR|2VULN|1DMG	1RAT|2MBVNT|3DUST|4TBNT|57VULN|69RCR|8DMG|aBEXP
12	31344 47468	 * 	248.90	DCR|DCR|1VULN|2DUR|1DMG	1RAT|2MBVNT|35DUR|4TBNT|69RCR|7DMG|8LWND|aVULN
13	31288 44262	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2MBVNT|3LWND|4VULN|5AEFBLL|69RCR|7TBNT|8DMG|aTLV
14	31445 48262	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	17RAT|2MBVNT|3DUST|4TBNT|5VULN|69RCR|8DMG|aTLV
15	31544 44262	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2MBVNT|3BEXP|4VULN|5AEFBLL|69RCR|7TBNT|8DMG|aTLV
16	14251 25321	 * 	248.86	DCR|DCR|2VULN|2CDMG|1NUKE|1SELL	17LHND|2CGEN|37VULN|4NUKE|57CDMG|6aRCR|7BPWR|8TBNT|9SELL
17	24251 25321	 * 	248.86	DCR|DCR|2VULN|2CDMG|1NUKE|1SELL	17FEWX|2CGEN|37VULN|4NUKE|57CDMG|6aRCR|7BPWR|8TBNT|9SELL
18	31445 46261	   	248.80	DCR|DCR|2VULN|1DMG	1RAT|2MBVNT|3DUST|4TBNT|57VULN|69RCR|8DMG|aMDPS
19	31482 42262	   	248.80	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2MBVNT|35DUST|4VULN|69RCR|7TBNT|8DMG|aTLV
20	31488 42262	   	248.80	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2MBVNT|3DUST|4VULN|5AEFBLL|69RCR|7TBNT|8DMG|aTLV
21	54115 21221	 * 	246.91	DCR|2VULN|3TLV|2DUR|2CDMG|1AART	1MDPS|29VULN|35DUR|459TLV|59BPWR|69CDMG|7RPLT|8RCR|aAART
22	14226 22353	 * 	246.71	ACR|DCR|3VULN|1MLV|1DUR	1LHND|26CGEN|367VULN|49RCR|5DMSP|6BPWR|8DUR|aMLV
23	14226 26133	   	246.71	ACR|DCR|3VULN|1MLV|1DUR	1LHND|26CGEN|369VULN|48RCR|5DMSP|6BPWR|7DUR|aMLV
