0	Index      	 *	Score 	Summary	Detail	
1	21534 13232	 * 	291.03	DCR|DCR|3VULN|1TLV|1CDMG	1AME|2BEXP|347VULN|5LWND|6CDMG|89RCR|aTLV
2	24534 13233	 * 	288.96	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1AME|2TLV|3RMIN|47VULN|5LWND|6CDMG|89RCR|aDMG
3	62636 13233	   	288.96	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1LWND|2AME|3RMIN|47VULN|5TLV|6CDMG|89RCR|aDMG
4	21534 13234	 * 	283.99	DCR|DCR|4VULN|1CDMG	1AME|2BEXP|347aVULN|5LWND|6CDMG|89RCR
5	24534 13232	   	282.54	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	1AME|2TLV|3RMIN|47VULN|5LWND|6CDMG|89RCR|aDUR
6	62231 13232	   	282.54	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	15LWND|2AME|3DUR|47VULN|6CDMG|89RCR|aTLV
7	62233 13232	   	282.54	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	1LWND|2AME|3DUR|47VULN|5RCVC|6CDMG|89RCR|aTLV
8	62531 13232	   	282.54	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	15LWND|2AME|37VULN|4DUR|6CDMG|89RCR|aTLV
9	62533 13232	   	282.54	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	1LWND|2AME|37VULN|4DUR|5RCVC|6CDMG|89RCR|aTLV
10	62636 13232	   	282.54	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	1LWND|2AME|3RMIN|47VULN|5TLV|6CDMG|89RCR|aDUR
11	26233 13232	   	282.34	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	1AME|2LEGI|3DUR|47VULN|5AEPOI|6CDMG|89RCR|aTLV
12	26533 13232	   	282.34	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	1AME|2LEGI|37VULN|4DUR|5AEPOI|6CDMG|89RCR|aTLV
13	32612 53234	 * 	279.13	DCR|DCR|2TLV|1VULN|2DUR|1CDMG	17DUR|2DUST|3CDMG|46TLV|5LHND|89RCR|aVULN
14	44232 51412	   	278.48	DCR|DCR|3VULN|1AART|1CDMG	1AART|239VULN|4RPLT|5MBVNT|6aRCR|7LWND|8CDMG
15	62231 13234	   	278.48	DCR|DCR|3VULN|1DUR|1CDMG	15LWND|2AME|3DUR|47aVULN|6CDMG|89RCR
16	62233 13234	   	278.48	DCR|DCR|3VULN|1DUR|1CDMG	1LWND|2AME|3DUR|47aVULN|5RCVC|6CDMG|89RCR
17	62531 13234	   	278.48	DCR|DCR|3VULN|1DUR|1CDMG	15LWND|2AME|37aVULN|4DUR|6CDMG|89RCR
18	62533 13234	   	278.48	DCR|DCR|3VULN|1DUR|1CDMG	1LWND|2AME|37aVULN|4DUR|5RCVC|6CDMG|89RCR
19	26233 13234	   	278.28	DCR|DCR|3VULN|1DUR|1CDMG	1AME|2LEGI|3DUR|47aVULN|5AEPOI|6CDMG|89RCR
20	26533 13234	   	278.28	DCR|DCR|3VULN|1DUR|1CDMG	1AME|2LEGI|37aVULN|4DUR|5AEPOI|6CDMG|89RCR
21	21534 53232	   	277.14	DCR|DCR|3VULN|1TLV|1SELL	1AME|2BEXP|347VULN|5LWND|6SELL|89RCR|aTLV
22	36311 13366	 * 	275.78	ACR|DCR|2DMG|1VULN|1TLV|1MLV|1DUR|1CDMG	1DUR|29RCR|3MLV|4TLV|56DMG|7RAT|8CDMG|aVULN
23	32615 13234	 * 	275.11	DCR|DCR|1VULN|2DUR|1TLV|2CDMG	17DUR|2DUST|35CDMG|4TLV|6LHND|89RCR|aVULN
24	32645 33232	   	275.01	DCR|DCR|1VULN|2DUR|1TLV|2CDMG	17DUR|2DUST|35CDMG|4AME|6VULN|89RCR|aTLV
25	32612 53236	 * 	273.24	DCR|DCR|2TLV|2DUR|1FLTARM|1CDMG	17DUR|2DUST|3CDMG|46TLV|5LHND|89RCR|aFLTARM
26	36311 23366	 * 	270.64	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1MLV|1CDMG	16DUR|29RCR|3MLV|4TLV|5DMG|7RAT|8CDMG|aVULN
27	32615 13236	 * 	269.22	DCR|DCR|2DUR|1FLTARM|1TLV|2CDMG	17DUR|2DUST|35CDMG|4TLV|6LHND|89RCR|aFLTARM
28	21135 13232	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2BEXP|35LHND|47VULN|6CDMG|89RCR|aTLV
29	21524 13232	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2BEXP|37VULN|4DMSP|5LWND|6CDMG|89RCR|aTLV
30	21564 13232	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2BEXP|37VULN|4RCVC|5LWND|6CDMG|89RCR|aTLV
31	24534 13231	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2TLV|3aRMIN|47VULN|5LWND|6CDMG|89RCR
32	62511 13232	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	15LWND|2AME|37VULN|4FEWX|6CDMG|89RCR|aTLV
33	62512 13232	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1LWND|2AME|37VULN|45FEWX|6CDMG|89RCR|aTLV
34	62636 13231	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1LWND|2AME|3aRMIN|47VULN|5TLV|6CDMG|89RCR
35	21133 13232	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2BEXP|3LHND|47VULN|5AEPOI|6CDMG|89RCR|aTLV
36	21534 15232	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2BEXP|34VULN|5LWND|6CDMG|7AEWIND|89RCR|aTLV
37	26165 13232	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2LEGI|35LHND|47VULN|6CDMG|89RCR|aTLV
38	26516 13232	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2LEGI|37VULN|45FEWX|6CDMG|89RCR|aTLV
39	26551 13232	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2LEGI|37VULN|45LWND|6CDMG|89RCR|aTLV
40	26553 13232	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2LEGI|37VULN|4LWND|5RCVC|6CDMG|89RCR|aTLV
41	62336 13232	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1LWND|2AME|3AEWIND|47VULN|5BEXP|6CDMG|89RCR|aTLV
42	62436 13232	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1LWND|2AME|3AEFBLL|47VULN|5BEXP|6CDMG|89RCR|aTLV
43	11451 21511	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1CANSTR|2AEWIND|34VULN|5LWND|6TLV|7DUR|8aRCR|9AETHUN
44	11451 21521	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1CANSTR|29AEWIND|34VULN|5LWND|6TLV|7DUR|8aRCR
45	21233 13234	 * 	268.69	DCR|DCR|2VULN|2DUR|1CDMG	1AME|2BEXP|37DUR|4aVULN|5AEPOI|6CDMG|89RCR
46	21543 13234	   	268.69	DCR|DCR|2VULN|2DUR|1CDMG	1AME|2BEXP|3aVULN|47DUR|5AEPOI|6CDMG|89RCR
47	24632 31511	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1AME|2TLV|34VULN|5RMIN|6AIRHEA|7DUR|8aRCR|9AETHUN
48	26163 13232	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2LEGI|3LHND|47VULN|5AEPOI|6CDMG|89RCR|aTLV
49	26334 13232	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2LEGI|3AEWIND|47VULN|5LWND|6CDMG|89RCR|aTLV
50	26434 13232	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2LEGI|3AEFBLL|47VULN|5LWND|6CDMG|89RCR|aTLV
51	26513 13232	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2LEGI|37VULN|4FEWX|5AEPOI|6CDMG|89RCR|aTLV
52	21233 13232	   	268.69	DCR|DCR|1VULN|2DUR|1TLV|1CDMG	1AME|2BEXP|37DUR|4VULN|5AEPOI|6CDMG|89RCR|aTLV
53	21543 13232	   	268.69	DCR|DCR|1VULN|2DUR|1TLV|1CDMG	1AME|2BEXP|3VULN|47DUR|5AEPOI|6CDMG|89RCR|aTLV
54	62231 53232	   	268.65	DCR|DCR|2VULN|1TLV|1DUR|1SELL	15LWND|2AME|3DUR|47VULN|6SELL|89RCR|aTLV
55	62233 53232	   	268.65	DCR|DCR|2VULN|1TLV|1DUR|1SELL	1LWND|2AME|3DUR|47VULN|5RCVC|6SELL|89RCR|aTLV
56	62531 53232	   	268.65	DCR|DCR|2VULN|1TLV|1DUR|1SELL	15LWND|2AME|37VULN|4DUR|6SELL|89RCR|aTLV
57	62533 53232	   	268.65	DCR|DCR|2VULN|1TLV|1DUR|1SELL	1LWND|2AME|37VULN|4DUR|5RCVC|6SELL|89RCR|aTLV
58	32643 23234	   	268.59	DCR|DCR|1VULN|2DUR|1TLV|1CDMG	17DUR|2DUST|3CDMG|4AME|5ERES|6TLV|89RCR|aVULN
59	26233 53232	   	268.45	DCR|DCR|2VULN|1TLV|1DUR|1SELL	1AME|2LEGI|3DUR|47VULN|5AEPOI|6SELL|89RCR|aTLV
60	26533 53232	   	268.45	DCR|DCR|2VULN|1TLV|1DUR|1SELL	1AME|2LEGI|37VULN|4DUR|5AEPOI|6SELL|89RCR|aTLV
61	32612 52234	   	266.67	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1DUR|2DUST|3CDMG|46TLV|5LHND|7DMSP|89RCR|aVULN
62	21135 13234	   	264.83	DCR|DCR|3VULN|1CDMG	1AME|2BEXP|35LHND|47aVULN|6CDMG|89RCR
63	21524 13234	   	264.83	DCR|DCR|3VULN|1CDMG	1AME|2BEXP|37aVULN|4DMSP|5LWND|6CDMG|89RCR
64	21534 13231	   	264.83	DCR|DCR|3VULN|1CDMG	1AME|2BEXP|347VULN|5LWND|6CDMG|89RCR|aRMIN
65	21534 13235	   	264.83	DCR|DCR|3VULN|1CDMG	1AME|2BEXP|347VULN|5LWND|6CDMG|89RCR|aRAT
66	62511 13234	   	264.83	DCR|DCR|3VULN|1CDMG	15LWND|2AME|37aVULN|4FEWX|6CDMG|89RCR
67	62512 13234	   	264.83	DCR|DCR|3VULN|1CDMG	1LWND|2AME|37aVULN|45FEWX|6CDMG|89RCR
68	32643 23236	 * 	264.80	DCR|DCR|3DUR|2TLV|2CDMG	17aDUR|2DUST|3aCDMG|4AME|5ERES|6aTLV|89RCR|aBPWR
69	21133 13234	   	264.73	DCR|DCR|3VULN|1CDMG	1AME|2BEXP|3LHND|47aVULN|5AEPOI|6CDMG|89RCR
70	21534 13233	   	264.73	DCR|DCR|3VULN|1CDMG	1AME|2BEXP|347VULN|5LWND|6CDMG|89RCR|aMDPS
71	21534 13236	   	264.73	DCR|DCR|3VULN|1CDMG	1aAME|2BEXP|347VULN|5LWND|6CDMG|89RCR
72	62336 13234	   	264.73	DCR|DCR|3VULN|1CDMG	1LWND|2AME|3AEWIND|47aVULN|5BEXP|6CDMG|89RCR
73	26163 13234	   	264.63	DCR|DCR|3VULN|1CDMG	1AME|2LEGI|3LHND|47aVULN|5AEPOI|6CDMG|89RCR
74	26334 13234	   	264.63	DCR|DCR|3VULN|1CDMG	1AME|2LEGI|3AEWIND|47aVULN|5LWND|6CDMG|89RCR
75	26513 13234	   	264.63	DCR|DCR|3VULN|1CDMG	1AME|2LEGI|37aVULN|4FEWX|5AEPOI|6CDMG|89RCR
76	62231 53234	   	264.59	DCR|DCR|3VULN|1DUR|1SELL	15LWND|2AME|3DUR|47aVULN|6SELL|89RCR
77	62233 53234	   	264.59	DCR|DCR|3VULN|1DUR|1SELL	1LWND|2AME|3DUR|47aVULN|5RCVC|6SELL|89RCR
78	26233 53234	   	264.39	DCR|DCR|3VULN|1DUR|1SELL	1AME|2LEGI|3DUR|47aVULN|5AEPOI|6SELL|89RCR
79	36324 21232	 * 	264.23	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	1DUR|29RCR|3MLV|4CDMG|57VULN|6FEWX|8AEFRZ|aTLV
80	36324 31232	   	264.23	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	1DUR|29RCR|3MLV|4CDMG|57VULN|6LHND|8AEFRZ|aTLV
81	36324 41232	   	264.23	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	1DUR|29RCR|3MLV|4CDMG|57VULN|6LWND|8AEFRZ|aTLV
82	32615 12234	   	262.65	DCR|DCR|1VULN|1TLV|2CDMG|1DUR	1DUR|2DUST|35CDMG|4TLV|6LHND|7DMSP|89RCR|aVULN
83	32645 32232	   	262.55	DCR|DCR|1VULN|1TLV|2CDMG|1DUR	1DUR|2DUST|35CDMG|4AME|6VULN|7DMSP|89RCR|aTLV
