0	Index      	 *	Score 	Summary	Detail	
1	33124 16316	 * 	270.09	DCR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1LWND|2TLV|3VULN|4ZMB|5BOSS|6CDMG|7DUR|8AART|9aRCR
2	11141 22222	 * 	268.79	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2aVULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9DUR
3	11141 22245	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1CGEN|29VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|aCDMG
4	11141 32222	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2aVULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9DUR
5	11141 32245	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1CGEN|29VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|aCDMG
6	41124 51323	 * 	260.53	DCR|5VULN|2DMG|1DUR	15DMG|23456VULN|5BPWR|7CGEN|8DUR|9ASPD|aRCR
7	41124 53331	   	260.53	DCR|5VULN|2DMG|1AART	15DMG|23456VULN|5BPWR|7AART|8ASPD|9RCR|aRCVC
8	41124 53332	   	260.53	DCR|5VULN|2DMG|1AART	15DMG|23456VULN|5BPWR|7AART|8ASPD|9RCR|aLIT
9	41124 53333	   	260.43	DCR|5VULN|2DMG|1AART	15DMG|23456VULN|5BPWR|7AART|8ASPD|9RCR|aERES
10	33124 11216	   	256.34	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1LWND|2TLV|3VULN|4ZMB|5BOSS|6CDMG|7LEGI|8AART|9aRCR
11	33152 15116	   	256.34	DCR|DCR|1VULN|1TLV|1AART|1CDMG|1NUKE	1LWND|2TLV|3VULN|4FEWX|5AART|6CDMG|7LIT|8NUKE|9aRCR
12	11236 63226	   	256.24	DCR|DCR|2VULN|1DUR|1AAC|1CDMG	1CGEN|24VULN|34ERES|4BPWR|5VENICY|6CDMG|79RCR|8AAC|aDUR
13	11141 22221	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9DUR|aAAC
14	11141 32221	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9DUR|aAAC
15	53535 21223	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1RPLT|2AETHUN|3DUR|4TLV|5VULN|6TBNT|7MULHEA|8AART|9aRCR
16	53535 23223	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1RPLT|2AETHUN|3DUR|4TLV|5VULN|6TBNT|7FRZFST|8AART|9aRCR
17	11141 22232	   	255.14	DCR|DCR|2VULN|1TLV	1CGEN|2aVULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9FEWX
18	11141 22242	   	255.14	DCR|DCR|2VULN|1TLV	1CGEN|29VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|aBEXP
19	11141 22243	   	255.14	DCR|DCR|2VULN|1TLV	1CGEN|29VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|aRPLT
20	11141 32232	   	255.14	DCR|DCR|2VULN|1TLV	1CGEN|2aVULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9FEWX
21	11141 32242	   	255.14	DCR|DCR|2VULN|1TLV	1CGEN|29VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|aBEXP
22	11141 32243	   	255.14	DCR|DCR|2VULN|1TLV	1CGEN|29VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|aRPLT
23	11141 22241	   	255.04	DCR|DCR|2VULN|1TLV	1CGEN|29VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|aAEWIND
24	11141 22244	   	255.04	DCR|DCR|2VULN|1TLV	1CGEN|29VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|aAEPOI
25	11141 22252	   	255.04	DCR|DCR|2VULN|1TLV	1CGEN|2aVULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9AETHUN
26	11141 32241	   	255.04	DCR|DCR|2VULN|1TLV	1CGEN|29VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|aAEWIND
27	11141 32244	   	255.04	DCR|DCR|2VULN|1TLV	1CGEN|29VULN|3AEFBLL|4BELT|5TLV|6aAEPOI|78RCR
28	11141 32252	   	255.04	DCR|DCR|2VULN|1TLV	1CGEN|2aVULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9AETHUN
29	41124 51312	   	253.59	DCR|5VULN|2DMG|1DUR	15DMG|23456VULN|5BPWR|7CGEN|8DUR|9BELT|aRCR
30	41535 13233	 * 	252.44	DCR|2VULN|2DMG|2MSLTOX|1FLTARM|1AART	18DMG|28VULN|3LHND|4LWND|58MSLTOX|6AART|7LEGI|8BPWR|9RCR|aFLTARM
31	41124 12111	   	252.31	DCR|4VULN|2DMG|1MLV|1CDMG	15DMG|2345VULN|5BPWR|6RCVC|7RCR|8CGEN|9MLV|aCDMG
32	41124 12112	   	252.31	DCR|4VULN|2DMG|1MLV|1AAC	15DMG|2345VULN|5BPWR|6RCVC|7RCR|8CGEN|9MLV|aAAC
33	41124 12211	   	252.21	DCR|4VULN|2DMG|1MLV|1CDMG	15DMG|2345VULN|5BPWR|6RCVC|7RCR|8ERES|9MLV|aCDMG
34	41124 12212	   	252.21	DCR|4VULN|2DMG|1MLV|1AAC	15DMG|2345VULN|5BPWR|6RCVC|7RCR|8ERES|9MLV|aAAC
35	33434 11522	 * 	249.10	DCR|DCR|1VULN|1TLV|1DMG	1LWND|2TLV|3CGEN|4RMIN|5DMG|69RCR|7TBNT|8ZMB|aVULN
36	41262 32128	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2VULN|3FEWX|4MDPS|5RPLT|6TLV|7FRZFST|8MBVNT|9aRCR
37	43313 21165	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1CDMG|1NUKE	1DMG|2LIT|3NUKE|4BOSS|5RAT|67RCR|8CDMG|9MLV|aTLV
38	52123 12223	   	245.64	DCR|DCR|1VULN|1MLV|1DUR|1AART	1RPLT|2MLV|3TBNT|4MGNBOS|5DUR|6VULN|7LHND|8AART|9aRCR
39	52313 42223	   	245.64	DCR|DCR|1VULN|1MLV|1DUR|1AART	1RPLT|2MLV|3AIRHEA|4VULN|5DUR|6TBNT|7LHND|8AART|9aRCR
40	52313 31523	   	245.54	DCR|DCR|1VULN|1MLV|1DUR|1AART	1RPLT|2MLV|3AIRHEA|4VULN|5DUR|6AETHUN|7AART|8BBNT|9aRCR
41	52313 31623	   	245.54	DCR|DCR|1VULN|1MLV|1DUR|1AART	1RPLT|2MLV|3AIRHEA|4VULN|5DUR|6AETHUN|7AART|8TBNT|9aRCR
42	52313 35223	   	245.54	DCR|DCR|1VULN|1MLV|1DUR|1AART	1RPLT|2MLV|3AIRHEA|4VULN|5DUR|6AETHUN|7TBNT|8AART|9aRCR
43	33232 13436	   	244.31	DCR|DCR|1TLV|1DMG|1DUR|1CDMG|1AAC	13LWND|2TLV|4DMG|5DUR|6aRCR|7AEWIND|8AAC|9CDMG
44	23613 33316	   	243.89	DCR|DCR|1VULN|1AART|1DUR|1AAC|1CDMG	1LIT|2LHND|3VULN|4AAC|5DUR|6CDMG|7CGEN|8AART|9aRCR
45	23653 33316	   	243.89	DCR|DCR|1VULN|1AART|1DUR|1CDMG	1LIT|2LHND|3VULN|4ZMB|5DUR|6CDMG|7CGEN|8AART|9aRCR
46	36613 33316	   	243.89	DCR|DCR|1VULN|1DUR|1AART|1AAC|1CDMG	1LWND|2BOSS|3VULN|4AAC|5DUR|6CDMG|7CGEN|8AART|9aRCR
