0	Index      	 *	Score 	Summary	Detail	
1	15622 63222	 * 	290.93	DCR|DCR|3VULN|1TLV|1AART	1TLV|2BBNT|3AART|4ZMB|56aVULN|78RCR|9DUST
2	11256 83223	 * 	276.20	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2DUR|3DUST|4MBVNT|5DMG|6CDMG|7aRCR|8AEBURN|9VULN
3	15622 63211	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1TLV|2BBNT|3AART|49ZMB|56VULN|78RCR|aLWND
4	15622 63212	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1TLV|2BBNT|3AART|49ZMB|56VULN|78RCR|aBOSS
5	15622 63213	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1TLV|2BBNT|3AART|49ZMB|56VULN|78RCR|aRAT
6	15622 63221	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1TLV|2BBNT|3AART|4ZMB|56VULN|78RCR|9DUST|aBEXP
7	15622 63232	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1TLV|2BBNT|3AART|4ZMB|56VULN|78RCR|9TBNT|aRAT
8	15622 63233	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1TLV|2BBNT|3AART|4ZMB|56VULN|78RCR|9TBNT|aBOSS
9	15623 33243	 * 	268.79	DCR|DCR|1VULN|2AART|1TLV|1DUR	1TLV|2BBNT|35AART|4ZMB|6DUR|78RCR|9RAT|aVULN
10	15623 33252	   	268.79	DCR|DCR|1VULN|2AART|1TLV|1DUR	1TLV|2BBNT|35AART|4ZMB|6DUR|78RCR|9LWND|aVULN
11	15622 63223	   	268.69	DCR|DCR|2VULN|1TLV|1AART	1TLV|2BBNT|3AART|4ZMB|56VULN|78RCR|9DUST|aERES
12	15622 63231	   	268.69	DCR|DCR|2VULN|1TLV|1AART	1TLV|2BBNT|3AART|4ZMB|56VULN|78RCR|9TBNT|aVENICY
13	15623 33222	   	268.69	DCR|DCR|1VULN|2AART|1TLV|1DUR	1TLV|2BBNT|35AART|4ZMB|6DUR|78RCR|9DUST|aVULN
14	31323 22124	 * 	266.93	ACR|DCR|2VULN|1TLV|1MSLTOX|1MLV|1CDMG	19RCR|2LWND|3CDMG|45VULN|6FEWX|7TLV|8MSLTOX|aMLV
15	31323 32124	   	266.83	ACR|DCR|2VULN|1TLV|1MSLTOX|1MLV|1CDMG	19RCR|2LWND|3CDMG|45VULN|6DUST|7TLV|8MSLTOX|aMLV
16	11131 24315	 * 	265.00	DCR|DCR|3DUR|2TLV|2CDMG	13TLV|236DUR|3BPWR|4BEXP|5LIT|78CDMG|9aRCR
17	31323 22121	   	264.97	ACR|DCR|2VULN|1TLV|1MSLTOX|1CDMG|1AAC	19RCR|2LWND|3CDMG|45VULN|6FEWX|7TLV|8MSLTOX|aAAC
18	31323 32121	   	264.87	ACR|DCR|2VULN|1TLV|1MSLTOX|1CDMG|1AAC	19RCR|2LWND|3CDMG|45VULN|6DUST|7TLV|8MSLTOX|aAAC
19	31323 25126	 * 	262.86	ACR|DCR|3VULN|1MSLTOX|1MLV|1CDMG	19RCR|2LWND|3CDMG|45aVULN|6FEWX|7MLV|8MSLTOX
