0	Index      	 *	Score 	Summary	Detail	
1	21633 34231	 * 	318.79	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	1DUR|2DMG|3MLV|49RCR|5TLV|6CDMG|7LIT|8aVULN
2	32111 53615	 * 	316.85	DCR|DCR|2TLV|1LIT|1VULN|1DMG	1LIT|2TBNT|3NUKE|48TLV|5DMG|67RCR|9ERES|aVULN
3	32111 53636	   	316.85	DCR|DCR|2TLV|1LIT|1VULN|1DMG	1LIT|2TBNT|3NUKE|48TLV|5DMG|67RCR|9SNITOX|aVULN
4	32111 53542	 * 	313.99	DCR|DCR|1TLV|2DMG|1LIT|1VULN	1LIT|2TBNT|3NUKE|4TLV|5aDMG|67RCR|8FEWX|9VULN
5	32111 53145	   	310.06	DCR|DCR|1TLV|1LIT|1VULN|1DMG|1ASPD	1LIT|2TBNT|3NUKE|4TLV|5DMG|67RCR|8BEXP|9VULN|aASPD
6	32111 53543	   	306.07	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LIT|2TBNT|3NUKE|4TLV|5DMG|67RCR|8FEWX|9VULN|aDUR
7	32111 53132	 * 	305.17	DCR|DCR|2TLV|2LIT|1DMG	19LIT|2TBNT|3NUKE|4aTLV|5DMG|67RCR|8BEXP
8	32111 53532	   	305.17	DCR|DCR|2TLV|2LIT|1DMG	19LIT|2TBNT|3NUKE|4aTLV|5DMG|67RCR|8FEWX
9	32111 53633	   	305.07	DCR|DCR|2TLV|2LIT|1DMG	1aLIT|2TBNT|3NUKE|48TLV|5DMG|67RCR|9SNITOX
10	12411 61343	 * 	304.88	ACR|DCR|2TLV|1LIT|1VULN|1MLV|1RPLT	1CGEN|2RPLT|3LHND|48TLV|5aRCR|6VULN|7LIT|9MLV
11	32111 53122	   	304.71	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LIT|2TBNT|3NUKE|4TLV|5DMG|67RCR|8BEXP|9RPLT|aVULN
12	32111 53522	   	304.71	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LIT|2TBNT|3NUKE|4TLV|5DMG|67RCR|8FEWX|9RPLT|aVULN
13	32111 53621	   	304.18	DCR|DCR|2TLV|1LIT|1DMG	1LIT|2TBNT|3NUKE|48TLV|5DMG|67RCR|9DUR|aBBNT
14	23614 62331	 * 	303.49	DCR|DCR|2VULN|2DMG|1LIT|1CDMG	1DUR|2CDMG|3LWND|4aVULN|5LIT|68DMG|79RCR
15	21633 34232	   	302.25	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1DUR|2DMG|3MLV|49RCR|5TLV|6CDMG|7LIT|8VULN|aBBNT
16	32631 53132	 * 	300.10	DCR|DCR|2LIT|1TLV|1MLV|1DMG	19LIT|2TBNT|3MLV|4ZMB|5DMG|67RCR|8BEXP|aTLV
17	32631 53532	   	300.10	DCR|DCR|2LIT|1TLV|1MLV|1DMG	19LIT|2TBNT|3MLV|4ZMB|5DMG|67RCR|8FEWX|aTLV
18	13424 26133	 * 	299.50	DCR|DCR|2LIT|1TLV|1VULN	1CGEN|2TLV|3VULN|4FEWX|59LIT|6RMIN|7RPLT|8aRCR
19	13254 26133	   	299.40	DCR|DCR|2LIT|1TLV|1VULN	1CGEN|2TLV|3DUST|4VULN|59LIT|6RMIN|7RPLT|8aRCR
20	32111 53631	   	298.41	DCR|DCR|2TLV|1LIT|1DMG|1ASPD	1LIT|2TBNT|3NUKE|48TLV|5DMG|67RCR|9SNITOX|aASPD
21	32221 54622	 * 	296.74	DCR|3LIT|2TLV|2DMG|2ASPD|1CDMG	18aLIT|2TBNT|35DMG|48ASPD|68TLV|7RCR|8BPWR|9CDMG
