0	Index      	 *	Score 	Summary	Detail	
1	22161 21542	 * 	369.53	DCR|3VULN|3TLV|3LIT|2MLV|1CDMG	17aTLV|27aLIT|347VULN|5RCVC|6RCR|7aBPWR|8CDMG|9aMLV
2	21553 21223	 * 	362.09	DCR|5VULN|3TLV|3LIT|1MLV	178TLV|2RCVC|34789VULN|578LIT|6RCR|78BPWR|aMLV
3	22161 21223	   	362.09	DCR|5VULN|3TLV|3LIT|1MLV	178TLV|278LIT|34789VULN|5RCVC|6RCR|78BPWR|aMLV
4	22161 21246	   	362.09	DCR|5VULN|3TLV|3LIT|1MLV	178TLV|278LIT|3478aVULN|5RCVC|6RCR|78BPWR|9MLV
5	21553 21241	   	350.76	DCR|4VULN|3TLV|3LIT|1MLV	178TLV|2RCVC|3478VULN|578LIT|6RCR|78BPWR|9MLV|aTBNT
6	22161 21241	   	350.76	DCR|4VULN|3TLV|3LIT|1MLV	178TLV|278LIT|3478VULN|5RCVC|6RCR|78BPWR|9MLV|aTBNT
7	21553 21242	   	345.20	DCR|4VULN|3TLV|3LIT|1MLV	178TLV|2RCVC|3478VULN|578LIT|6RCR|78BPWR|9MLV|aCGEN
8	21553 21243	   	345.20	DCR|4VULN|3TLV|3LIT|1MLV	178TLV|2RCVC|3478VULN|578LIT|6RCR|78BPWR|9MLV|aFEWX
9	22161 21242	   	345.20	DCR|4VULN|3TLV|3LIT|1MLV	178TLV|278LIT|3478VULN|5RCVC|6RCR|78BPWR|9MLV|aCGEN
10	22161 21243	   	345.20	DCR|4VULN|3TLV|3LIT|1MLV	178TLV|278LIT|3478VULN|5RCVC|6RCR|78BPWR|9MLV|aFEWX
11	22161 21244	   	345.20	DCR|4VULN|3TLV|3LIT|1MLV	178TLV|278LIT|3478VULN|5RCVC|6RCR|78BPWR|9MLV|aBEXP
12	22161 21245	   	345.20	DCR|4VULN|3TLV|3LIT|1MLV	178TLV|278LIT|3478VULN|5RCVC|6RCR|78BPWR|9MLV|aRMIN
13	22162 25422	 * 	343.70	DCR|DCR|2VULN|2TLV|2LIT	17TLV|27LIT|34VULN|5ZMB|67BEXP|7BPWR|8aRCR|9TBNT
14	22162 15422	   	343.50	DCR|DCR|2VULN|2TLV|2LIT	17TLV|27LIT|34VULN|5ZMB|67DUST|7BPWR|8aRCR|9TBNT
15	22125 24422	   	343.02	DCR|DCR|2VULN|2LIT|1TLV|1DMG	1TLV|24LIT|37VULN|5DMG|6BEXP|8aRCR|9TBNT
16	22165 21422	   	343.02	DCR|DCR|2VULN|2LIT|1TLV|1DMG	1TLV|27LIT|34VULN|5DMG|6BEXP|8aRCR|9TBNT
17	22125 14422	   	342.92	DCR|DCR|2VULN|2LIT|1TLV|1DMG	1TLV|24LIT|37VULN|5DMG|6DUST|8aRCR|9TBNT
18	22165 11422	   	342.92	DCR|DCR|2VULN|2LIT|1TLV|1DMG	1TLV|27LIT|34VULN|5DMG|6DUST|8aRCR|9TBNT
