0	Index      	 *	Score 	Summary	Detail	
1	56613 11213	 * 	211.20	DCR|4VULN|3DMG|1CDMG|2DUR	137aVULN|234DMG|3aBPWR|5CDMG|6RCR|8aDUR|9aMLV
2	56613 13113	 * 	205.48	DCR|4VULN|3DMG|2CDMG	138aVULN|234DMG|38aBPWR|58CDMG|6RCR|78aLHND|9aMLV
3	26513 11111	   	205.28	DCR|4VULN|3DMG|2CDMG	138BEXP|234DMG|38BPWR|58CDMG|6RCR|789aVULN
4	43426 12333	 * 	203.77	DCR|3VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|238VULN|48DMG|56BELT|7RCR|8BPWR|9AART|aASPD
5	52326 31243	 * 	202.63	ACR|4VULN|3DMG|2ZMB|1DUR	1479VULN|2RMIN|39ZMB|5RCR|689DMG|9BPWR|aDUR
6	56613 11221	   	198.55	DCR|3VULN|3DMG|1CDMG|1DUR|1ASPD	137VULN|234DMG|3BPWR|5CDMG|6RCR|8DUR|9BELT|aASPD
7	56613 13121	   	198.12	DCR|3VULN|3DMG|2CDMG|1ASPD	138VULN|234DMG|38BPWR|58CDMG|6RCR|78LHND|9BELT|aASPD
8	43426 12331	   	196.83	DCR|3VULN|2DMG|1AART|2CDMG	18CDMG|238VULN|48DMG|56BELT|7RCR|8BPWR|9AART|aRMIN
9	43426 12332	   	196.83	DCR|3VULN|2DMG|1AART|2CDMG	18CDMG|238VULN|48DMG|56BELT|7RCR|8BPWR|9AART|aBEXP
10	52326 31241	   	195.70	ACR|4VULN|3DMG|2ZMB	1479VULN|2RMIN|39ZMB|5RCR|689DMG|9BPWR|aCGEN
11	52326 31242	   	195.70	ACR|4VULN|3DMG|2ZMB	1479VULN|2RMIN|39ZMB|5RCR|689DMG|9BPWR|aLIT
12	52326 33241	 * 	195.13	ACR|3VULN|3DMG|3ZMB	149VULN|2RMIN|379ZMB|5RCR|689DMG|9BPWR|aLIT
13	52326 33242	   	195.13	ACR|3VULN|3DMG|3ZMB	149VULN|2RMIN|379ZMB|5RCR|689DMG|9BPWR|aBEXP
