0	Index      	 *	Score 	Summary	Detail	
1	34612 32212	 * 	217.85	ACR|4VULN|2DMG|1AART|2CDMG	1RPLT|2AART|3RCR|459aVULN|6CANSTR|79CDMG|89DMG|9BPWR
2	34612 12212	   	211.44	ACR|4VULN|2DMG|1AART|1CDMG	1RPLT|2AART|3RCR|459aVULN|6CDMG|79VENICY|89DMG|9BPWR
3	34612 32211	 * 	209.79	ACR|3VULN|2DMG|1AART|3CDMG	1RPLT|2AART|3RCR|459VULN|6CANSTR|79aCDMG|89DMG|9BPWR
4	32535 63233	 * 	208.64	ACR|4VULN|3DMG|1AART	1RPLT|258DMG|3RCR|4578VULN|58BPWR|68TLV|9MBVNT|aAART
5	34612 32213	   	205.05	ACR|3VULN|2DMG|1AART|2CDMG	1RPLT|2AART|3RCR|459VULN|6CANSTR|79CDMG|89DMG|9BPWR|aRCVC
6	34612 32214	   	203.75	ACR|3VULN|2DMG|1AART|2CDMG	1RPLT|2AART|3RCR|459VULN|6CANSTR|79CDMG|89DMG|9BPWR|aLIT
7	34612 32215	   	203.75	ACR|3VULN|2DMG|1AART|2CDMG	1RPLT|2AART|3RCR|459VULN|6CANSTR|79CDMG|89DMG|9BPWR|aLWND
8	34612 12211	   	203.65	ACR|3VULN|2DMG|1AART|2CDMG	1RPLT|2AART|3RCR|459VULN|6aCDMG|79VENICY|89DMG|9BPWR
9	34612 32216	   	203.65	ACR|3VULN|2DMG|1AART|2CDMG	1RPLT|2AART|3RCR|459VULN|6CANSTR|79CDMG|89DMG|9BPWR|aDUST
10	34612 12213	   	198.64	ACR|3VULN|2DMG|1AART|1CDMG	1RPLT|2AART|3RCR|459VULN|6CDMG|79VENICY|89DMG|9BPWR|aRCVC
11	34612 12214	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	1RPLT|2AART|3RCR|459VULN|6CDMG|79VENICY|89DMG|9BPWR|aLIT
12	34612 12215	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	1RPLT|2AART|3RCR|459VULN|6CDMG|79VENICY|89DMG|9BPWR|aLWND
13	34612 12216	   	197.24	ACR|3VULN|2DMG|1AART|1CDMG	1RPLT|2AART|3RCR|459VULN|6CDMG|79VENICY|89DMG|9BPWR|aDUST
14	32535 41112	   	195.04	ACR|3VULN|2DMG|1AART|1CDMG	1RPLT|25DMG|3RCR|45aVULN|5BPWR|6AART|78FEWX|9CDMG
15	32535 34233	   	194.74	ACR|3VULN|3DMG|1AART	1RPLT|258DMG|3RCR|458VULN|58BPWR|678CGEN|9MBVNT|aAART
16	34612 32112	   	193.75	ACR|4VULN|1AART|2CDMG|2ASPD	1RPLT|2AART|3RCR|459aVULN|6CANSTR|79CDMG|89ASPD|9BPWR
17	32535 31613	   	193.59	ACR|4VULN|2DMG|1AART	1RPLT|25DMG|3RCR|458aVULN|5BPWR|6CGEN|7ERES|9AART
18	32535 33613	   	193.59	ACR|4VULN|2DMG|1AART	1RPLT|25DMG|3RCR|458aVULN|5BPWR|6CGEN|7TLV|9AART
19	32535 21231	   	192.68	ACR|4VULN|3DMG	1RPLT|25aDMG|3RCR|459aVULN|5aBPWR|6LHND|7DUR|8aFEWX
20	32535 21631	   	192.68	ACR|4VULN|3DMG	1RPLT|25aDMG|3RCR|459aVULN|5aBPWR|6LHND|7DUR|8aBEXP
21	34612 12224	   	192.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RPLT|2AART|3RCR|45VULN|6CDMG|7VENICY|8aDMG|9ZMB
22	34612 32224	   	192.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RPLT|2AART|3RCR|45VULN|6CANSTR|7CDMG|8aDMG|9ZMB
23	32535 63213	   	192.48	ACR|4VULN|3DMG	1RPLT|258DMG|3RCR|4578VULN|58BPWR|68TLV|9LWND|aDUR
24	32535 63234	   	192.38	ACR|4VULN|3DMG	1RPLT|258DMG|3RCR|4578VULN|58BPWR|68TLV|9MBVNT|aDUR
25	34612 14223	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|2AART|3RCR|45VULN|6CDMG|7LIT|89DMG|aDUR
26	32535 25113	   	188.43	ACR|3DMG|2VULN|1AART	1RPLT|259DMG|3RCR|45VULN|5BPWR|6LHND|7ASPD|8AART|aRCVC
