0	Index      	 *	Score 	Summary	Detail	
1	33332 15452	 * 	200.27	DCR|3VULN|2DMG|1AART|2CDMG|1ASPD	17LHND|25DMG|3AART|457VULN|57BPWR|67CDMG|8MLV|9ASPD|aRCR
2	26211 33511	 * 	193.94	ACR|3VULN|3DMG|1AART	123VULN|2BPWR|4RCR|5MLV|6LIT|7AART|89aDMG
3	33332 62345	   	193.91	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1LHND|25DMG|3AART|45VULN|5BPWR|6LIT|7DUR|8RCR|9ZMB|aCDMG
4	26214 33511	   	193.84	ACR|3VULN|3DMG|1AART	123VULN|2BPWR|4RCR|5ERES|6LIT|7AART|89aDMG
5	33332 11242	 * 	193.61	DCR|2AART|2VULN|2DMG|1CDMG|1ZMB	1LHND|25DMG|39AART|45VULN|5BPWR|6CDMG|7RMIN|8ZMB|aRCR
6	33332 12242	   	193.61	DCR|2AART|2DMG|2VULN|1CDMG|1ZMB	1LHND|25DMG|39AART|45VULN|5BPWR|6CDMG|7CGEN|8ZMB|aRCR
7	33332 34242	   	193.61	DCR|2AART|2VULN|2DMG|1CDMG|1ZMB	1LHND|25DMG|39AART|45VULN|5BPWR|6MLV|7CDMG|8ZMB|aRCR
8	26234 21341	 * 	193.51	DCR|3VULN|2AART|2DMG	123VULN|2BPWR|48AART|5MLV|6RCR|7LHND|9aDMG
9	26234 22341	   	193.51	DCR|3VULN|2AART|2DMG	123VULN|2BPWR|48AART|5MLV|6RCR|7FEWX|9aDMG
10	26234 23341	   	193.51	DCR|3VULN|2AART|2DMG	123VULN|2BPWR|48AART|5MLV|6RCR|7BEXP|9aDMG
11	33332 54242	   	193.51	DCR|2AART|2VULN|2DMG|1CDMG|1ZMB	1LHND|25DMG|39AART|45VULN|5BPWR|6TLV|7CDMG|8ZMB|aRCR
12	26211 33515	 * 	192.39	ACR|4VULN|2DMG|1AART	123aVULN|2BPWR|4RCR|5MLV|6LIT|7AART|89DMG
13	26233 13312	 * 	191.90	DCR|4VULN|3AART|1DMG	1238VULN|2BPWR|469AART|5FEWX|7RCR|aDMG
14	33316 24222	 * 	191.12	DCR|3VULN|3DMG|1AART	17LHND|27aDMG|3AART|4ERES|5BASHEA|678VULN|7BPWR|9RCR
15	26215 12521	   	190.59	ACR|4VULN|2DMG|1AART	1238VULN|28BPWR|4RCR|5RPLT|68DMG|7MBVNT|9MLV|aAART
16	26215 12531	   	190.59	ACR|4VULN|2DMG|1AART	1238VULN|28BPWR|4RCR|5RPLT|68DMG|7MBVNT|9CGEN|aAART
