0	Index      	 *	Score 	Summary	Detail	
1	63213 53252	 * 	223.57	ACR|5VULN|2DMG|1AART|1CDMG	1268aVULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9CDMG
2	63213 54211	 * 	221.09	ACR|3VULN|3DMG|1AART|1CDMG|1ZMB	126VULN|3AART|4RCR|56aDMG|6BPWR|7ZMB|8CDMG|9CGEN
3	63213 53235	   	217.68	ACR|4VULN|2DMG|1AART|1CDMG	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9DUR|aCDMG
4	63213 52251	   	216.93	ACR|3VULN|3DMG|1AART|1CDMG	126VULN|3AART|4RCR|56aDMG|6BPWR|7NUKE|8CDMG|9ASPD
5	63213 52341	   	216.93	ACR|3VULN|3DMG|1AART|1CDMG	126VULN|3AART|4RCR|56aDMG|6BPWR|7NUKE|8ASPD|9CDMG
6	63213 53233	   	215.03	ACR|4VULN|2DMG|1AART|1ZMB	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9DUR|aZMB
7	63213 53633	   	215.03	ACR|4VULN|2DMG|1AART|1ZMB	1269VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8DUR|aZMB
8	63213 53413	   	212.52	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|568DMG|6BPWR|7RCVC|9DUR|aASPD
9	63213 54222	   	212.38	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8CDMG|9DUR|aMLV
10	63213 54223	   	212.38	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8CDMG|9DUR|aRPLT
11	63213 54221	   	212.28	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8CDMG|9DUR|aDUST
12	63213 53215	   	210.74	ACR|4VULN|2DMG|1AART|1CDMG	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9FEWX|aCDMG
13	63213 53251	   	210.74	ACR|4VULN|2DMG|1AART|1CDMG	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9CDMG|aCGEN
14	63213 53253	   	210.74	ACR|4VULN|2DMG|1AART|1CDMG	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9CDMG|aRPLT
15	63213 51117	 * 	210.44	ACR|4VULN|3DMG|1AART	1268VULN|3AART|4RCR|56aDMG|6BPWR|7FEWX|9MBVNT
16	63213 31616	   	210.28	ACR|3VULN|3DMG|1AART|2DUR	128VULN|3AART|4RCR|58aDMG|6LEGI|78DUR|8BPWR|9RCVC
17	63213 51135	   	210.14	ACR|4VULN|2DMG|1AART|1CDMG	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9RCVC|aCDMG
18	63213 52141	   	209.99	ACR|3VULN|3DMG|1AART|1CDMG	126VULN|3AART|4RCR|56aDMG|6BPWR|7NUKE|8MLV|9CDMG
19	63213 52211	   	209.99	ACR|3VULN|3DMG|1AART|1CDMG	126VULN|3AART|4RCR|56aDMG|6BPWR|7NUKE|8CDMG|9CGEN
20	63213 52241	   	209.89	ACR|3VULN|3DMG|1AART|1CDMG	126VULN|3AART|4RCR|56aDMG|6BPWR|7NUKE|8CDMG|9ERES
21	63213 54133	 * 	209.74	ACR|4VULN|2DMG|1AART|2ZMB	1269VULN|3AART|4RCR|56DMG|6BPWR|7aZMB|8MLV
22	63213 51125	   	208.54	ACR|4VULN|2DMG|1AART|1CDMG	1268VULN|3AART|4RCR|56DMG|6BPWR|79FEWX|aCDMG
23	63213 55221	   	208.54	ACR|4VULN|2DMG|1AART|1CDMG	1268VULN|3AART|4RCR|56DMG|6BPWR|7MLV|9CDMG|aMGNSTR
24	63213 55222	   	208.54	ACR|4VULN|2DMG|1AART|1CDMG	1268VULN|3AART|4RCR|56DMG|6BPWR|7MLV|9CDMG|aLWND
25	63213 55223	   	208.44	ACR|4VULN|2DMG|1AART|1CDMG	1268VULN|3AART|4RCR|56DMG|6BPWR|7MLV|9CDMG|aDUST
26	63213 52253	   	208.21	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9ASPD|aDUR
27	63213 52343	   	208.21	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8ASPD|9CDMG|aDUR
28	63213 53213	   	208.10	ACR|4VULN|2DMG|1AART|1ZMB	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9FEWX|aZMB
29	63213 53223	   	208.00	ACR|4VULN|2DMG|1AART|1ZMB	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9DUST|aZMB
30	63213 53333	   	208.00	ACR|4VULN|2DMG|1AART|1ZMB	1269VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8DUST|aZMB
31	63213 52226	 * 	207.59	ACR|3VULN|2DMG|1AART|2CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8aCDMG|9DUR
32	63213 52252	   	207.59	ACR|3VULN|2DMG|1AART|2CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8aCDMG|9ASPD
33	63213 52342	   	207.59	ACR|3VULN|2DMG|1AART|2CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8ASPD|9aCDMG
34	63213 51133	   	207.50	ACR|4VULN|2DMG|1AART|1ZMB	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9RCVC|aZMB
35	63213 54232	   	207.04	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8CDMG|9RCVC|aLWND
36	63213 54231	   	206.94	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8CDMG|9RCVC|aCANSTR
37	63213 54233	   	206.94	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8CDMG|9RCVC|aDUST
38	63213 31663	   	206.67	ACR|3VULN|2DMG|1AART|1CDMG|2DUR	128VULN|3AART|4RCR|58DMG|6LEGI|78DUR|8BPWR|9CDMG|aRPLT
39	63213 31661	   	206.57	ACR|3VULN|2DMG|1AART|1CDMG|2DUR	128VULN|3AART|4RCR|58DMG|6LEGI|78DUR|8BPWR|9CDMG|aERES
40	63213 51123	   	205.89	ACR|4VULN|2DMG|1AART|1ZMB	1268VULN|3AART|4RCR|56DMG|6BPWR|79FEWX|aZMB
41	63213 54131	   	205.89	ACR|4VULN|2DMG|1AART|1ZMB	1269VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8MLV|aFEWX
42	63213 51235	 * 	205.88	ACR|3VULN|2AART|2DMG|1CDMG	126VULN|3aAART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9LWND
43	63213 63252	   	205.88	ACR|5VULN|1AART|1DMG|1CDMG	1268aVULN|3AART|4RCR|5DMG|7RCVC|9CDMG
44	63213 54132	   	205.79	ACR|4VULN|2DMG|1AART|1ZMB	1269VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8MLV|aERES
45	63213 52125	   	205.78	ACR|3VULN|2AART|2DMG|1CDMG	126VULN|39AART|4RCR|56DMG|6BPWR|7NUKE|8MLV|aCDMG
46	63213 53411	   	205.58	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|568DMG|6BPWR|7RCVC|9DUR|aLWND
47	63213 53412	   	205.58	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|568DMG|6BPWR|7RCVC|9DUR|aBEXP
48	63213 53433	   	205.48	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|568DMG|6BPWR|7RCVC|9DUST|aASPD
49	63213 54213	   	205.34	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8CDMG|9CGEN|aERES
50	63213 64211	   	205.34	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	126VULN|3AART|4RCR|5aDMG|7ZMB|8CDMG|9CGEN
51	63213 53231	   	204.03	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9DUR|aBEXP
52	63213 53236	   	204.03	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9DUR|aLHND
53	63213 53631	   	204.03	ACR|4VULN|2DMG|1AART	1269VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8DUR|aBEXP
54	63213 53232	   	203.93	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9DUR|aERES
55	63213 53234	   	203.93	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9DUR|aDUST
56	63213 53262	   	203.93	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9ERES|aDUR
57	63213 53632	   	203.93	ACR|4VULN|2DMG|1AART	1269VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8DUR|aERES
58	63213 52123	   	203.14	ACR|3VULN|2AART|2DMG|1ZMB	126VULN|39AART|4RCR|56DMG|6BPWR|7NUKE|8MLV|aZMB
59	63213 52623	   	203.14	ACR|3VULN|2AART|2DMG|1ZMB	126VULN|39AART|4RCR|56DMG|6BPWR|7NUKE|8CGEN|aZMB
60	63213 54313	   	202.58	ACR|3VULN|2DMG|1AART|2ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7aZMB|8ASPD|9RPLT
61	63213 54323	   	202.58	ACR|3VULN|2DMG|1AART|2ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7aZMB|8ASPD|9DMSP
62	63213 51234	   	201.38	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9LWND|aDUR
63	63213 52215	   	201.28	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9CGEN|aDUR
64	63213 52222	   	201.28	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9DUR|aMLV
65	63213 52223	   	201.28	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9DUR|aRPLT
66	63213 52224	   	201.28	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9DUR|aLWND
67	63213 52325	   	201.28	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8ASPD|9DMSP|aCDMG
68	63213 52221	   	201.18	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9DUR|aDUST
69	63213 52225	   	201.18	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9DUR|aERES
70	63213 62251	   	201.18	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|5aDMG|7NUKE|8CDMG|9ASPD
71	63213 62341	   	201.18	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|5aDMG|7NUKE|8ASPD|9CDMG
72	63213 63433	   	200.83	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|58DMG|7RCVC|9DUR|aZMB
73	63213 51216	   	200.75	ACR|3VULN|2DMG|1AART|2CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8aCDMG|9RMIN
74	63213 51226	   	200.65	ACR|3VULN|2DMG|1AART|2CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8aCDMG|9TLV
75	63213 63235	   	199.99	ACR|4VULN|1AART|1DMG|1CDMG	1268VULN|3AART|4RCR|5DMG|7RCVC|9DUR|aCDMG
76	63212 61623	   	199.96	ACR|3VULN|2DMG|1AART|2DUR	128VULN|3AART|4RCR|5FEWX|68DMG|78DUR|8BPWR|9MBVNT|aASPD
77	63213 31623	   	199.86	ACR|3VULN|2DMG|1AART|2DUR	128VULN|3AART|4RCR|58DMG|6LEGI|78DUR|8BPWR|9MBVNT|aASPD
78	63213 54312	   	198.73	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8ASPD|9RPLT|aBEXP
79	63213 54321	   	198.73	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8ASPD|9DMSP|aFEWX
80	63213 56213	   	198.73	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7RPLT|8DUR|9CGEN|aZMB
81	63213 56223	   	198.73	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7RPLT|8DUR|9BEXP|aZMB
82	63213 53421	   	198.64	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|568DMG|6BPWR|7RCVC|9BEXP|aLWND
83	63213 53422	   	198.64	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|568DMG|6BPWR|7RCVC|9aBEXP
84	63213 53423	   	198.64	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|568DMG|6BPWR|7RCVC|9BEXP|aBELT
85	63213 52313	   	198.63	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8ASPD|9RPLT|aZMB
86	63213 52323	   	198.63	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8ASPD|9DMSP|aZMB
87	63213 54311	   	198.63	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8ASPD|9RPLT|aERES
88	63213 54322	   	198.63	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7ZMB|8ASPD|9DMSP|aERES
89	63213 53326	   	198.54	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|56aDMG|6BPWR|7RCVC|8DUST|9FEWX
90	63213 53431	   	198.54	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|568DMG|6BPWR|7RCVC|9DUST|aLWND
91	63213 53432	   	198.54	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|568DMG|6BPWR|7RCVC|9DUST|aBEXP
92	63213 53317	   	198.44	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|56aDMG|6BPWR|7RCVC|8DUST|9MBVNT
93	63213 33616	   	198.05	ACR|3VULN|3DMG|1AART	128VULN|3AART|4RCR|58aDMG|6LEGI|78FEWX|8BPWR|9RCVC
94	63216 35222	   	197.89	ACR|4VULN|1AART|1DMG|1CDMG	1267VULN|3AART|4RCR|56BEXP|6BPWR|8CDMG|9DUR|aDMG
95	63213 63233	   	197.35	ACR|4VULN|1AART|1DMG|1ZMB	1268VULN|3AART|4RCR|5DMG|7RCVC|9DUR|aZMB
96	63213 63633	   	197.35	ACR|4VULN|1AART|1DMG|1ZMB	1269VULN|3AART|4RCR|5DMG|7RCVC|8DUR|aZMB
97	63213 53211	   	197.09	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9FEWX|aBEXP
98	63213 53216	   	197.09	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9FEWX|aLHND
99	63213 53212	   	196.99	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9FEWX|aERES
100	63213 53214	   	196.99	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9FEWX|aDUST
101	63213 53221	   	196.99	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9DUST|aFEWX
102	63213 53225	   	196.99	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9DUST|aLHND
103	63213 53261	   	196.99	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9ERES|aBEXP
104	63213 53331	   	196.99	ACR|4VULN|2DMG|1AART	1269VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8DUST|aFEWX
105	63213 53335	   	196.99	ACR|4VULN|2DMG|1AART	1269VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8DUST|aLHND
106	63213 53222	   	196.89	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9DUST|aERES
107	63213 53224	   	196.89	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9aDUST
108	63213 53263	   	196.89	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9ERES|aMBVNT
109	63213 53332	   	196.89	ACR|4VULN|2DMG|1AART	1269VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8DUST|aERES
110	63213 53334	   	196.89	ACR|4VULN|2DMG|1AART	1269VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8aDUST
111	63213 31634	 * 	196.84	ACR|3VULN|2DMG|1AART|3DUR	128VULN|3AART|4RCR|58DMG|6LEGI|78aDUR|8BPWR|9CGEN
112	63213 53121	   	196.54	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8TLV|9CDMG|aMGNSTR
113	63213 53122	   	196.54	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8TLV|9CDMG|aLWND
114	63213 53124	   	196.54	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8TLV|9CDMG|aRPLT
115	63213 53125	   	196.54	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8TLV|9CDMG|aLHND
116	63213 53126	   	196.54	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8TLV|9CDMG|aLIT
117	63213 51131	   	196.49	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9RCVC|aBEXP
118	63213 51136	   	196.49	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9RCVC|aLHND
119	63213 53115	   	196.44	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8TLV|9ERES|aCDMG
120	63213 53123	   	196.44	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8TLV|9CDMG|aDUST
121	63213 51132	   	196.39	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9RCVC|aERES
122	63213 51134	   	196.39	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9RCVC|aDUST
123	63213 51317	   	196.34	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|56aDMG|6BPWR|78FEWX|9MBVNT
124	63213 52433	   	196.34	ACR|3VULN|3DMG|1AART	126VULN|3AART|4RCR|56aDMG|6BPWR|7NUKE|8BEXP|9LIT
125	63213 51335	   	196.04	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|78FEWX|9RCVC|aCDMG
126	63213 52232	   	195.94	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9RCVC|aLWND
127	63213 52234	   	195.94	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9RCVC|aRPLT
128	63213 52235	   	195.94	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9RCVC|aLHND
129	63213 52236	   	195.94	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9RCVC|aLIT
130	63213 52231	   	195.84	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9RCVC|aCANSTR
131	63213 52233	   	195.84	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9RCVC|aDUST
132	63213 53533	   	195.47	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|79RCVC|8FEWX|aZMB
133	63213 52131	   	194.99	ACR|4VULN|2DMG|1AART	126aVULN|3AART|4RCR|56DMG|6aBPWR|7NUKE|8aMLV|9aLIT
134	63213 52631	   	194.99	ACR|4VULN|2DMG|1AART	126aVULN|3AART|4RCR|56DMG|6aBPWR|7NUKE|8aCGEN|9aLIT
135	63213 51121	   	194.89	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|79FEWX|aBEXP
136	63213 51126	   	194.89	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|79FEWX|aLHND
137	63213 51152	   	194.89	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9LWND|aLIT
138	63213 51112	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9MBVNT|aLIT
139	63213 51114	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9MBVNT|aMLV
140	63213 51115	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9MBVNT|aLWND
141	63213 51116	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9MBVNT|aBEXP
142	63213 51122	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|79FEWX|aERES
143	63213 51124	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|79FEWX|aDUST
144	63213 51151	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9LWND|aTLV
145	63213 51153	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9LWND|aERES
146	63213 51161	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9BASHEA|aBEXP
147	63213 51162	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9BASHEA|aLHND
148	63213 55211	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7MLV|9ERES|aBEXP
149	63213 55231	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7MLV|9LEGI|aLHND
150	63213 55233	   	194.79	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7MLV|9LEGI|aCGEN
151	63212 61612	   	194.72	ACR|3VULN|2DMG|1AART|2DUR	128VULN|3AART|4RCR|5FEWX|68DMG|78DUR|8BPWR|9RCVC|aLIT
152	63213 64222	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	126VULN|3AART|4RCR|5DMG|7ZMB|8CDMG|9DUR|aMLV
153	63213 64223	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	126VULN|3AART|4RCR|5DMG|7ZMB|8CDMG|9DUR|aRPLT
154	63213 51111	   	194.69	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9MBVNT|aTLV
155	63213 51113	   	194.69	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9MBVNT|aERES
