0	Index      	 *	Score 	Summary	Detail	
1	23336 46111	 * 	204.55	ACR|3VULN|2DMG|2CDMG|3DUR|2ZMB	17aVULN|2aZMB|3RCVC|4RCR|57CDMG|67DMG|7aBPWR|89aDUR
2	26251 32344	 * 	203.32	DCR|4VULN|2DMG|1AART|1CDMG	146aVULN|2CDMG|3aDMG|5aBEXP|7AART|8RCR|9MBVNT|aBPWR
3	26262 22326	 * 	202.77	DCR|3VULN|2DMG|1AART|2ASPD|1CDMG	15aVULN|2CDMG|3aDMG|4TLV|6CGEN|7AART|8RCR|9aASPD|aBPWR
4	26263 22326	   	202.77	DCR|3VULN|2DMG|1AART|2ASPD|1CDMG	15aVULN|2CDMG|3aDMG|45TLV|5aBPWR|6CGEN|7AART|8RCR|9aASPD
5	26222 52331	   	197.42	DCR|4VULN|2DMG|1AART|1CDMG	1568VULN|2CDMG|38DMG|48LIT|7RPLT|8BPWR|9AART|aRCR
6	26251 33214	   	197.22	DCR|4VULN|2DMG|1AART|1CDMG	1468VULN|2CDMG|37DMG|5BEXP|9AART|aRCR
7	23663 12333	 * 	192.63	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	168VULN|2ZMB|3DUR|4aDMG|5RCR|7RCVC|9AART
8	26251 32351	 * 	191.94	DCR|4VULN|1AART|1DMG|2CDMG	1469VULN|2aCDMG|3DMG|5BEXP|7AART|8RCR
9	13155 41313	 * 	191.86	DCR|4VULN|3DMG|1DUR	1DLOT|2ERES|3589VULN|45aDMG|5BPWR|6RCR|7DUR
10	26253 42323	 * 	191.85	DCR|2VULN|2DMG|2AART|1CDMG|1ASPD	14VULN|2CDMG|36DMG|5LHND|7aAART|8RCR|9ASPD
11	12232 53515	 * 	191.30	DCR|3DMG|2VULN|1AART|2DUR	1DLOT|2RMIN|37VULN|47DUR|57aDMG|6RCR|7BPWR|8ERES|9AART
12	23336 34213	 * 	191.02	ACR|5VULN|1AART|1CDMG|1ZMB	1678aVULN|2ZMB|3RCVC|4RCR|5CDMG|9AART
13	23336 34215	 * 	189.64	ACR|4VULN|2AART|1CDMG|1ZMB	1678VULN|2ZMB|3RCVC|4RCR|5CDMG|9aAART
14	26231 32344	   	189.22	DCR|3VULN|2DMG|1AART|1CDMG	16aVULN|2CDMG|3aDMG|4DMSP|5aBEXP|7AART|8RCR|9MBVNT|aBPWR
15	26231 42344	 * 	189.22	DCR|3DMG|2VULN|1AART|1CDMG	1aVULN|2CDMG|36aDMG|4DMSP|5aBEXP|7AART|8RCR|9MBVNT|aBPWR
16	36562 11232	 * 	188.47	DCR|4VULN|2DMG|3CDMG	1aLHND|246CDMG|356aVULN|6aBPWR|7aDMG|8RPLT|9RCR
17	26234 11326	   	188.31	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1aVULN|2CDMG|3aDMG|4DMSP|5AART|6CGEN|7ERES|8RCR|9aASPD|aBPWR
18	26235 22326	   	187.21	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1aVULN|2CDMG|3aDMG|4DMSP|5MLV|6CGEN|7AART|8RCR|9aASPD|aBPWR
19	12232 53343	 * 	187.07	DCR|3VULN|3DMG|3DUR	1DLOT|2RMIN|378VULN|479DUR|57aDMG|6RCR|7BPWR
20	26251 32334	   	185.63	DCR|4VULN|1AART|1DMG|1CDMG	146aVULN|2CDMG|3DMG|5BEXP|7AART|8RCR|9LHND
21	26251 32353	   	185.63	DCR|4VULN|1AART|1DMG|1CDMG	1469VULN|2CDMG|3DMG|5BEXP|7AART|8RCR|aRMIN
22	26262 22352	   	185.53	DCR|4VULN|1AART|1DMG|1CDMG	159aVULN|2CDMG|3DMG|4TLV|6CGEN|7AART|8RCR
23	26263 22352	   	185.53	DCR|4VULN|1AART|1DMG|1CDMG	159aVULN|2CDMG|3DMG|45TLV|5BPWR|6CGEN|7AART|8RCR
24	26251 32352	   	185.53	DCR|4VULN|1AART|1DMG|1CDMG	1469VULN|2CDMG|3DMG|5BEXP|7AART|8RCR|aERES
25	12232 53341	 * 	185.06	DCR|3VULN|2DMG|3DUR|1CDMG	1DLOT|2RMIN|378VULN|479DUR|57DMG|6RCR|7BPWR|aCDMG
26	22563 32341	 * 	184.85	ACR|5VULN|2DMG|1DUR	1689aVULN|2CGEN|3DUR|46DMG|5RCR|6BPWR|7RCVC
27	23336 34231	   	184.53	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	1678VULN|2ZMB|3RCVC|4RCR|5CDMG|9DUR|aAART
28	22263 32643	 * 	184.23	ACR|2VULN|2DMG|2AART|1CDMG	16VULN|2CGEN|3LHND|46DMG|5RCR|6BPWR|7RCVC|8CDMG|9aAART
29	26224 52331	   	183.32	DCR|3VULN|2DMG|1AART|1CDMG	168VULN|2CDMG|38DMG|48LIT|5RCVC|7RPLT|8BPWR|9AART|aRCR
30	26231 33214	   	183.12	DCR|3VULN|2DMG|1AART|1CDMG	168VULN|2CDMG|37DMG|4DMSP|5BEXP|9AART|aRCR
31	26251 33314	   	183.12	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|2CDMG|37DMG|58BEXP|9AART|aRCR
32	26253 23214	   	183.12	DCR|3VULN|2DMG|1AART|1CDMG	148VULN|2CDMG|37DMG|56LHND|9AART|aRCR
33	22563 32342	   	183.03	ACR|4VULN|2DMG|1ZMB|1DUR	1689VULN|2CGEN|3DUR|46DMG|5RCR|6BPWR|7RCVC|aZMB
34	23336 46132	   	182.67	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR|1ASPD	17VULN|2ZMB|3RCVC|4RCR|57CDMG|67DMG|7BPWR|8DUR|9LHND|aASPD
35	22563 31253	 * 	182.58	ACR|3DMG|2VULN|1CDMG|1ZMB|1DUR	16VULN|2CGEN|3DUR|46aDMG|5RCR|6BPWR|7BEXP|8CDMG|9ZMB
36	26115 22432	 * 	182.56	DCR|3DMG|2VULN|1CDMG|1FLTHEA	1aVULN|2CDMG|3aERES|4FLTHEA|5BELT|6RCR|7FEWX|89aDMG|aBPWR
37	21462 22343	 * 	182.30	ACR|3VULN|2AART|1DMG|1CDMG	136VULN|23LWND|3BPWR|4CGEN|5RCR|7CDMG|8DMG|9aAART
