0	Index      	 *	Score 	Summary	Detail	
1	55311 26313	 * 	193.64	DCR|3VULN|2DMG|1AART|2DUR|1ASPD	1AART|247VULN|3ASPD|57DMG|67DUR|7BPWR|8BEXP|9FEWX|aRCR
2	53416 13131	 * 	193.29	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1AART|2aASPD|3RCR|4aVULN|5ZMB|6CGEN|7MBVNT|8RPLT|9aDMG|aBPWR
3	53416 12131	 * 	186.59	ACR|2DMG|1AART|1VULN|2ZMB|2ASPD|1DUR	1AART|2aASPD|3RCR|4VULN|5aZMB|6CGEN|7DUR|8RPLT|9aDMG|aBPWR
4	21435 31152	 * 	186.47	DCR|3DMG|2VULN|1AART|1CDMG|1SELL	1SELL|249DMG|3AART|59VULN|6MLV|7CDMG|89DUST|9BPWR|aRCR
5	13232 34334	 * 	186.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BEXP|2LWND|3CDMG|4aVULN|59DMG|6ZMB|7RCR|8AART
6	14132 34334	   	186.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BEXP|2CDMG|3LWND|4aVULN|59DMG|6ZMB|7RCR|8AART
7	11141 41334	 * 	185.66	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1BEXP|24aVULN|34DUR|4BPWR|5LWND|6CDMG|7RCR|8AART|9DMG
8	53112 21634	 * 	185.32	DCR|4VULN|1AART|3DUR|2ASPD	1AART|29ASPD|3BELT|469DUR|579aVULN|8RCR|9BPWR
9	53412 16233	 * 	185.18	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	1AART|2aASPD|3RCR|4VULN|5LHND|6CDMG|79DMG|8DUR
10	55321 26313	 * 	184.60	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	1AART|27VULN|34ASPD|57DMG|67DUR|7BPWR|8BEXP|9FEWX|aRCR
11	13232 34364	   	184.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2LWND|3CDMG|49aVULN|5DMG|6ZMB|7RCR|8AART
12	21342 15513	 * 	180.97	DCR|3DMG|1AART|1VULN|2DUR|1ZMB|1SELL	1SELL|246DMG|34DUR|4BPWR|5ZMB|7AART|8RCR|9LHND|aVULN
13	25115 43434	   	180.72	DCR|3VULN|2DMG|1AART|1SELL	1SELL|2AART|3aLWND|4MBVNT|5FEWX|68aVULN|7RCR|9aDMG|aBPWR
14	16323 42111	 * 	180.56	ACR|2VULN|1AART|1DMG|2CDMG|3DUR	1BEXP|256DUR|36CDMG|4RCR|6BPWR|79VULN|8AART|aDMG
15	11234 41334	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|24aVULN|3CDMG|5DUR|6LWND|7RCR|8AART|9DMG
16	13232 34354	 * 	180.13	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1BEXP|2LWND|3CDMG|4aVULN|5DMG|6ZMB|7RCR|89AART
17	51316 23411	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2FEWX|3ASPD|49VULN|5ZMB|6CDMG|7RCR|8DMG|aLIT
18	51316 23412	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2FEWX|3ASPD|49VULN|5ZMB|6CDMG|7RCR|8DMG|aBEXP
19	53316 23411	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3FEWX|49VULN|5ZMB|6CDMG|7RCR|8DMG|aLIT
20	53316 23412	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3FEWX|49VULN|5ZMB|6CDMG|7RCR|8DMG|aBEXP
