0	Index      	 *	Score 	Summary	Detail	
1	47324 44462	 * 	210.76	DCR|3VULN|3DMG|3ZMB|1CDMG	1MBVNT|289VULN|3RCVC|4SNIHEL|589ZMB|689DMG|7RCR|89BPWR|aCDMG
2	21343 13145	 * 	203.43	DCR|3DMG|2VULN|1AART|2CDMG	1RMIN|2AART|37VULN|47LHND|57aDMG|6RCR|7BPWR|89CDMG
3	41322 83453	 * 	202.65	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	1MBVNT|2aDUR|3RCVC|4CDMG|5AART|6aDMG|79aVULN|8RCR|aBPWR
4	21363 23453	 * 	202.61	DCR|3VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	1RMIN|2AART|38aVULN|4aDUR|5DMG|6ASPD|7RCR|9aCDMG|aBPWR
5	21343 13135	   	197.12	DCR|3DMG|2VULN|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57aDMG|6RCR|7BPWR|8CDMG|9RCVC
6	47324 44461	   	197.11	DCR|3VULN|3DMG|3ZMB	1MBVNT|289VULN|3RCVC|4SNIHEL|589ZMB|689DMG|7RCR|89BPWR|aLHND
7	47324 44463	   	197.11	DCR|3VULN|3DMG|3ZMB	1MBVNT|289VULN|3RCVC|4SNIHEL|589ZMB|689DMG|7RCR|89BPWR|aFEWX
8	47324 44464	   	197.01	DCR|3VULN|3DMG|3ZMB	1MBVNT|289VULN|3RCVC|4SNIHEL|589ZMB|689DMG|7RCR|89BPWR|aERES
9	21343 13141	   	194.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|89CDMG|aDUR
10	44523 32244	   	193.78	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1MBVNT|2AART|3RPLT|46CDMG|56DMG|6BPWR|7ZMB|8RCR|9aVULN
11	21363 23353	   	193.57	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD|2DUR	1RMIN|2AART|3aVULN|4aDUR|5DMG|68ASPD|7RCR|9aCDMG|aBPWR
12	21363 13145	   	192.58	DCR|3DMG|1AART|1VULN|2CDMG|1DUR	1RMIN|2AART|3VULN|4DUR|57aDMG|6RCR|89CDMG
13	21312 35643	   	192.22	DCR|3VULN|2DMG|1AART|2ASPD	1RMIN|2AART|34aVULN|5aDMG|6aASPD|7RCVC|8RCR|9RPLT|aBPWR
14	21164 43223	   	192.02	DCR|3VULN|2DMG|1AART|2ASPD	1RMIN|2AART|3aASPD|4TLV|5aDMG|69aVULN|7LEGI|8RCR|aBPWR
15	41322 83263	   	190.91	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1MBVNT|2aDUR|3RCVC|48CDMG|5AART|6aDMG|7aVULN|9RCR|aBPWR
16	21363 23153	 * 	190.78	DCR|2VULN|1AART|1DMG|2CDMG|3DUR|1ASPD	1RMIN|2AART|3aVULN|48aDUR|5DMG|6ASPD|7RCR|9aCDMG|aBPWR
17	21563 63131	 * 	188.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|2AART|3RCR|47VULN|57DMG|67LWND|7BPWR|8CDMG|9RCVC|aDUR
18	21343 13131	   	188.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9RCVC|aDUR
19	21343 13155	   	188.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9LWND|aDUR
20	21343 13165	   	188.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9FEWX|aDUR
21	21363 11145	 * 	188.38	DCR|2AART|2DMG|1VULN|2CDMG|1DUR	1RMIN|27AART|3VULN|4DUR|5aDMG|6RCR|89CDMG
22	44241 41363	   	188.16	DCR|3DMG|2VULN|1AART|2DUR|1SELL	1MBVNT|2AART|3SELL|47aDMG|5aDUR|6aVULN|8DMSP|9RCR|aBPWR
23	21343 13146	   	187.78	DCR|2VULN|2DMG|1AART|2CDMG	1aRMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|89CDMG
24	21343 13142	   	187.68	DCR|2VULN|2DMG|1AART|2CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|89CDMG|aDUST
25	21343 13143	   	187.68	DCR|2VULN|2DMG|1AART|2CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|89CDMG|aERES
26	21343 13144	   	187.68	DCR|2VULN|2DMG|1AART|2CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|89CDMG|aDLOT
27	44523 32248	   	187.64	DCR|2AART|2DMG|1VULN|2CDMG|1ZMB	1MBVNT|2aAART|3RPLT|46CDMG|56DMG|6BPWR|7ZMB|8RCR|9VULN
28	21343 12145	   	187.58	DCR|2VULN|2DMG|1AART|2CDMG	1RMIN|2AART|37VULN|4LHND|5aDMG|6RCR|89CDMG
29	21312 12345	   	187.42	DCR|3VULN|2DMG|1AART|2ASPD	1RMIN|2AART|349VULN|59DMG|6CGEN|7LWND|89ASPD|9BPWR|aRCR
30	21312 16345	   	187.42	DCR|3VULN|2DMG|1AART|2ASPD	1RMIN|2AART|349VULN|59DMG|6CGEN|7LHND|89ASPD|9BPWR|aRCR
31	44242 41363	 * 	187.37	DCR|3DMG|2AART|2VULN|1SELL	1MBVNT|28AART|3SELL|47aDMG|5aLWND|6aVULN|9RCR|aBPWR
32	44243 41363	 * 	187.37	DCR|3DMG|2AART|2VULN|1SELL	1MBVNT|28AART|3SELL|47aDMG|5aLHND|6aVULN|9RCR|aBPWR
33	44523 52244	   	187.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MBVNT|2AART|3RPLT|4CDMG|56DMG|7ZMB|8RCR|9aVULN
34	21312 25345	   	187.22	DCR|3VULN|2DMG|1AART|2ASPD	1RMIN|2AART|349VULN|59DMG|6DUST|7TLV|89ASPD|9BPWR|aRCR
35	41322 81452	   	186.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1MBVNT|2aDUR|3RCVC|4CDMG|5AART|6aDMG|7LEGI|8RCR|9aVULN|aBPWR
36	21563 23135	 * 	186.69	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|2AART|3RCR|4VULN|57aDMG|6DUR|8CDMG|9RCVC
37	44181 23453	 * 	186.66	DCR|3VULN|1AART|3ASPD|1CDMG|2DUR	1MBVNT|2AART|3aDUR|4CDMG|56aASPD|79aVULN|8RCR|aBPWR
38	21363 13135	   	186.27	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|2AART|3VULN|4DUR|57aDMG|6RCR|8CDMG|9RCVC
39	21413 13145	   	185.64	DCR|3DMG|1AART|1VULN|2CDMG	1RMIN|2AART|3BEXP|4VULN|57aDMG|6RCR|89CDMG
40	53216 22223	   	184.69	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1DUR|26DMG|3ASPD|4LHND|59VULN|7AART|8RCR|aZMB
41	21512 12145	 * 	184.29	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1RMIN|2AART|3RCR|4ASPD|59CDMG|68VULN|7DUR|aDMG
42	21312 45224	 * 	183.83	DCR|4VULN|1AART|1DMG|1CDMG	1RMIN|2AART|3467VULN|5DMG|8FEWX|9CDMG|aRCR
43	21563 63321	 * 	183.79	ACR|3VULN|2DMG|1AART	1aRMIN|2AART|3RCR|479VULN|57DMG|67LWND|7BPWR|8DUST
44	44134 13522	 * 	183.76	DCR|2VULN|2DMG|1AART|3DUR	1MBVNT|2AART|35aDUR|4LWND|6RCR|7aDMG|8aVULN|9BELT|aBPWR
45	21563 63322	   	183.69	ACR|3VULN|2DMG|1AART	1RMIN|2AART|3RCR|479VULN|57DMG|67LWND|7BPWR|8DUST|aERES
46	21563 63323	   	183.69	ACR|3VULN|2DMG|1AART	1RMIN|2AART|3RCR|479VULN|57DMG|67LWND|7BPWR|8DUST|aLSRREG
47	44414 64254	 * 	183.52	DCR|4VULN|2AART|2ZMB	1MBVNT|26AART|39ERES|459aVULN|7RCR|89ZMB|9BPWR
48	21343 13221	   	183.47	DCR|3VULN|2DMG|1AART	1aRMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8LWND
49	21343 13224	   	183.47	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47aLHND|57DMG|6RCR|7BPWR|8LWND
50	21343 13226	   	183.47	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8LWND|aCGEN
51	21343 13264	   	183.47	DCR|3VULN|2DMG|1AART	1RMIN|2AART|37aVULN|47LHND|57DMG|6RCR|7BPWR|8LWND|9LIT
52	21343 13421	   	183.47	DCR|3VULN|2DMG|1AART	1aRMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8BEXP
53	21343 13424	   	183.47	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47aLHND|57DMG|6RCR|7BPWR|8BEXP
54	21343 13426	   	183.47	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8BEXP|aCGEN
55	21343 13621	   	183.47	DCR|3VULN|2DMG|1AART	1aRMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8FEWX
56	21343 13624	   	183.47	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47aLHND|57DMG|6RCR|7BPWR|8FEWX
57	21343 13626	   	183.47	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8FEWX|aCGEN
58	21343 13222	   	183.37	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8LWND|aERES
59	21343 13223	   	183.37	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8LWND|aLSRREG
60	21343 13225	   	183.37	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8LWND|aDUST
61	21343 13332	   	183.37	DCR|3VULN|2DMG|1AART	1RMIN|2AART|37aVULN|47LHND|57DMG|6RCR|7BPWR|8CGEN|9ERES
62	21343 13422	   	183.37	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8BEXP|aERES
63	21343 13423	   	183.37	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8BEXP|aLSRREG
64	21343 13425	   	183.37	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8BEXP|aDUST
65	21343 13622	   	183.37	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8FEWX|aERES
66	21343 13623	   	183.37	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8FEWX|aLSRREG
67	21343 13625	   	183.37	DCR|3VULN|2DMG|1AART	1RMIN|2AART|379VULN|47LHND|57DMG|6RCR|7BPWR|8FEWX|aDUST
68	63234 23314	   	183.22	DCR|3DMG|2VULN|1AART|1CDMG	14LWND|246DMG|3RPLT|4BPWR|5CDMG|78VULN|9AART|aRCR
69	44552 21132	   	182.88	DCR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2AART|3RPLT|4aVULN|5BELT|6aDMG|7aCDMG|8RCR|9RMIN|aBPWR
70	21563 23141	 * 	182.64	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1RMIN|2AART|3RCR|4VULN|57DMG|6aDUR|89CDMG
71	21563 21135	 * 	182.48	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1RMIN|27AART|3RCR|4VULN|5aDMG|6DUR|8CDMG|9RCVC
72	21363 13141	   	182.22	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	1RMIN|2AART|3VULN|4aDUR|57DMG|6RCR|89CDMG
73	44414 64354	   	182.22	DCR|4VULN|2AART|2ASPD	1MBVNT|26AART|39ERES|459aVULN|7RCR|89ASPD|9BPWR
74	21363 11135	   	182.06	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1RMIN|27AART|3VULN|4DUR|5aDMG|6RCR|8CDMG|9RCVC
75	21363 13165	   	182.06	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1RMIN|2aAART|3VULN|4DUR|57DMG|6RCR|8CDMG|9FEWX
76	21413 13135	   	182.06	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1RMIN|2aAART|3BEXP|4VULN|57DMG|6RCR|8CDMG|9DUR
77	21552 12135	   	182.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RMIN|2AART|3RCR|4ZMB|5CDMG|68VULN|7DUR|9RCVC|aDMG
78	21563 63111	   	181.78	ACR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|3RCR|47VULN|57DMG|67LWND|7BPWR|8CDMG|9ERES|aBEXP
79	21563 63112	   	181.78	ACR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|3RCR|47VULN|57DMG|67LWND|7BPWR|8CDMG|9ERES|aMLV
80	21563 63113	   	181.78	ACR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|3RCR|47VULN|57DMG|67aLWND|7BPWR|8CDMG|9ERES
81	21563 63132	   	181.78	ACR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|3RCR|47VULN|57DMG|67LWND|7BPWR|8CDMG|9RCVC|aDUST
82	21563 63133	   	181.78	ACR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|3RCR|47VULN|57DMG|67LWND|7BPWR|8CDMG|9RCVC|aERES
83	21515 33422	   	181.68	ACR|2VULN|2DMG|1AART|2ASPD	1RMIN|2AART|3RCR|4aASPD|5BEXP|6LEGI|7aDMG|8aVULN|9BELT|aBPWR
84	21312 42136	 * 	181.63	DCR|4VULN|2AART|1DMG	1RMIN|27AART|3469VULN|5DMG|8LWND|aRCR
