0	Index      	 *	Score 	Summary	Detail	
1	21512 11343	 * 	192.00	DCR|2VULN|2DMG|3ZMB|1AART	147ZMB|2DMSP|37FEWX|57DMG|6RCR|7BPWR|8aVULN|9AART
2	32311 23644	 * 	189.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1RPLT|2ZMB|36CDMG|46DMG|5MBVNT|6BPWR|7aVULN|8RCR|9AART
3	63255 11312	 * 	189.38	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCVC|2RCR|3ZMB|48DMG|5ASPD|6LHND|7AART|9aVULN
4	63316 35332	 * 	188.29	ACR|3VULN|2DMG|1AART	1RCVC|2RCR|3LHND|47DMG|5AART|68aVULN|9FEWX
5	63316 35313	   	188.19	ACR|3VULN|2DMG|1AART	1RCVC|2RCR|3LHND|47DMG|5AART|68aVULN|9TLV
6	33211 23644	 * 	187.12	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RPLT|2CDMG|36ZMB|46DMG|5MBVNT|6BPWR|7aVULN|8RCR|9AART
7	32114 41621	   	186.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1RPLT|2ZMB|35VULN|45DMG|5BPWR|6CDMG|7AART|8ASPD|9LWND|aRCR
8	63212 22523	 * 	186.43	ACR|3VULN|1AART|1DMG|2ZMB|2RCVC	15RCVC|2RCR|34ZMB|67aVULN|8AART|9DMG
9	63262 22523	   	186.43	ACR|3VULN|1AART|1DMG|2ZMB|2RCVC	15RCVC|2RCR|34ZMB|4BPWR|67aVULN|8AART|9DMG
10	65232 64212	 * 	185.65	ACR|2DMG|2AART|1VULN|1CDMG|1ZMB	1RCVC|2MBVNT|3ZMB|4RCR|5CDMG|68AART|7VULN|9aDMG
11	24632 21115	 * 	185.24	ACR|4VULN|1DMG|2ZMB|1CDMG|1ASPD	17ZMB|2DMG|3ASPD|4RCR|5CDMG|689aVULN
12	63251 31413	 * 	184.96	ACR|3DMG|1AART|2CDMG|2ZMB	1RCVC|2RCR|3aZMB|49aDMG|5LEGI|6AART|7aCDMG|8RMIN|aBPWR
13	63212 22524	 * 	184.43	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|2RCVC	15RCVC|2RCR|34ZMB|67VULN|8AART|9DMG|aCDMG
14	63653 31232	 * 	183.75	ACR|3DMG|1AART|1VULN|1CDMG	1RCVC|2RCR|3CGEN|49aDMG|5FEWX|6AART|7CDMG|8VULN
15	24633 53122	   	183.66	ACR|3VULN|2DMG|2DUR|1ZMB|1ASPD	1ZMB|29DMG|3ASPD|4RCR|5LIT|69aVULN|7FEWX|89DUR|9BPWR
16	63651 31232	   	183.65	ACR|3DMG|1AART|1VULN|1CDMG	1RCVC|2RCR|3CGEN|49aDMG|5LEGI|6AART|7CDMG|8VULN
17	32112 67644	   	183.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RPLT|2ZMB|3aVULN|47DMG|5MBVNT|6CDMG|8RCR|9AART
18	32311 77644	   	183.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RPLT|2ZMB|3CDMG|47DMG|5MBVNT|6aVULN|8RCR|9AART
19	33211 77644	   	183.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RPLT|2CDMG|3ZMB|47DMG|5MBVNT|6aVULN|8RCR|9AART
20	63251 33223	 * 	182.94	ACR|2VULN|3ZMB|1AART|1DMG	1RCVC|2RCR|39aZMB|4DMG|5LEGI|6AART|7aLIT|8aVULN|aBPWR
21	63251 34111	 * 	182.94	ACR|2DMG|3ZMB|1AART|1VULN	1RCVC|2RCR|38aZMB|48DMG|5LEGI|6AART|78LWND|8BPWR|9VULN
22	63251 36111	   	182.94	ACR|2DMG|3ZMB|1AART|1VULN	1RCVC|2RCR|38aZMB|48DMG|5LEGI|6AART|78FEWX|8BPWR|9VULN
