0	Index      	 *	Score 	Summary	Detail	
1	31526 43323	 * 	208.82	DCR|4VULN|3DMG|3CDMG	168DMG|289aVULN|389CDMG|4MBVNT|5RPLT|7RCR|89BPWR
2	31526 43327	   	201.66	DCR|3VULN|3DMG|3CDMG|1ASPD	168DMG|289VULN|389CDMG|4MBVNT|5RPLT|7RCR|89BPWR|aASPD
3	31522 25812	 * 	198.70	DCR|5VULN|2DMG|3CDMG	18DMG|26789VULN|358CDMG|4MBVNT|8BPWR|aRCR
4	31526 43362	 * 	196.13	DCR|3DMG|2VULN|1AART|2CDMG	168DMG|28VULN|38CDMG|4MBVNT|5RPLT|7RCR|8BPWR|9LIT|aAART
5	31526 43321	   	194.72	DCR|3VULN|3DMG|3CDMG	168DMG|289VULN|389CDMG|4MBVNT|5RPLT|7RCR|89BPWR|aBEXP
6	31526 43325	   	194.72	DCR|3VULN|3DMG|3CDMG	168DMG|289VULN|389CDMG|4MBVNT|5RPLT|7RCR|89BPWR|aLHND
7	31526 43328	   	194.72	DCR|3VULN|3DMG|3CDMG	168DMG|289VULN|389CDMG|4MBVNT|5RPLT|7RCR|89BPWR|aMGNLIT
8	31526 43324	   	194.62	DCR|3VULN|3DMG|3CDMG	168DMG|289VULN|389CDMG|4MBVNT|5RPLT|7RCR|89BPWR|aERES
9	31133 23232	 * 	192.91	DCR|3DMG|2AART|2VULN	149DMG|2aVULN|3CGEN|57AART|6RCR|8LHND
10	31133 23223	 * 	192.91	DCR|3VULN|2AART|2DMG	14DMG|29aVULN|3CGEN|57AART|6RCR|8LHND
11	31133 23364	   	192.91	DCR|3VULN|2AART|2DMG	14DMG|29aVULN|3CGEN|57AART|6RCR|8LIT
12	31163 23233	   	192.91	DCR|3VULN|2AART|2DMG	19DMG|24aVULN|3CGEN|57AART|6RCR|8LHND
13	31133 21232	   	192.37	DCR|3DMG|2VULN|1AART|1ZMB	149DMG|2aVULN|3CGEN|5AART|6RCR|7ERES|8ZMB
14	31133 26132	   	192.37	DCR|3DMG|2VULN|1AART|1ZMB	149DMG|2aVULN|3CGEN|5AART|6RCR|7ZMB|8TLV
15	31523 34127	   	190.01	DCR|2VULN|2DMG|1AART|1FLTHEA|1CDMG	18DMG|28VULN|3CDMG|4MBVNT|5CGEN|6RCR|78ERES|8BPWR|9FLTHEA|aAART
16	31163 23223	 * 	189.43	DCR|4VULN|2AART|1DMG	1DMG|249aVULN|3CGEN|57AART|6RCR|8LHND
17	31163 23364	   	189.43	DCR|4VULN|2AART|1DMG	1DMG|249aVULN|3CGEN|57AART|6RCR|8LIT
18	31334 34353	 * 	188.97	DCR|4VULN|2DMG|1AART	18DMG|256aVULN|3LWND|4AART|7MLV|9RCR
19	31526 43354	   	188.58	DCR|3VULN|3DMG|2CDMG	168DMG|28aVULN|38CDMG|4MBVNT|5RPLT|7RCR|8BPWR|9LHND
20	31133 23331	   	188.26	DCR|2AART|2VULN|2DMG|1ZMB	14DMG|2aVULN|3CGEN|57AART|6RCR|8LIT|9ZMB
