0	Index      	 *	Score 	Summary	Detail	
1	13363 25512	 * 	193.03	DCR|2VULN|2DMG|1AART|2CDMG|2ZMB	18VULN|2RPLT|38ZMB|4aDMG|5BEXP|6AART|78CDMG|8BPWR|9RCR
2	12531 14512	 * 	187.17	DCR|3VULN|3DMG|3DUR	19aVULN|29aDUR|35DUST|48FEWX|6RCR|79aDMG|9aBPWR
3	13363 25511	 * 	181.48	DCR|2VULN|3CDMG|1AART|1DMG|2ZMB	18VULN|2RPLT|38ZMB|4DMG|5BEXP|6AART|78aCDMG|8BPWR|9RCR
4	43323 35531	 * 	181.31	DCR|3VULN|2DMG|1AART|1DUR	1BELT|25aVULN|35DMG|4RMIN|5BPWR|6LIT|7DUR|8RCR|9AART
5	13632 33562	 * 	180.35	DCR|4VULN|2DMG|1CDMG|1ASPD	1567VULN|2RPLT|37AIRHEL|47DMG|7BPWR|8ASPD|9CDMG|aRCR
6	13363 63325	 * 	179.07	DCR|4VULN|1DMG|2ZMB|2DUR	179aVULN|2RPLT|39ZMB|4DMG|5BEXP|6RCR|89DUR|9BPWR
7	13363 63326	 * 	178.62	DCR|3VULN|1DMG|2ZMB|1FLTHEA|2DUR	179VULN|2RPLT|39ZMB|4DMG|5BEXP|6RCR|89DUR|9BPWR|aFLTHEA
8	13361 63362	   	178.50	DCR|3VULN|2DMG|2DUR|1ZMB	179VULN|2RPLT|3ZMB|4aDMG|58DUR|6RCR
9	32432 31111	 * 	176.76	DCR|2VULN|2DMG|1AART|3DUR	139BEXP|259DUR|45DMG|59BPWR|6FEWX|7RCR|89VULN|aAART
10	12546 13312	 * 	176.35	DCR|4VULN|3ZMB|3DUR	159aVULN|29aDUR|37DUST|4BEXP|6RCR|89aZMB|9aBPWR
11	22335 43112	 * 	175.98	ACR|3VULN|3DMG|1DUR	13RCVC|29aDUST|4RCR|59aDMG|6DUR|7LHND|89aVULN|9aBPWR
12	13363 25513	   	175.44	DCR|2VULN|1AART|1DMG|2CDMG|2ZMB	18VULN|2RPLT|38ZMB|4DMG|5BEXP|6AART|78CDMG|8BPWR|9RCR|aDMSP
13	13336 62232	   	174.33	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	19VULN|2RPLT|39ZMB|4LWND|5AART|6CDMG|7RCR|89ERES|9BPWR|aDMG
14	13336 62432	   	174.33	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	19VULN|2RPLT|39ZMB|4LWND|5AART|6CDMG|7RCR|89TLV|9BPWR|aDMG
15	12556 11322	   	174.00	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	15VULN|24DUR|3DUST|6ZMB|7RCR|8CDMG|9aDMG
16	43143 13324	 * 	173.77	DCR|3DMG|2VULN|1AART	1BELT|29VULN|3ERES|4RMIN|59LWND|679DMG|8RCR|9BPWR|aAART
17	43113 13324	   	173.67	DCR|3DMG|2VULN|1AART	1BELT|29VULN|3ERES|479DMG|59LWND|6NUKE|8RCR|9BPWR|aAART
18	43114 13324	   	173.67	DCR|3DMG|2VULN|1AART	1BELT|29VULN|3ERES|479DMG|59LHND|6NUKE|8RCR|9BPWR|aAART
19	43323 25611	   	173.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1BELT|25VULN|35DMG|4RMIN|5BPWR|6AART|7DUR|8ZMB|9BEXP|aRCR
20	43323 25631	   	173.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1BELT|25VULN|35DMG|4RMIN|5BPWR|6AART|7DUR|8ZMB|9LHND|aRCR
21	13311 65141	   	173.41	DCR|3VULN|2DMG|1ZMB|1DUR	19aVULN|2RPLT|3ZMB|49CGEN|5DUR|6RCR|7LIT|89DMG|9BPWR
22	13635 26331	 * 	173.23	DCR|3DMG|1AART|1VULN|1CDMG	1VULN|2RPLT|3AIRHEL|456DMG|7RCR|8AART|9DMSP|aCDMG
23	13361 63162	   	173.21	DCR|3VULN|2DMG|1ZMB|1DUR	179VULN|2RPLT|3ZMB|4aDMG|5DUR|6RCR|8RCVC
24	13361 52332	   	172.94	DCR|3VULN|2DMG|1ZMB|1ASPD|1DUR	18aVULN|2RPLT|3ZMB|47DMG|5DUR|6ASPD|9RCR
25	15241 31322	   	172.65	DCR|2VULN|2DMG|2ZMB|1CDMG|1DUR	13VULN|26ZMB|4DUR|5BEXP|7RCR|8CDMG|9aDMG
26	15241 31512	   	172.65	DCR|2VULN|2DMG|2ZMB|1CDMG|1DUR	13VULN|26ZMB|4DUR|5BEXP|7RCR|8aDMG|9CDMG
27	15244 31322	   	172.65	DCR|2VULN|2DMG|2ZMB|1CDMG|1DUR	13VULN|26ZMB|4DUR|5FEWX|7RCR|8CDMG|9aDMG
28	16563 12312	   	172.64	DCR|4VULN|3ZMB|2DUR	149aVULN|29aLWND|3DUST|57DUR|6RCR|89aZMB|9aBPWR
29	15243 31512	   	172.55	DCR|2VULN|2DMG|2ZMB|1CDMG|1DUR	13VULN|26ZMB|4DUR|5DUST|7RCR|8aDMG|9CDMG
30	15243 31322	   	172.55	DCR|2VULN|2DMG|2ZMB|1CDMG|1DUR	13VULN|26ZMB|4DUR|5DUST|7RCR|8CDMG|9aDMG
31	43323 32625	   	172.36	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|25VULN|35DMG|4RMIN|5BPWR|6LIT|7CGEN|8RCR|9AART|aCDMG
32	13336 22611	 * 	172.34	DCR|3VULN|1AART|2CDMG|1ZMB|1SELL	19aVULN|2RPLT|3ZMB|49LWND|5AART|6SELL|7RCR|89CDMG|9BPWR
33	13346 22611	 * 	172.34	DCR|3VULN|1AART|2CDMG|1ZMB|1SELL	19aVULN|2RPLT|3ZMB|49FEWX|5AART|6SELL|7RCR|89CDMG|9BPWR
34	13356 22611	 * 	172.34	DCR|3VULN|1AART|2CDMG|1ZMB|1SELL	19aVULN|2RPLT|3ZMB|49BEXP|5AART|6SELL|7RCR|89CDMG|9BPWR
35	14231 21513	 * 	172.03	DCR|3VULN|1AART|1DMG|1CDMG	136VULN|2ERES|4LWND|5BEXP|7RCR|8DMG|9CDMG|aAART
36	14236 21513	   	172.03	DCR|3VULN|1AART|1DMG|1CDMG	136VULN|2ERES|4LWND|5FEWX|7RCR|8DMG|9CDMG|aAART
37	14261 21513	   	172.03	DCR|3VULN|1AART|1DMG|1CDMG	136VULN|2ERES|4LHND|5BEXP|7RCR|8DMG|9CDMG|aAART
38	14233 21513	   	171.93	DCR|3VULN|1AART|1DMG|1CDMG	136VULN|2ERES|4LWND|5DUST|7RCR|8DMG|9CDMG|aAART
39	14263 21513	   	171.93	DCR|3VULN|1AART|1DMG|1CDMG	136VULN|2ERES|4LHND|5DUST|7RCR|8DMG|9CDMG|aAART
40	15225 63112	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|2ZMB|4ERES|5CDMG|6AART|7DUR|8RPLT|9RCR|aDMG
41	12336 14513	   	171.51	DCR|3VULN|2DMG|3DUR	159VULN|29aDUR|3LHND|48FEWX|6RCR|79DMG|9BPWR
42	12336 14211	   	171.51	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3LHND|4FEWX|6RCR|79DMG|9BPWR|aLWND
