0	Index      	 *	Score 	Summary	Detail	
1	14611 15233	 * 	194.54	ACR|3VULN|3DMG|1AART	1BEXP|245VULN|3RCR|678DMG|9MGNLIT|aAART
2	14611 12621	 * 	187.00	ACR|4VULN|1AART|1DMG|1ZMB	1BEXP|245aVULN|3RCR|6DMG|7BELT|8ZMB|9AART
3	14611 15213	 * 	184.99	ACR|3VULN|3DMG|1CDMG	1BEXP|245VULN|3RCR|678DMG|9DMSP|aCDMG
4	14611 15223	 * 	184.99	ACR|3VULN|3DMG|1FLTHEA	1BEXP|245VULN|3RCR|678DMG|9RMIN|aFLTHEA
5	14611 16223	 * 	183.34	ACR|4VULN|2DMG|1FLTHEA	1BEXP|2457VULN|3RCR|68DMG|9ERES|aFLTHEA
6	14612 36213	   	180.99	ACR|4VULN|2DMG|1ZMB	19BEXP|2479VULN|3RCR|5CGEN|6LWND|89DMG|9BPWR|aZMB
7	14613 36213	   	180.89	ACR|4VULN|2DMG|1ZMB	19BEXP|2479VULN|3RCR|5ERES|6LWND|89DMG|9BPWR|aZMB
8	14611 12622	   	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|245VULN|3RCR|6DMG|7BELT|8ZMB|9AART|aASPD
9	14611 12342	 * 	179.60	ACR|4VULN|1DMG|2ASPD|1CDMG	1aBEXP|245aVULN|3RCR|6DMG|7BELT|8CDMG|9aASPD|aBPWR
10	14611 15311	   	179.49	ACR|3VULN|2DMG|1AART	1BEXP|245VULN|3RCR|67DMG|8LHND|9AART|aLIT
11	14611 15313	   	179.49	ACR|3VULN|2DMG|1AART	1BEXP|245VULN|3RCR|67DMG|8LHND|9AART|aCGEN
12	14611 15312	   	179.39	ACR|3VULN|2DMG|1AART	1BEXP|245VULN|3RCR|67DMG|8LHND|9AART|aDUST
13	14612 36212	   	176.92	ACR|4VULN|2DMG|1DUR	19BEXP|2479VULN|3RCR|5CGEN|6LWND|89DMG|9BPWR|aDUR
14	14613 36212	   	176.82	ACR|4VULN|2DMG|1DUR	19BEXP|2479VULN|3RCR|5ERES|6LWND|89DMG|9BPWR|aDUR
15	14611 16222	   	176.62	ACR|4VULN|2DMG|1DUR	1BEXP|2457VULN|3RCR|68DMG|9ERES|aDUR
16	14611 12421	   	176.00	ACR|4VULN|1AART|1DMG	1BEXP|245aVULN|3RCR|6DMG|7BELT|8CGEN|9AART
17	14611 16311	   	176.00	ACR|4VULN|1AART|1DMG	1BEXP|2457VULN|3RCR|6DMG|8LHND|9AART|aLIT
18	14611 16313	   	176.00	ACR|4VULN|1AART|1DMG	1BEXP|2457VULN|3RCR|6DMG|8LHND|9AART|aCGEN
