0	Index      	 *	Score 	Summary	Detail	
1	23524 13313	 * 	204.07	ACR|3VULN|2AART|2DMG|1ASPD	19FEWX|2RCR|3aAART|4RPLT|5ASPD|69DMG|789VULN|9BPWR
2	23563 13152	 * 	196.50	ACR|3VULN|1AART|1DMG|2ZMB|1CDMG	18FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|9CDMG|aDMG
3	23563 11152	 * 	194.58	ACR|2VULN|3ZMB|1AART|1DMG|1CDMG	18FEWX|2RCR|3AART|46VULN|568ZMB|68BPWR|78LIT|9CDMG|aDMG
4	23524 13312	   	192.63	ACR|3VULN|2DMG|1AART|1ASPD	19FEWX|2RCR|3AART|4RPLT|5ASPD|69DMG|789VULN|9BPWR|aLHND
5	23524 13314	   	192.63	ACR|3VULN|2DMG|1AART|1ASPD	19FEWX|2RCR|3AART|4RPLT|5ASPD|69DMG|789VULN|9BPWR|aRCVC
6	23524 13315	   	192.63	ACR|3VULN|2DMG|1AART|1ASPD	19aFEWX|2RCR|3AART|4RPLT|5ASPD|69DMG|789VULN|9BPWR
7	23524 13316	   	192.63	ACR|3VULN|2DMG|1AART|1ASPD	19FEWX|2RCR|3AART|4RPLT|5ASPD|69DMG|789VULN|9BPWR|aDMSP
8	23524 13311	   	192.53	ACR|3VULN|2DMG|1AART|1ASPD	19FEWX|2RCR|3AART|4RPLT|5ASPD|69DMG|789VULN|9BPWR|aERES
9	22563 14121	 * 	191.42	DCR|3VULN|2DMG|1AART|1CDMG	1FEWX|2LEGI|3AART|46aVULN|56DMG|6BPWR|7AIRHEA|8RCR|9CDMG
10	23563 13243	 * 	190.44	ACR|4VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467aVULN|56ZMB|6BPWR|8VENICY|9CDMG
11	23563 13613	 * 	190.43	ACR|4VULN|3ZMB|1AART	1FEWX|2RCR|3AART|4678VULN|56aZMB|6BPWR|9RPLT
12	23563 13223	   	190.33	ACR|4VULN|3ZMB|1AART	1FEWX|2RCR|3AART|467aVULN|569ZMB|6BPWR|8VENICY
13	23324 24321	 * 	188.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|2RCR|3BASHEA|48DMG|5DUR|6AART|7aVULN|9CDMG
14	23524 13343	   	188.22	ACR|2AART|2VULN|2DMG|1ASPD	1FEWX|2RCR|3aAART|4RPLT|5ASPD|69DMG|78VULN
15	23333 22321	   	187.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|2RCR|3BASHEA|4aVULN|58DMG|6DUR|7AART|9CDMG
16	23563 11214	   	187.79	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1FEWX|2RCR|3AART|46VULN|56ZMB|6BPWR|7LIT|8DUR|9DMG|aCDMG
17	23563 12413	   	187.67	ACR|2VULN|3ZMB|1AART|1DMG|1DUR	1FEWX|2RCR|3AART|46VULN|568ZMB|6BPWR|7DUR|9BELT|aDMG
18	34331 22434	 * 	187.23	ACR|3VULN|3DMG|2ASPD|1DUR	16aVULN|2aASPD|3CGEN|4DUR|5RCR|79aDMG|8RPLT|aBPWR
19	23524 13363	   	186.29	ACR|3VULN|2AART|1DMG|1ASPD	1FEWX|2RCR|3aAART|4RPLT|5ASPD|6DMG|789VULN
20	34124 43453	   	185.58	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1aVULN|2ASPD|3aDUR|4AART|5MBVNT|6RCR|7SNIHEL|8LIT|9aDMG|aBPWR
21	23532 61321	   	185.49	ACR|3VULN|2DMG|1AART	1FEWX|2RCR|3AART|4BEXP|58aVULN|69DMG|7MLV
22	23563 13632	   	183.83	ACR|4VULN|1AART|2ZMB|1DUR	1FEWX|2RCR|3AART|4678VULN|56ZMB|6BPWR|9BEXP|aDUR
23	23563 13242	   	183.28	ACR|3VULN|1AART|2ZMB|1CDMG|1DUR	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8VENICY|9CDMG|aDUR
24	23563 12422	   	183.26	ACR|3VULN|3ZMB|1AART|1DUR	1FEWX|2RCR|3AART|46aVULN|568ZMB|6BPWR|7DUR|9RCVC
25	23563 13125	   	182.85	ACR|3VULN|1AART|1DMG|2ZMB	18FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|9LWND|aDMG
26	23563 13135	   	182.85	ACR|3VULN|1AART|1DMG|2ZMB	18FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|9BEXP|aDMG
27	23563 13252	   	182.75	ACR|3VULN|1AART|1DMG|2ZMB	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8VENICY|9BELT|aDMG
28	22563 14122	   	182.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|2LEGI|3AART|46VULN|56DMG|6BPWR|7AIRHEA|8RCR|9CDMG|aDUR
29	23563 51121	   	181.83	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	18FEWX|2RCR|3aAART|48VULN|5ZMB|6ASPD|78LHND|8BPWR|9DMG
30	23563 52121	   	181.83	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	18FEWX|2RCR|3aAART|48VULN|5ZMB|6ASPD|78LWND|8BPWR|9DMG
31	23563 51321	   	181.63	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1FEWX|2RCR|3aAART|48VULN|5ZMB|6ASPD|7LHND|9DMG
32	23563 52321	   	181.63	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1FEWX|2RCR|3aAART|48VULN|5ZMB|6ASPD|7LWND|9DMG
33	23563 23523	   	180.84	ACR|2VULN|2DMG|1AART|1ZMB	1FEWX|2RCR|3AART|4aVULN|5ZMB|6LHND|7aSNIHEL|8LIT|9aDMG|aBPWR
34	22563 11231	 * 	180.01	DCR|3DMG|2VULN|1AART|1DUR	1FEWX|2LEGI|3AART|46VULN|569DMG|6BPWR|7LIT|8DUR|aRCR
