0	Index      	 *	Score 	Summary	Detail	
1	21223 24625	 * 	193.04	ACR|3VULN|2DMG|1AART|1CDMG	1LSRHEA|2BEXP|39aVULN|4RCR|5AART|67DMG|8CDMG
2	21223 24623	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1LSRHEA|2BEXP|39VULN|4RCR|5AART|67DMG|8CDMG|aASPD
3	21223 24563	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|67DMG|8DUR|9CDMG
4	23225 66333	   	183.93	ACR|3VULN|2DMG|1AART|1DUR	18LSRHEA|2LEGI|38aVULN|4RCR|5FEWX|6DUR|78DMG|8BPWR|9AART
5	21223 42441	 * 	180.94	ACR|4VULN|2AART|1CDMG	1LSRHEA|2BEXP|379aVULN|4RCR|56AART|8CDMG
6	21223 26563	 * 	178.18	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1LSRHEA|2BEXP|3aVULN|4RCR|58AART|6DMG|7DUR|9CDMG
7	21223 26615	   	177.61	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|69DMG|7DUR|8ASPD
8	21223 24135	   	177.38	ACR|2VULN|2DMG|1AART|1CDMG	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|67DMG|8DMSP|9CDMG
9	21223 24435	   	177.38	ACR|2VULN|2DMG|1AART|1CDMG	1LSRHEA|28BEXP|3aVULN|4RCR|5AART|67DMG|9CDMG
10	21223 24621	   	177.38	ACR|2VULN|2DMG|1AART|1CDMG	1LSRHEA|2BEXP|39VULN|4RCR|5AART|67DMG|8CDMG|aCGEN
11	21223 24622	   	177.38	ACR|2VULN|2DMG|1AART|1CDMG	1LSRHEA|2BEXP|39VULN|4RCR|5AART|67DMG|8CDMG|aLWND
12	21223 24624	   	177.38	ACR|2VULN|2DMG|1AART|1CDMG	1LSRHEA|2BEXP|39VULN|4RCR|5AART|67DMG|8CDMG|aLIT
13	21223 24653	   	177.38	ACR|2VULN|2DMG|1AART|1CDMG	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|67DMG|8CDMG|9LHND
14	21123 24623	   	177.38	ACR|2VULN|2DMG|1AART|1CDMG	1LSRHEA|2BEXP|3FEWX|4RCR|5AART|67DMG|8CDMG|9aVULN
15	21523 24623	   	177.38	ACR|2VULN|2DMG|1AART|1CDMG	1LSRHEA|2BEXP|3LWND|4RCR|5AART|67DMG|8CDMG|9aVULN
16	21223 24263	   	177.28	ACR|2VULN|2DMG|1AART|1CDMG	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|67DMG|8DUST|9CDMG
17	21223 24611	   	177.28	ACR|2VULN|2DMG|1AART|1CDMG	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|67DMG|8CDMG|9ERES
18	33255 53311	 * 	176.33	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|238VULN|4CDMG|5RCVC|6RCR|7AART|9DMG|aLHND
19	33255 53312	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|238VULN|4CDMG|5RCVC|6RCR|7AART|9DMG|aFEWX
20	33255 53313	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|238VULN|4CDMG|5RCVC|6RCR|7AART|9DMG|aCGEN
21	21223 26613	 * 	175.68	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	1LSRHEA|2BEXP|3VULN|4RCR|5AART|69aDMG|7DUR|8ASPD
22	23225 42335	 * 	175.55	ACR|3VULN|1AART|1DMG|3DUR	18aLSRHEA|2LEGI|38aVULN|4RCR|5FEWX|6DMG|78aDUR|8aBPWR|9AART
23	33251 36512	   	175.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|23aVULN|4CDMG|5RPLT|6DMG|7DUR|8AART|9RCR
24	21223 21625	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	1LSRHEA|27BEXP|39aVULN|4RCR|5AART|6DMG|8CDMG
25	21223 22621	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	1LSRHEA|2BEXP|39aVULN|4RCR|5AART|6DMG|7CGEN|8CDMG
26	23225 66332	   	175.21	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	18LSRHEA|2LEGI|38VULN|4RCR|5FEWX|6DUR|78DMG|8BPWR|9AART|aASPD
27	63122 51253	   	174.78	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|28aVULN|3ERES|4RPLT|5AART|6RCR|7DMG|9ZMB
28	63243 13431	 * 	174.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14BEXP|23VULN|57DMG|6ZMB|8AART|9RCR|aDUR
29	63253 13431	   	174.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1BEXP|23VULN|4RCVC|57DMG|6ZMB|8AART|9RCR|aDUR
30	33251 32264	 * 	173.98	DCR|2VULN|2DMG|1AART|2CDMG	178LWND|23VULN|47CDMG|5RPLT|67DMG|7BPWR|9AART|aRCR
31	66333 33412	 * 	173.73	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1BEXP|2RPLT|3CDMG|48ZMB|5DMG|6RCR|79VULN|aAART
32	21223 42442	 * 	173.15	ACR|3VULN|2AART|2CDMG	1LSRHEA|2BEXP|379VULN|4RCR|56AART|8aCDMG
