0	Index      	 *	Score 	Summary	Detail	
1	36318 44372	 * 	312.42	橙橙2矿等1易伤1等级1暴击	1最后敌人2加一3等级48矿等5暴雪减费67核9暴击a易伤
2	36318 44811	   	304.48	橙橙1易伤1等级1矿等1攻速1暴击	1最后敌人2加一3等级4矿等5暴雪减费67核8易伤9攻速a暴击
3	36318 44542	 * 	302.41	橙橙2等级1易伤1矿等1暴击	1最后敌人2加一39等级4矿等5暴雪减费67核8暴击a易伤
4	51314 52322	 * 	293.17	橙橙2伤害1易伤1等级	19金币生成25伤害3等级4低血量敌人68核7随机技能a易伤
5	11314 52342	   	292.97	橙橙2伤害1易伤1等级	1掉矿25伤害3等级4低血量敌人68核7随机技能9暴雪减费a易伤
6	36318 44812	   	290.83	橙橙1易伤1等级1矿等1攻速	1最后敌人2加一3等级4矿等5暴雪减费67核8易伤9攻速a金币生成
7	36318 44813	   	290.83	橙橙1易伤1等级1矿等1攻速	1最后敌人2加一3等级4矿等5暴雪减费67核8易伤9攻速a敌人爆炸
8	36318 44814	   	290.73	橙橙1易伤1等级1矿等1攻速	1最后敌人2加一3等级4矿等5暴雪减费67核8易伤9攻速a基地爆炸
9	14242 44871	 * 	290.11	橙橙2易伤1等级1暴击	1掉矿2加一38易伤4立即金币5金币生成67核9暴击a等级
10	14222 44871	   	290.01	橙橙2易伤1等级1暴击	14掉矿2加一38易伤5金币生成67核9暴击a等级
11	11313 52342	   	289.55	橙橙2等级1易伤1伤害	1掉矿2伤害35等级4低血量敌人68核7随机技能9暴雪减费a易伤
12	36322 44331	   	288.33	橙橙1易伤1等级1矿等1暴击	1最后敌人2加一3等级4立即金币5金币生成67核8矿等9易伤a暴击
13	36113 44331	   	288.23	橙橙1易伤1等级1矿等1暴击	1最后敌人2加一3立即金币4掉矿5等级67核8矿等9易伤a暴击
14	36318 44431	   	288.23	橙橙1易伤1等级1矿等1暴击	1最后敌人2加一3等级4矿等5暴雪减费67核8金币生成9易伤a暴击
15	36318 44512	   	288.23	橙橙1易伤1等级1矿等1暴击	1最后敌人2加一3等级4矿等5暴雪减费67核8暴击9双倍矿a易伤
16	36318 44831	   	288.23	橙橙1易伤1等级1矿等1暴击	1最后敌人2加一3等级4矿等5暴雪减费67核8易伤9金币生成a暴击
17	36318 44314	   	287.01	橙橙2矿等1等级1攻速	1最后敌人2加一3等级48矿等5暴雪减费67核9随机技能a攻速
18	14213 24826	   	285.71	橙橙2易伤1技能1攻速	1掉矿2加一3a易伤4基础对冰5技能69核7攻速8时间
19	14242 44471	   	284.76	橙橙2易伤1等级	1掉矿2加一39易伤4立即金币5金币生成67核8时间a等级
20	14242 44881	   	284.76	橙橙2易伤1等级	1掉矿2加一38易伤4立即金币5金币生成67核9时间a等级
21	14243 44881	   	284.76	橙橙2易伤1等级	1掉矿2加一38易伤4立即金币5技能点67核9时间a等级
22	14316 44471	   	284.76	橙橙2易伤1等级	1掉矿2加一35金币生成49易伤67核8时间a等级
23	26126 41151	   	284.69	橙橙1易伤1等级1伤害1攻速	1低血量敌人2加一3立即金币4寒冰对黄5伤害6易伤79核8攻速a等级
24	36126 41151	   	284.69	橙橙1易伤1等级1伤害1攻速	1最后敌人2加一3立即金币4寒冰对黄5伤害6易伤79核8攻速a等级
25	14222 44471	   	284.66	橙橙2易伤1等级	14掉矿2加一39易伤5金币生成67核8时间a等级
26	14222 44881	   	284.66	橙橙2易伤1等级	14掉矿2加一38易伤5金币生成67核9时间a等级
27	14223 44881	   	284.66	橙橙2易伤1等级	14掉矿2加一38易伤5技能点67核9时间a等级
28	14326 41151	   	284.59	橙橙1易伤1等级1伤害1攻速	1掉矿2加一3金币生成4多重对愈5伤害6易伤79核8攻速a等级
29	36318 44532	   	284.41	橙橙2矿等1等级1暴击	1最后敌人2加一3等级4a矿等5暴雪减费67核8暴击9随机技能
30	11314 52315	 * 	284.22	橙橙2伤害1等级1矿等	1掉矿25伤害3等级4低血量敌人68核7随机技能9挖尘a矿等
31	36318 44711	   	282.89	橙橙1易伤1等级1矿等	1最后敌人2加一3等级4矿等5暴雪减费67核8雷电9全技能a易伤
