0	Index      	 *	Score 	Summary	Detail	
1	14226 33634	 * 	303.13	橙橙2易伤1伤害1技能1暴击1卖塔	1暴击2卖塔3技能4时间5加一69核78易伤a伤害
2	12453 33533	 * 	301.21	橙橙2易伤1矿等1技能1暴击	1暴击2平台3双倍矿4技能5基地爆炸69核78易伤a矿等
3	12452 33532	   	283.41	橙橙2易伤1技能1暴击	1暴击2平台3双倍矿4技能5最后敌人69核78易伤a全技能
4	14226 33632	   	283.07	橙橙2易伤1技能1暴击1卖塔	1暴击2卖塔3技能4时间5加一69核78易伤a双倍矿
5	14226 33631	   	282.97	橙橙2易伤1技能1暴击1卖塔	1暴击2卖塔3技能4时间5加一69核78易伤a基地爆炸
6	14226 33633	   	282.97	橙橙2易伤1技能1暴击1卖塔	1暴击2卖塔3技能4时间5加一69核78易伤a加农对壮
7	12453 33532	   	281.94	橙橙2易伤1技能1暴击	1暴击2平台3双倍矿4技能5基地爆炸69核78易伤a随机技能
8	12452 33531	   	275.01	橙橙2易伤1技能1暴击	1暴击2平台3双倍矿4技能5最后敌人69核78易伤a基地爆炸
9	12452 33533	   	275.01	橙橙2易伤1技能1暴击	1暴击2平台3双倍矿4技能5最后敌人69核78易伤a挖尘
10	12453 33531	   	274.91	橙橙2易伤1技能1暴击	1暴击2平台3双倍矿4技能5a基地爆炸69核78易伤
11	11321 54631	 * 	273.85	紫橙2易伤2等级2暴击	19暴击2赏金塔3金币生成48核5雷电减费69易伤79等级9序列升级a技能点
12	11321 54632	   	273.85	紫橙2易伤2等级2暴击	19暴击2赏金塔3金币生成48核5雷电减费69易伤79等级9序列升级a雷电
13	11321 54633	   	273.85	紫橙2易伤2等级2暴击	19暴击2赏金塔3金币生成48核5雷电减费69易伤79等级9序列升级a额外掉落
14	11223 12463	   	273.33	紫橙2易伤1等级1伤害1暴击	1暴击2赏金塔3伤害46核5策反7赏金邻近8等级9a易伤
