0	Index      	 *	Score 	Summary	Detail	
1	31313 33651	 * 	314.66	橙橙2易伤1等级1攻速1暴击	1暴击2烈焰减费3等级4时间56易伤7攻速8a核9加一
2	14523 23331	 * 	305.97	橙橙2易伤2等级	1随机技能23等级4掉矿5a易伤6金币生成78核9时间
3	14523 23334	 * 	304.10	橙橙2等级1易伤1矿等	1随机技能23等级4掉矿5易伤6金币生成78核9时间a矿等
4	31316 15251	   	300.76	橙橙2等级1易伤1攻速1暴击	1暴击2烈焰减费38等级4时间5攻速6易伤7a核9加一
5	14523 23311	   	297.67	橙橙2易伤2等级	1随机技能23等级4掉矿5a易伤6金币生成78核9低血量敌人
6	14523 23321	   	297.67	橙橙2易伤2等级	1随机技能23等级4掉矿5a易伤6金币生成78核9敌人爆炸
7	14523 23314	   	295.79	橙橙2等级1易伤1矿等	1随机技能23等级4掉矿5易伤6金币生成78核9低血量敌人a矿等
8	14523 23324	   	295.79	橙橙2等级1易伤1矿等	1随机技能23等级4掉矿5易伤6金币生成78核9敌人爆炸a矿等
9	14523 23336	   	294.15	橙橙2等级1易伤1攻速	1随机技能23等级4掉矿5易伤6金币生成78核9时间a攻速
10	46143 23331	   	291.70	橙橙2易伤1等级	12掉矿2序列升级3等级4随机技能5a易伤6金币生成78核9时间
11	23455 22331	   	291.55	橙橙2等级1易伤1暴击	1金币生成2暴击34等级5双倍秒伤6a核7全技能8易伤9随机技能
12	32455 22331	   	291.45	橙橙2等级1易伤1暴击	1暴击2掉矿34等级5双倍秒伤6a核7全技能8易伤9随机技能
13	31316 15151	   	286.58	橙橙1易伤1等级1攻速1暴击	1暴击2烈焰减费3等级4时间5攻速6易伤7a核8双倍矿9加一
14	31316 15351	   	286.48	橙橙1易伤1等级1攻速1暴击	1暴击2烈焰减费3等级4时间5攻速6易伤7a核8风暴减费9加一
15	32513 33651	   	286.38	橙橙2易伤1伤害1暴击	1暴击2掉矿3立即金币4时间56易伤7伤害8a核9加一
16	31213 33651	   	286.28	橙橙2易伤1伤害1暴击	1暴击2烈焰减费3掉矿4时间56易伤7伤害8a核9加一
17	14523 23316	   	285.84	橙橙2等级1易伤1攻速	1随机技能23等级4掉矿5易伤6金币生成78核9低血量敌人a攻速
18	14523 23326	   	285.84	橙橙2等级1易伤1攻速	1随机技能23等级4掉矿5易伤6金币生成78核9敌人爆炸a攻速
