0	Index      	 *	Score 	Summary	Detail	
1	23426 33422	 * 	333.48	橙橙2易伤2等级1矿等1攻速	149雷电29易伤3攻速5低血量敌人68核79等级9序列升级a矿等
2	23434 33421	 * 	330.74	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4低血量敌人68核79等级9序列升级a敌人爆炸
3	23434 33422	   	330.74	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4低血量敌人68核79等级9序列升级a赏金邻近
4	23434 33423	   	330.74	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4低血量敌人68核79等级9序列升级a赏金塔
5	23414 33421	   	330.64	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4挖尘68核79等级9序列升级a敌人爆炸
6	23414 33422	   	330.64	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4挖尘68核79等级9序列升级a赏金邻近
7	23414 33423	   	330.64	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4挖尘68核79等级9序列升级a赏金塔
8	53662 12231	 * 	319.77	橙橙2矿等2伤害1易伤	1随机技能27伤害36矿等4低血量敌人5时间89核a易伤
9	51233 14263	   	318.10	橙橙2易伤1等级1矿等	1随机技能23易伤4时间5最后敌人6矿等7等级8散射对甲9a核
10	23534 33411	   	317.01	橙橙3易伤1等级1技能	1雷电25a易伤3技能4低血量敌人68核7等级9随机矿
11	23514 33411	   	316.91	橙橙3易伤1等级1技能	1雷电25a易伤3技能4挖尘68核7等级9随机矿
12	23434 33411	   	316.37	橙橙3易伤1等级1攻速	1雷电25a易伤3攻速4低血量敌人68核7等级9随机矿
13	23414 33411	   	316.27	橙橙3易伤1等级1攻速	1雷电25a易伤3攻速4挖尘68核7等级9随机矿
14	23624 33411	   	316.27	橙橙3易伤1等级1攻速	1雷电25a易伤3雷电减费4攻速68核7等级9随机矿
15	53333 22222	 * 	314.74	橙橙2伤害1易伤1等级2时间2随机技能	15随机技能27伤害3等级45时间5序列升级6易伤8a核9雷电
16	51225 52322	   	311.86	橙橙2易伤1等级1伤害	1随机技能23易伤4暴雪减费5伤害6a核7时间8等级9雷电
17	53613 52331	   	310.09	橙橙1易伤1等级1矿等1伤害	1随机技能2伤害3矿等4金币生成5双倍矿69核7时间8等级a易伤
18	53621 52331	   	309.89	橙橙1易伤1等级1矿等1伤害	1随机技能2伤害3矿等4火球减费5掉矿69核7时间8等级a易伤
19	53633 22222	   	308.85	橙橙2伤害1易伤1矿等2时间2随机技能	15随机技能27伤害3矿等45时间5序列升级6易伤8a核9雷电
20	23364 33411	   	308.32	橙橙3易伤1等级	1雷电25a易伤3时间4核弹68核7等级9随机矿
21	53332 22222	   	308.02	橙橙2伤害1易伤1等级2时间	1随机技能27伤害3等级45时间6易伤8a核9雷电
22	23534 33421	   	307.92	橙橙2易伤2等级1技能	19雷电25易伤3技能49低血量敌人68核79等级9序列升级a敌人爆炸
23	23534 33422	   	307.92	橙橙2易伤2等级1技能	19雷电25易伤3技能49低血量敌人68核79等级9序列升级a赏金邻近
24	23534 33423	   	307.92	橙橙2易伤2等级1技能	19雷电25易伤3技能49低血量敌人68核79等级9序列升级a赏金塔
25	23514 33421	   	307.72	橙橙2易伤2等级1技能	19雷电25易伤3技能49挖尘68核79等级9序列升级a敌人爆炸
26	23514 33422	   	307.72	橙橙2易伤2等级1技能	19雷电25易伤3技能49挖尘68核79等级9序列升级a赏金邻近
27	23514 33423	   	307.72	橙橙2易伤2等级1技能	19雷电25易伤3技能49挖尘68核79等级9序列升级a赏金塔
28	53363 22222	 * 	307.34	橙橙2等级2伤害1易伤	1随机技能27伤害36等级4低血量敌人5易伤8a核9雷电
29	23426 33321	   	307.28	橙橙2易伤2等级1攻速	148雷电28易伤3攻速5低血量敌人6a核78等级8序列升级9敌人爆炸
30	23426 33351	   	307.28	橙橙2易伤2等级1攻速	148雷电28易伤3攻速5低血量敌人6a核78等级8序列升级9最后敌人
31	53563 22222	   	307.24	橙橙2等级2伤害1易伤	1随机技能27伤害3挖青46等级5易伤8a核9雷电
32	23426 33311	   	307.18	橙橙2易伤2等级1攻速	148雷电28易伤3攻速5低血量敌人6a核78等级8序列升级9基地爆炸
33	23426 33421	   	307.18	橙橙2易伤2等级1攻速	149雷电29易伤3攻速5低血量敌人68核79等级9序列升级a基地爆炸
34	23426 33423	   	307.18	橙橙2易伤2等级1攻速1挖怪	149雷电29易伤3攻速5低血量敌人68核79等级9序列升级a挖怪
35	23526 33422	   	306.05	橙橙2等级1易伤1矿等1技能	149雷电2易伤3技能59低血量敌人68核79等级9序列升级a矿等
36	23364 33421	   	305.79	橙橙2易伤2等级2时间	19雷电25易伤39时间4核弹68核79等级9序列升级a敌人爆炸
37	23364 33422	   	305.79	橙橙2易伤2等级2时间	19雷电25易伤39时间4核弹68核79等级9序列升级a赏金邻近
38	23364 33423	   	305.79	橙橙2易伤2等级2时间	19雷电25易伤39时间4核弹68核79等级9序列升级a赏金塔
