0	Index      	 *	Score 	Summary	Detail	
1	51223 15412	 * 	226.49	ACR|2VULN|1BASARM|2ASPD|2BEXP	18ASPD|25ERES|35VULN|4RCR|5BPWR|6BELT|79BEXP|aBASARM
2	21443 33235	 * 	220.81	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1AART	1AAC|2AART|3VULN|4RCR|5CDMG|6CGEN|7RCVC|8ASPD|9DMG|aBASARM
3	21443 23235	   	220.71	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1AAC|2AART|3VULN|4RCR|5CDMG|6ERES|7RCVC|8ASPD|9DMG|aBASARM
4	21336 51261	 * 	219.00	ACR|3DMG|2ASPD|2BEXP|1AART	1AAC|2AART|369DMG|4RCR|59BEXP|7MDPS|89ASPD|9BPWR|aRMIN
5	21333 53265	 * 	218.90	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1AAC|2AART|39DMG|4RCR|5RPLT|6LEGI|79VULN|89BEXP|9BPWR|aASPD
6	21336 51263	   	218.90	ACR|3DMG|2ASPD|2BEXP|1AART	1AAC|2AART|369DMG|4RCR|59BEXP|7MDPS|89ASPD|9BPWR|aDUST
7	21336 41262	   	216.99	ACR|2ASPD|2DMG|2BEXP|1AART|1CDMG	1AAC|2AART|39DMG|4RCR|59BEXP|6DUST|7LHND|89ASPD|9BPWR|aCDMG
8	21336 42262	   	216.99	ACR|2ASPD|2DMG|2BEXP|1AART|1CDMG	1AAC|2AART|39DMG|4RCR|59BEXP|6DUST|7LWND|89ASPD|9BPWR|aCDMG
9	51223 22161	 * 	213.67	ACR|3VULN|2ASPD|2DMG|1AAC	1aASPD|25ERES|35aVULN|4RCR|5aBPWR|6MLV|7CGEN|8aDMG|9AAC
10	51226 22161	   	213.67	ACR|3VULN|2ASPD|2DMG|1AAC	1aASPD|2ERES|35aVULN|4RCR|6MLV|7CGEN|8aDMG|9AAC|aBPWR
11	21333 53263	 * 	209.75	ACR|3VULN|2DMG|2BEXP|1AART	1AAC|2AART|39DMG|4RCR|5RPLT|6LEGI|79aVULN|89BEXP|9BPWR
12	55323 62311	 * 	209.55	ACR|3VULN|1BASARM|2ASPD	16ASPD|2MLV|3aFEWX|4RCR|567VULN|6BPWR|8SNIHEL|9BASARM
13	55323 62313	   	209.55	ACR|3VULN|1BASARM|2ASPD	16ASPD|2MLV|3FEWX|4RCR|567VULN|6BPWR|8SNIHEL|9BASARM|aLHND
14	55323 62312	   	209.45	ACR|3VULN|1BASARM|2ASPD	16ASPD|2MLV|3FEWX|4RCR|567VULN|6BPWR|8SNIHEL|9BASARM|aDUST
15	51223 11452	   	209.45	ACR|3VULN|1BASARM|2ASPD	18ASPD|25ERES|359VULN|4RCR|5BPWR|6BELT|7FEWX|aBASARM
16	55223 15112	   	206.57	ACR|2VULN|1BASARM|2BEXP|1ASPD	1ASPD|25MLV|35VULN|4RCR|5BPWR|6BELT|79BEXP|8AEMAG|aBASARM
17	51223 22111	   	205.36	ACR|3VULN|2ASPD|2DMG	1aASPD|25ERES|35aVULN|4RCR|5aBPWR|6MLV|7CGEN|8aDMG|9RMIN
18	51223 22531	   	205.36	ACR|3VULN|2ASPD|2DMG	1aASPD|25ERES|35aVULN|4RCR|5aBPWR|6MLV|7CGEN|8RMIN|9aDMG
19	51226 22111	   	205.36	ACR|3VULN|2ASPD|2DMG	1aASPD|2ERES|35aVULN|4RCR|6MLV|7CGEN|8aDMG|9RMIN|aBPWR
20	51226 22531	   	205.36	ACR|3VULN|2ASPD|2DMG	1aASPD|2ERES|35aVULN|4RCR|6MLV|7CGEN|8RMIN|9aDMG|aBPWR
21	51223 32313	   	204.27	ACR|3VULN|2ASPD|1DMG|1AART	18ASPD|256ERES|358VULN|4RCR|58BPWR|78LSRREG|9DMG|aAART
22	31225 33355	   	203.99	ACR|1BASARM|1VULN|1DMG|1CDMG|1AART	16RCVC|2DUST|3VULN|4RCR|5DMG|7AART|8MLV|9CDMG|aBASARM
23	21443 25213	 * 	203.86	ACR|2VULN|2ASPD|1BASICY|1AART|1CDMG	1AAC|2AART|39VULN|4RCR|5CDMG|679ERES|89ASPD|9BPWR|aBASICY
24	21336 41261	   	203.34	ACR|2ASPD|2DMG|2BEXP|1AART	1AAC|2AART|39DMG|4RCR|59BEXP|6DUST|7LHND|89ASPD|9BPWR|aDUR
25	21336 41263	   	203.34	ACR|2ASPD|2DMG|2BEXP|1AART	1AAC|2AART|39DMG|4RCR|59BEXP|6DUST|7LHND|89ASPD|9BPWR|aLWND
26	21336 42261	   	203.34	ACR|2ASPD|2DMG|2BEXP|1AART	1AAC|2AART|39DMG|4RCR|59BEXP|6DUST|7LWND|89ASPD|9BPWR|aDUR
27	21336 42263	   	203.34	ACR|2ASPD|2DMG|2BEXP|1AART	1AAC|2AART|39DMG|4RCR|59BEXP|6DUST|7aLWND|89ASPD|9BPWR
28	21443 12243	   	203.27	ACR|2DMG|1VULN|1ASPD|1CDMG|1BEXP|1AART	1AAC|2AART|3VULN|4RCR|5CDMG|69DMG|7LWND|8BEXP|aASPD
29	21443 11221	   	203.17	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP|1CDMG	1AAC|2AART|3VULN|4RCR|5CDMG|69DMG|7ASPD|8SPLREG|aBEXP
30	21443 11521	   	203.17	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP|1CDMG	1AAC|2AART|3VULN|4RCR|5CDMG|69DMG|7ASPD|8SNIFST|aBEXP
31	55223 23521	   	202.34	ACR|3VULN|1BASARM|1ASPD|1BEXP	1ASPD|256MLV|358VULN|4RCR|5BPWR|7LHND|9BASARM|aBEXP
32	55223 32312	   	202.24	ACR|3VULN|1BASARM|1ASPD|1BEXP	1ASPD|25MLV|357VULN|4RCR|5BPWR|6LWND|8SNIHEL|9BASARM|aBEXP
33	21336 11262	   	202.15	ACR|2ASPD|2DMG|1BEXP|1CDMG|1AART	1AAC|2AART|39DMG|4RCR|5BEXP|6LEGI|79LHND|89ASPD|9BPWR|aCDMG
34	21336 12262	   	202.15	ACR|2ASPD|2DMG|1BEXP|1CDMG|1AART	1AAC|2AART|39DMG|4RCR|5BEXP|6LEGI|79LWND|89ASPD|9BPWR|aCDMG
35	55226 32312	   	202.14	ACR|3VULN|1BASARM|1ASPD|1BEXP	1ASPD|2MLV|357VULN|4RCR|6LWND|8SNIHEL|9BASARM|aBEXP
36	21332 23635	 * 	201.85	ACR|3DMG|2VULN|2AART	1AAC|27AART|38aDMG|4RCR|5CGEN|6aZMB|9aVULN|aBPWR
37	21332 33635	   	201.75	ACR|3DMG|2VULN|2AART	1AAC|27AART|38aDMG|4RCR|5aCGEN|6NUKE|9aVULN|aBPWR
38	21333 61366	   	201.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	16AAC|2AART|3DMG|4RCR|5RPLT|7ASPD|8DMSP|9BEXP|aBASARM
39	21643 11336	   	201.57	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART	1AAC|2AART|3DUR|4RCR|5CDMG|6DMG|7ASPD|8DMSP|9DUST|aBASARM
40	21333 61166	   	201.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	16AAC|2AART|3DMG|4RCR|5RPLT|7ASPD|8AEMAG|9BEXP|aBASARM
41	21643 11136	   	201.47	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART	1AAC|2AART|3DUR|4RCR|5CDMG|6DMG|7ASPD|8AEMAG|9DUST|aBASARM
42	21443 33215	 * 	201.45	ACR|2VULN|2ASPD|2AART|1CDMG	1AAC|2aAART|39VULN|4RCR|5CDMG|69CGEN|7RCVC|89ASPD|9BPWR
43	55323 62123	   	201.43	ACR|3VULN|2ASPD|1DMG|1CDMG	16ASPD|2MLV|39FEWX|4RCR|567VULN|6BPWR|8DMG|aCDMG
44	51223 61231	   	201.33	ACR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|25ERES|358VULN|4RCR|58BPWR|6MDPS|78LIT|9CDMG|aDMG
45	51226 61231	   	201.33	ACR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|2ERES|358VULN|4RCR|6MDPS|78LIT|8BPWR|9CDMG|aDMG
46	21443 23215	   	201.25	ACR|2VULN|2ASPD|2AART|1CDMG	1AAC|2aAART|39VULN|4RCR|5CDMG|69ERES|7RCVC|89ASPD|9BPWR
47	51223 32314	   	201.13	ACR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|256ERES|358VULN|4RCR|58BPWR|78LSRREG|9DMG|aCDMG
48	34221 41333	 * 	201.00	ACR|1BASARM|1VULN|2AART|1DMG	1RCVC|2FEWX|3VULN|4RCR|5LWND|6aAART|7LHND|8BASARM|9DMG
49	31222 41333	   	200.90	ACR|1BASARM|1VULN|2AART|1DMG	1RCVC|2DUST|3VULN|4RCR|5FEWX|6aAART|7LHND|8BASARM|9DMG
