0	Index      	 *	Score 	Summary	Detail	
1	32632 31245	 * 	232.07	ACR|2BASARM|2VULN|2BEXP|1AART|1AAC	1AAC|2aBEXP|3DMSP|4RCR|5DUST|6aVULN|7RCVC|8aBASARM|9AART|aBPWR
2	42331 35622	 * 	232.03	ACR|2BASARM|2ASPD|2BEXP|1VULN	13CGEN|2aBEXP|4RCR|5LHND|6FEWX|7aASPD|8VULN|9aBASARM|aBPWR
3	42335 35122	   	232.03	ACR|2BASARM|2ASPD|2BEXP|1VULN	13CGEN|2aBEXP|4RCR|5LWND|6VULN|7aASPD|8LHND|9aBASARM|aBPWR
4	42332 35122	   	231.93	ACR|2BASARM|2ASPD|2BEXP|1VULN	13CGEN|2aBEXP|4RCR|5DUST|6VULN|7aASPD|8LHND|9aBASARM|aBPWR
5	42332 35422	   	231.93	ACR|2BASARM|2ASPD|2BEXP|1VULN	13CGEN|2aBEXP|4RCR|5DUST|6VULN|7aASPD|8LWND|9aBASARM|aBPWR
6	42332 25622	   	231.93	ACR|2BASARM|2ASPD|2BEXP|1VULN	13CGEN|2aBEXP|4RCR|5DUST|6LHND|7aASPD|8VULN|9aBASARM|aBPWR
7	43332 54122	 * 	223.98	ACR|2BASARM|2VULN|2BEXP|1ASPD	13CGEN|2aVULN|4RCR|5DUST|6ASPD|7aBEXP|8LHND|9aBASARM|aBPWR
8	51321 51323	 * 	223.75	ACR|1BASARM|3BEXP|3CDMG|1AART	179AIRHEL|2RPLT|3RCR|479CDMG|578BEXP|6AART|79BPWR|aBASARM
9	63132 31245	 * 	223.30	ACR|2BASARM|2DMG|1VULN|1AART	13aFEWX|2aDMG|4RCR|5DUST|6VULN|7RCVC|8aBASARM|9AART|aBPWR
10	43331 35422	 * 	215.17	ACR|2BASARM|2VULN|2ASPD	13CGEN|2aVULN|4RCR|5LHND|6FEWX|7aASPD|8LWND|9aBASARM|aBPWR
11	43332 25422	   	215.07	ACR|2BASARM|2VULN|2ASPD	13CGEN|2aVULN|4RCR|5DUST|6LHND|7aASPD|8LWND|9aBASARM|aBPWR
12	43332 65122	   	215.07	ACR|2BASARM|2VULN|2ASPD	13CGEN|2aVULN|4RCR|5DUST|6FEWX|7aASPD|8LHND|9aBASARM|aBPWR
13	42332 31245	   	212.14	ACR|2BASARM|2BEXP|1VULN|1AART	13aCGEN|2aBEXP|4RCR|5DUST|6VULN|7RCVC|8aBASARM|9AART|aBPWR
14	32632 31246	 * 	211.88	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1AAC	1AAC|2BEXP|3DMSP|4RCR|5DUST|6VULN|7RCVC|8BASARM|9AART|aASPD
15	63132 31246	 * 	210.99	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	13FEWX|2DMG|4RCR|5DUST|6VULN|7RCVC|8BASARM|9AART|aASPD
16	32631 42222	   	210.32	ACR|2BASARM|2VULN|2BEXP|1AAC	1AAC|2aBEXP|3DMSP|4RCR|5LHND|6aVULN|7LWND|8MLV|9aBASARM|aBPWR
17	32632 32222	   	210.22	ACR|2BASARM|2VULN|2BEXP|1AAC	1AAC|2aBEXP|3DMSP|4RCR|5DUST|6aVULN|7LWND|8MLV|9aBASARM|aBPWR
