0	Index      	 *	Score 	Summary	Detail	
1	13134 26114	 * 	250.78	ACR|4VULN|3BEXP|2DMG|1ASPD	1RCR|2579VULN|3AAC|479BEXP|6BELT|79BPWR|89DMG|aASPD
2	13244 51322	 * 	247.19	ACR|2VULN|1BASARM|2ASPD|1AART|1CDMG|1SELL	1RCR|25VULN|3SELL|45ASPD|5BPWR|6AART|7LSRICY|8LWND|9BASARM|aCDMG
3	13134 26112	 * 	246.37	ACR|4VULN|3DMG|3BEXP	1RCR|2579VULN|3AAC|479BEXP|6BELT|79BPWR|89aDMG
4	13424 26112	   	246.37	ACR|4VULN|3DMG|3BEXP	1RCR|2579VULN|379BEXP|4NUKE|6BELT|79BPWR|89aDMG
5	13433 24341	   	245.36	ACR|2VULN|3BEXP|2DMG|1ASPD|1AART	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9ZMB|aAART
6	16152 16211	 * 	243.79	ACR|3VULN|3DMG|1BASARM	1RCR|2MDPS|389VULN|489ZMB|5LIT|6MLV|789DMG|89BPWR|aBASARM
7	16152 33211	   	243.69	ACR|3VULN|3DMG|1BASARM	1RCR|2MDPS|389VULN|489ZMB|5LIT|6ERES|789DMG|89BPWR|aBASARM
8	16562 33211	   	243.69	ACR|3VULN|3DMG|1BASARM	1RCR|2MDPS|389ZMB|489VULN|5LIT|6ERES|789DMG|89BPWR|aBASARM
9	13433 24335	   	243.05	ACR|2VULN|3BEXP|2DMG|1ASPD|1CDMG	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9FEWX|aCDMG
10	13142 26223	   	240.60	ACR|3VULN|3DMG|2BEXP|1CDMG	1RCR|279VULN|3AAC|4RMIN|579DMG|6BELT|79BPWR|89BEXP|aCDMG
11	13433 24311	   	239.41	ACR|3VULN|3BEXP|2DMG|1ASPD	1RCR|28aVULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9DMSP
12	13433 24321	   	239.41	ACR|3VULN|3BEXP|2DMG|1ASPD	1RCR|28aVULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9RPLT
13	13422 24341	   	239.31	ACR|3VULN|3BEXP|2DMG|1ASPD	1RCR|28aVULN|389BEXP|4NUKE|5ZMB|6ASPD|78DMG|8BPWR
14	13153 24163	 * 	239.07	ACR|3VULN|3ASPD|2DMG	1RCR|29aVULN|34AAC|5BELT|679ASPD|89DMG|9BPWR
15	13312 12211	 * 	238.51	ACR|3VULN|3DMG|1ASPD|1AART	1RCR|289VULN|389LIT|4ASPD|5CGEN|689DMG|7MDPS|89BPWR|aAART
16	13312 12212	   	235.43	ACR|3VULN|3DMG|1ASPD|1CDMG	1RCR|289VULN|389LIT|4ASPD|5CGEN|689DMG|7MDPS|89BPWR|aCDMG
17	13433 24322	   	235.36	ACR|2VULN|3BEXP|2DMG|1ASPD|1AAC	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9RPLT|aAAC
18	13142 26225	   	235.10	ACR|4VULN|3DMG|2BEXP	1RCR|279aVULN|3AAC|4RMIN|579DMG|6BELT|79BPWR|89BEXP
19	13134 22111	   	235.00	ACR|4VULN|3DMG|2BEXP	1RCR|2579VULN|3AAC|49BEXP|6BELT|89aDMG|9BPWR
20	13424 22111	   	235.00	ACR|4VULN|3DMG|2BEXP	1RCR|2579VULN|39BEXP|4NUKE|6BELT|89aDMG|9BPWR
21	13313 43626	 * 	234.00	ACR|2VULN|2ASPD|2BEXP|1DMG|1AART	1RCR|2aVULN|3LIT|4aASPD|5DUR|6AART|7AAC|8DMG|9aBEXP|aBPWR
22	13246 25331	 * 	233.71	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART|1SELL	1RCR|29VULN|3SELL|4ASPD|5MLV|6LHND|7BASARM|8AART|aDMG
23	13246 35331	 * 	233.71	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART|1SELL	1RCR|29VULN|3SELL|4ASPD|5MLV|6LWND|7BASARM|8AART|aDMG
24	13242 45331	 * 	233.61	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART|1SELL	1RCR|29VULN|3SELL|4ASPD|5LWND|6AME|7BASARM|8AART|aDMG
25	12314 21511	   	231.69	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	1RCR|2FEWX|3LIT|4aASPD|5aBEXP|6CDMG|7aVULN|8ERES|9DMG|aBPWR
26	12314 21611	   	231.69	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	1RCR|2FEWX|3LIT|4aASPD|5aBEXP|6CDMG|7aVULN|8AME|9DMG|aBPWR
