0	Index      	 *	Score 	Summary	Detail	
1	42424 22311	 * 	216.07	ACR|2ASPD|2DMG|2BEXP|1VULN|1CDMG	18BEXP|24DMG|38LIT|5RCR|68ASPD|7RPLT|8BPWR|9CDMG|aVULN
2	22561 14446	 * 	210.32	ACR|3VULN|3BEXP|2ASPD	1RCVC|27aBEXP|3RCR|4MBVNT|57DUR|67aVULN|7aBPWR|8aASPD|9BELT
3	22563 14446	   	210.32	ACR|3VULN|3BEXP|2ASPD	1RCVC|27aBEXP|3RCR|4MBVNT|57LHND|67aVULN|7aBPWR|8aASPD|9BELT
4	22552 23163	 * 	209.84	ACR|3DMG|3BEXP|2CDMG	17RCVC|29aBEXP|3RCR|4LWND|589DMG|69CDMG|9BPWR
5	22552 23162	   	206.88	ACR|3DMG|2BEXP|2CDMG|1AAC	17RCVC|29BEXP|3RCR|4LWND|589DMG|69CDMG|9BPWR|aAAC
6	42424 22333	   	206.85	ACR|2ASPD|2DMG|2BEXP|1AART|1AAC	18BEXP|24DMG|38LIT|5RCR|68ASPD|7RPLT|8BPWR|9AAC|aAART
7	22563 14422	   	201.85	ACR|2VULN|2BEXP|1ASPD|1CDMG|1AART	1RCVC|27BEXP|3RCR|4MBVNT|57LHND|67VULN|7BPWR|8ASPD|9CDMG|aAART
8	22543 22163	   	201.77	ACR|3DMG|3BEXP|1CDMG	1RCVC|29aBEXP|3RCR|478DMG|5LWND|6CDMG
9	22552 22163	   	201.77	ACR|3DMG|3BEXP|1CDMG	1RCVC|29aBEXP|3RCR|4LWND|578DMG|6CDMG
10	42424 22323	   	201.14	ACR|2ASPD|2DMG|2BEXP|1VULN	18BEXP|24DMG|38LIT|5RCR|68ASPD|7RPLT|8BPWR|9FEWX|aVULN
11	13165 41131	 * 	199.27	ACR|1BASARM|1ASPD|1DMG|1VULN|1AART	13LIT|2MLV|4AART|5RCR|6DMG|7TLV|8BASARM|9ASPD|aVULN
12	22546 21333	   	199.02	ACR|3DMG|3BEXP|1AAC	15RCVC|289BEXP|3RCR|468DMG|78CGEN|8BPWR|aAAC
13	22542 11151	 * 	198.85	ACR|3VULN|2DMG|2BEXP	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78aVULN|8BPWR|9DUR
14	22543 22162	   	198.81	ACR|3DMG|2BEXP|1CDMG|1AAC	1RCVC|29BEXP|3RCR|478DMG|5LWND|6CDMG|aAAC
15	22552 22162	   	198.81	ACR|3DMG|2BEXP|1CDMG|1AAC	1RCVC|29BEXP|3RCR|4LWND|578DMG|6CDMG|aAAC
16	22542 11141	   	198.75	ACR|3VULN|2DMG|2BEXP	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78aVULN|8BPWR|9DUST
17	22533 16351	   	198.67	ACR|2VULN|3BEXP|2ASPD	1RCVC|248BEXP|3RCR|5ERES|68VULN|78LIT|8BPWR|9aASPD
