0	Index      	 *	Score 	Summary	Detail	
1	12336 15336	 * 	261.23	ACR|3ASPD|1BASARM|2BEXP|1DMG|1CDMG	1aMLV|2RCR|3BASARM|46aASPD|5CDMG|7DMG|8RCVC|9aBEXP|aBPWR
2	12343 21432	 * 	252.37	ACR|2BASARM|2DMG|2BEXP|1CDMG|1AART	1MLV|2RCR|3aBASARM|4AART|5AME|6ERES|7aDMG|8CDMG|9aBEXP|aBPWR
3	42343 21432	   	252.37	ACR|2BASARM|2DMG|2BEXP|1CDMG|1AART	1TLV|2RCR|3aBASARM|4AART|5MLV|6ERES|7aDMG|8CDMG|9aBEXP|aBPWR
4	12336 15326	 * 	249.16	ACR|2BASARM|2ASPD|2DMG|1CDMG	1aMLV|2RCR|3aBASARM|46ASPD|5CDMG|7aDMG|8RCVC|9LEGI|aBPWR
5	12336 15226	   	248.73	ACR|2BASARM|2ASPD|2DMG|1CDMG	1aMLV|2RCR|3aBASARM|46ASPD|5CDMG|7aDMG|8LEGI|9RCVC|aBPWR
6	12331 12361	   	248.08	ACR|2BASARM|2ASPD|2DMG|1BEXP	1MLV|2RCR|3aBASARM|46ASPD|5LHND|7aDUR|8BEXP|9aDMG|aBPWR
7	12331 21361	   	248.08	ACR|2BASARM|2ASPD|2DMG|1BEXP	1MLV|2RCR|3aBASARM|47ASPD|5LHND|6aLWND|8BEXP|9aDMG|aBPWR
8	12333 12361	   	248.08	ACR|2BASARM|2ASPD|2DMG|1BEXP	1MLV|2RCR|3aBASARM|46ASPD|5LWND|7aDUR|8BEXP|9aDMG|aBPWR
9	12336 15262	 * 	248.06	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART|1CDMG	1MLV|2RCR|3BASARM|46ASPD|5CDMG|7DMG|8LEGI|9AART|aVULN
10	42331 12361	   	247.98	ACR|2BASARM|2ASPD|2DMG|1BEXP	1TLV|2RCR|3aBASARM|46ASPD|5LHND|7aDUR|8BEXP|9aDMG|aBPWR
11	42331 21361	   	247.98	ACR|2BASARM|2ASPD|2DMG|1BEXP	1TLV|2RCR|3aBASARM|47ASPD|5LHND|6aLWND|8BEXP|9aDMG|aBPWR
12	12344 21511	 * 	246.89	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP|1AART	1MLV|2RCR|3BASARM|4AART|5VULN|68DMG|7BEXP|9LIT|aASPD
13	12344 21532	   	246.89	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART|1BEXP	1MLV|2RCR|3BASARM|4AART|5VULN|68DMG|7BEXP|9ASPD|aFEWX
14	12344 21533	   	246.89	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP|1AART	1MLV|2RCR|3BASARM|4AART|5VULN|68DMG|7BEXP|9ASPD|aCGEN
15	12344 21531	   	246.79	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART|1BEXP	1MLV|2RCR|3BASARM|4AART|5VULN|68DMG|7BEXP|9ASPD|aTLV
16	12336 13162	 * 	246.54	ACR|1BASARM|2VULN|2ASPD|1DMG|1CDMG	1MLV|2RCR|3BASARM|46ASPD|5CDMG|7aVULN|8DUR|9DMG
17	12336 15432	   	246.54	ACR|1BASARM|2VULN|2ASPD|1DMG|1CDMG	1MLV|2RCR|3BASARM|46ASPD|5CDMG|7DMG|8LWND|9aVULN
18	42336 13162	   	246.44	ACR|1BASARM|2VULN|2ASPD|1DMG|1CDMG	1TLV|2RCR|3BASARM|46ASPD|5CDMG|7aVULN|8DUR|9DMG
19	12336 15232	   	246.44	ACR|1BASARM|2VULN|2ASPD|1DMG|1CDMG	1MLV|2RCR|3BASARM|46ASPD|5CDMG|7DMG|8LEGI|9aVULN
20	12336 15632	   	246.44	ACR|1BASARM|2VULN|2ASPD|1DMG|1CDMG	1MLV|2RCR|3BASARM|46ASPD|5CDMG|7DMG|8DUST|9aVULN
21	42336 15232	   	246.34	ACR|1BASARM|2VULN|2ASPD|1DMG|1CDMG	1TLV|2RCR|3BASARM|46ASPD|5CDMG|7DMG|8LEGI|9aVULN
22	12331 14363	   	245.61	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1MLV|2RCR|3BASARM|46ASPD|5LHND|7VULN|8BEXP|9DMG|aCDMG
23	12331 31363	   	245.61	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1MLV|2RCR|3BASARM|47ASPD|5LHND|6VULN|8BEXP|9DMG|aCDMG
24	12333 14362	   	245.61	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1MLV|2RCR|3BASARM|46ASPD|5LWND|7VULN|8BEXP|9DMG|aCDMG
25	12336 12162	   	245.61	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP|1CDMG	1MLV|2RCR|3BASARM|46ASPD|5CDMG|7BEXP|8DUR|9DMG|aVULN
26	12332 55336	   	245.58	ACR|1BASARM|2ASPD|2BEXP|1DMG|1CDMG	15aMLV|2RCR|3BASARM|4aASPD|6CDMG|7DMG|8RCVC|9aBEXP|aBPWR
27	42331 14363	   	245.51	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1TLV|2RCR|3BASARM|46ASPD|5LHND|7VULN|8BEXP|9DMG|aCDMG
28	42331 31363	   	245.51	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1TLV|2RCR|3BASARM|47ASPD|5LHND|6VULN|8BEXP|9DMG|aCDMG
29	42336 12162	   	245.51	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP|1CDMG	1TLV|2RCR|3BASARM|46ASPD|5CDMG|7BEXP|8DUR|9DMG|aVULN
30	12344 21611	   	242.95	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART|1CDMG	1MLV|2RCR|3BASARM|4AART|5VULN|6DMG|7BEXP|8BELT|9ASPD|aCDMG
31	12344 23521	 * 	242.86	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG|1AART	1MLV|2RCR|3BASARM|4AART|5VULN|6DMG|7LIT|89BEXP|aASPD
32	12236 33424	   	242.60	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1AART	1MLV|2RCR|3BEXP|49VULN|5ASPD|6AART|7LIT|8DMG|aBASARM
33	12336 13562	   	242.44	ACR|1BASARM|2VULN|2ASPD|1AART|1CDMG	1MLV|2RCR|3BASARM|46ASPD|5CDMG|7aVULN|8ZMB|9AART
34	12336 13462	   	242.34	ACR|1BASARM|2VULN|2ASPD|1AART|1CDMG	1MLV|2RCR|3BASARM|46ASPD|5CDMG|7aVULN|8AAC|9AART
35	12336 43631	 * 	242.23	ACR|3ASPD|1BASARM|2VULN|1CDMG	19MLV|2RCR|3BASARM|49aASPD|5CDMG|6SNIHEL|7RMIN|89VULN|9BPWR
36	12344 21612	 * 	241.82	ACR|1BASARM|1VULN|2AART|1ASPD|1DMG|1BEXP	1MLV|2RCR|3BASARM|4aAART|5VULN|6DMG|7BEXP|8BELT|9ASPD
37	12312 26136	   	241.70	ACR|2BASARM|2DMG|2BEXP|1CDMG	1aMLV|2RCR|3aBASARM|4RCVC|5CDMG|67DMG|8NUKE|9aBEXP|aBPWR
38	34642 22113	   	241.54	ACR|2VULN|1BASARM|2ASPD|1DMG|1CDMG	18VULN|2DMG|3RCR|4CDMG|56ASPD|7LHND|9LIT|aBASARM
39	42312 26136	   	241.50	ACR|2BASARM|2DMG|2BEXP|1CDMG	1aTLV|2RCR|3aBASARM|4RCVC|5CDMG|67DMG|8NUKE|9aBEXP|aBPWR
