0	Index      	 *	Score 	Summary	Detail	
1	13163 11222	 * 	204.27	ACR|2BASARM|1ASPD|1DMG|1BEXP|1SELL	19CGEN|29LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|89BASARM|9BPWR|aBEXP
2	13563 11222	 * 	201.79	ACR|2BASARM|2ASPD|1BEXP|1SELL	19CGEN|2LIT|3RMIN|4RCR|59ASPD|6SELL|7RCVC|89BASARM|9BPWR|aBEXP
3	13163 36253	 * 	201.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1CGEN|2LIT|3DMG|4RCR|5ASPD|6AAC|7VULN|8VENFST|9BEXP|aBASARM
4	13165 61331	 * 	199.19	ACR|1BASARM|2DMG|1VULN|1BEXP	1CGEN|2LIT|3aDMG|4RCR|5LHND|6BASARM|7ERES|8BEXP|9VULN
5	16214 32533	 * 	198.54	ACR|1BASARM|2BEXP|1ASPD|1VULN	1CGEN|2MLV|3RCVC|4RCR|5ZMB|6ASPD|7BASARM|89BEXP|aVULN
6	22522 21281	 * 	196.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MSLTOX|2LWND|3DUST|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aASPD
7	24522 21281	   	196.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MSLTOX|2DUR|3DUST|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aASPD
8	26622 21281	   	196.37	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MSLTOX|2DUST|3LEGI|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aASPD
9	55331 33142	 * 	194.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1AEMAG|2CDMG|3DUST|48ASPD|5RCR|6aLHND|7BEXP|9BASARM
10	55331 33141	   	193.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1AEMAG|2CDMG|3aDUST|48ASPD|5RCR|6LHND|7BEXP|9BASARM
11	55331 33143	   	193.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1AEMAG|2CDMG|3DUST|48ASPD|5RCR|6LHND|7BEXP|9BASARM|aLEGI
12	22522 21288	 * 	191.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MSLTOX|2LWND|3DUST|4MBVNT|5RCR|6CDMG|7aBEXP|8DMG|9BASARM
13	13163 11225	 * 	190.93	ACR|2BASARM|1ASPD|1DMG|1SELL	19CGEN|29LIT|3DMG|4RCR|5ASPD|6SELL|7aRCVC|89BASARM|9BPWR
14	13163 11221	 * 	190.62	ACR|2BASARM|1ASPD|1DMG|1SELL	19CGEN|29LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|89BASARM|9BPWR|aLWND
15	13163 11226	 * 	190.62	ACR|2BASARM|1ASPD|1DMG|1SELL	19CGEN|29aLIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|89BASARM|9BPWR
16	13163 11223	 * 	190.52	ACR|2BASARM|1ASPD|1DMG|1SELL	19CGEN|29LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|89BASARM|9BPWR|aDUST
17	13163 11242	   	190.21	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|79RCVC|8BASARM|aBEXP
18	22522 21282	 * 	190.06	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1MSLTOX|2LWND|3DUST|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aVULN
