0	Index      	 *	Score 	Summary	Detail	
1	32636 51213	 * 	245.86	ACR|1BASARM|2ASPD|2DMG|1VULN|1AART	1MDPS|25ASPD|3AEFBLL|4RCR|6BASARM|7VULN|8aDMG|9AART
2	32636 53213	   	235.58	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART|1AAC	1MDPS|25ASPD|3AEFBLL|4RCR|6BASARM|7AAC|8VULN|9AART|aDMG
3	32636 51211	   	227.17	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART	1MDPS|25ASPD|3AEFBLL|4RCR|6BASARM|7VULN|8DMG|9AART|aVENFST
4	32636 51212	   	227.17	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART	1MDPS|25ASPD|3AEFBLL|4RCR|6BASARM|7VULN|8DMG|9AART|aDUST
5	32636 52212	   	225.10	ACR|1BASARM|2ASPD|2DMG|1AART	1MDPS|25ASPD|3AEFBLL|4RCR|6BASARM|7FEWX|8aDMG|9AART
6	32636 52221	   	224.27	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	1MDPS|25ASPD|3AEFBLL|4RCR|6BASARM|7FEWX|8DMG|9VULN|aCDMG
7	32636 51221	   	224.17	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	1MDPS|25ASPD|39AEFBLL|4RCR|6BASARM|7VULN|8DMG|aCDMG
8	32636 52122	 * 	218.86	ACR|3ASPD|1BASARM|1VULN|1BEXP	1MDPS|258ASPD|3AEFBLL|4RCR|6BASARM|7FEWX|9BEXP|aVULN
9	32636 51122	   	218.86	ACR|3ASPD|1BASARM|1VULN|1BEXP	1MDPS|258ASPD|3AEFBLL|4RCR|6BASARM|7VULN|9RMIN|aBEXP
10	32636 51113	   	218.76	ACR|3ASPD|1BASARM|1VULN|1BEXP	1MDPS|258ASPD|3AEFBLL|4RCR|6BASARM|7VULN|9LEGI|aBEXP
11	32636 51133	   	218.76	ACR|3ASPD|1BASARM|1VULN|1BEXP	1MDPS|258ASPD|39AEFBLL|4RCR|6BASARM|7VULN|aBEXP
12	32636 51112	 * 	217.74	ACR|3ASPD|1BASARM|2VULN	1MDPS|258ASPD|3AEFBLL|4RCR|6BASARM|7aVULN|9LEGI
13	32636 51132	   	217.74	ACR|3ASPD|1BASARM|2VULN	1MDPS|258ASPD|39AEFBLL|4RCR|6BASARM|7aVULN
