0	Index      	 *	Score 	Summary	Detail	
1	31335 51124	 * 	268.99	ACR|3ASPD|1BASARM|2DMG|2BEXP	1RCR|259ZMB|37BEXP|49DMG|689ASPD|9BPWR|aBASARM
2	33173 83251	 * 	259.92	ACR|2BASARM|2ASPD|2DMG|1AART	1RCR|2MBVNT|39ASPD|4AART|5RCVC|6ZMB|79BASARM|89DMG|9BPWR|aVULN
3	33273 83251	   	259.92	ACR|2BASARM|2ASPD|2DMG|1AART	1RCR|2MBVNT|39DMG|4AART|5RCVC|6ZMB|79BASARM|89ASPD|9BPWR|aVULN
4	33127 74813	 * 	255.67	ACR|3ASPD|3DMG|3BEXP	1RCR|2MBVNT|37aASPD|4aAEFBLL|579BEXP|67aDMG|7aBPWR|8AAC
5	33173 83252	   	252.98	ACR|2BASARM|2ASPD|2DMG|1AART	1RCR|2MBVNT|39ASPD|4AART|5RCVC|6ZMB|79BASARM|89DMG|9BPWR|aFEWX
6	33173 83253	   	252.98	ACR|2BASARM|2ASPD|2DMG|1AART	1RCR|2MBVNT|39ASPD|4AART|5RCVC|6ZMB|79BASARM|89DMG|9BPWR|aRMIN
7	33173 83254	   	252.98	ACR|2BASARM|2ASPD|2DMG|1AART	1RCR|2MBVNT|39ASPD|4AART|5RCVC|6ZMB|79BASARM|89DMG|9BPWR|aLWND
8	33273 83252	   	252.98	ACR|2BASARM|2ASPD|2DMG|1AART	1RCR|2MBVNT|39DMG|4AART|5RCVC|6ZMB|79BASARM|89ASPD|9BPWR|aFEWX
9	33273 83253	   	252.98	ACR|2BASARM|2ASPD|2DMG|1AART	1RCR|2MBVNT|39DMG|4AART|5RCVC|6ZMB|79BASARM|89ASPD|9BPWR|aRMIN
10	33273 83254	   	252.98	ACR|2BASARM|2ASPD|2DMG|1AART	1RCR|2MBVNT|39DMG|4AART|5RCVC|6ZMB|79BASARM|89ASPD|9BPWR|aLWND
11	33273 83813	   	252.98	ACR|2BASARM|2ASPD|2DMG|1AART	1RCR|2MBVNT|3aDMG|4AART|5RCVC|6ZMB|7aBASARM|8BELT|9aASPD|aBPWR
12	45332 32212	 * 	250.82	ACR|2BASARM|2DMG|2BEXP|1ASPD|1AART	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|7aBEXP|8ASPD|9VULN
13	45332 32123	 * 	249.01	ACR|2BASARM|2DMG|2VULN|1BASICY|1AART|1BEXP	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|7BEXP|89VULN|aBASICY
14	45332 32126	 * 	249.01	ACR|2BASARM|2DMG|2VULN|1ASPD|1BEXP|1AART	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|7BEXP|89VULN|aASPD
15	45332 31136	   	246.63	ACR|2BASARM|2ASPD|2DMG|1AART|1CDMG	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|7aASPD|8CDMG|9ZMB
16	45332 31333	   	246.63	ACR|2BASARM|2ASPD|2DMG|1AART|1BEXP	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|78ASPD|9ZMB|aBEXP
17	45332 31323	   	246.53	ACR|2BASARM|2ASPD|2DMG|1AART|1BEXP	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|78ASPD|9ERES|aBEXP
18	33133 36245	 * 	244.67	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|2MBVNT|3ASPD|469DMG|56LHND|6BPWR|7BEXP|8AAC|aBASARM
19	33137 36245	   	244.67	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|2MBVNT|3ASPD|469DMG|56LWND|6BPWR|7BEXP|8AAC|aBASARM
20	33133 66245	   	244.57	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|2MBVNT|3ASPD|469DMG|5LHND|7BEXP|8AAC|aBASARM
21	33136 71245	   	244.57	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|2MBVNT|3ASPD|469DMG|5AAC|7BEXP|8LHND|aBASARM
22	45332 32232	   	243.88	ACR|2BASARM|2DMG|2BEXP|1ASPD|1AART	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|7aBEXP|8ASPD|9FEWX
23	45332 32242	   	243.88	ACR|2BASARM|2DMG|2BEXP|1ASPD|1AART	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|7aBEXP|8ASPD|9LWND
24	45332 32125	 * 	243.78	ACR|2BASARM|2DMG|2BEXP|2VULN|1AART	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|7aBEXP|89VULN
25	45332 32262	   	243.78	ACR|2BASARM|2DMG|2BEXP|1ASPD|1AART	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|7aBEXP|8ASPD|9DUST
26	45332 31134	   	242.69	ACR|2BASARM|2DMG|1ASPD|1BEXP|1AART|1CDMG	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|7ASPD|8CDMG|9ZMB|aBEXP
27	45332 31315	   	241.29	ACR|2BASARM|2ASPD|2DMG|1AART	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|78ASPD|9LWND|aAAC
28	45332 31336	   	241.29	ACR|2BASARM|2ASPD|2DMG|1AART	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|78ASPD|9ZMB|aAAC
29	33754 33252	 * 	241.23	ACR|2BASARM|2ASPD|2AART|1BEXP	1RCR|2MBVNT|39AEMAG|46AART|5DUR|79BASARM|89ASPD|9BPWR|aBEXP
30	45332 31362	   	241.19	ACR|2BASARM|2ASPD|2DMG|1AART	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|78ASPD|9MBVNT|aAAC
31	45332 33326	   	241.19	ACR|2BASARM|2ASPD|2DMG|1AART	1CGEN|24DMG|34BASARM|4BPWR|5RCR|6AART|7ERES|8aASPD|9AAC
32	33137 34763	 * 	240.40	ACR|3DMG|1BASARM|2ASPD	1RCR|2MBVNT|37ASPD|467DMG|567LWND|67BPWR|8CGEN|9ERES|aBASARM
33	33324 14413	   	240.02	ACR|3ASPD|3BEXP|2DMG	1RCR|2MBVNT|3DMSP|4AAC|57aASPD|679BEXP|7aBPWR|8aDMG
34	33371 74413	   	240.02	ACR|3DMG|3BEXP|2ASPD	1RCR|2MBVNT|3DMSP|479BEXP|5AAC|67aDMG|7aBPWR|8aASPD
35	33237 35813	   	239.92	ACR|3DMG|3BEXP|2ASPD	1RCR|2MBVNT|34aDMG|569BEXP|7aASPD|8AAC|aBPWR
