0	Index      	 *	Score 	Summary	Detail	
1	65123 11251	 * 	195.68	ACR|4VULN|2DMG|1ASPD|1SELL	13LHND|268aVULN|4RCR|56DMG|6BPWR|7SELL|9ASPD
2	65123 11214	 * 	191.55	ACR|3VULN|2DMG|1CDMG|1BEXP|1SELL	13LHND|268VULN|4RCR|56DMG|6BPWR|7SELL|9BEXP|aCDMG
3	12262 11663	 * 	190.05	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG	1VENFST|2RPLT|3VULN|4RCR|5VENICY|6AART|7LIT|8CDMG|9BEXP|aBASARM
4	53513 21262	 * 	185.79	ACR|2ASPD|2BEXP|2AART|1CDMG	12aCGEN|3CDMG|4aBEXP|5RCR|6DMSP|7aASPD|89AART|aBPWR
5	53513 31262	   	185.79	ACR|2ASPD|2BEXP|2AART|1CDMG	126aCGEN|3CDMG|4aBEXP|5RCR|7aASPD|89AART|aBPWR
6	65123 11253	 * 	184.31	ACR|3VULN|2DMG|1ASPD|1SELL	13LHND|268VULN|4RCR|56DMG|6BPWR|7SELL|9ASPD|aFEWX
7	65123 11252	 * 	184.21	ACR|3VULN|2DMG|1ASPD|1SELL	13LHND|268VULN|4RCR|56DMG|6BPWR|7SELL|9ASPD|aAME
8	65122 21111	 * 	183.24	ACR|3BEXP|1VULN|3CDMG|1AART	139aLHND|2VULN|4RCR|5RPLT|6AART|79aCDMG|89aBEXP|9aBPWR
9	65126 23212	 * 	181.69	ACR|2VULN|2ASPD|1AART|1BEXP	13LHND|2aVULN|4RCR|57ASPD|6LIT|8AART|9BEXP
10	16312 13162	 * 	181.61	ACR|1BASARM|1DMG|1BEXP|1CDMG	1VENFST|2LHND|35LIT|4RCR|6BEXP|7BELT|8CDMG|9BASARM|aDMG
11	16314 13162	   	181.61	ACR|1BASARM|1DMG|1BEXP|1CDMG	1VENFST|25LHND|3LIT|4RCR|6BEXP|7BELT|8CDMG|9BASARM|aDMG
12	65123 13225	 * 	181.44	ACR|2VULN|3DMG|1BEXP	13LHND|26VULN|4RCR|56aDMG|6BPWR|7RMIN|8FEWX|9BEXP
13	65123 12225	   	181.34	ACR|2VULN|3DMG|1BEXP	13LHND|26VULN|4RCR|56aDMG|6BPWR|7AME|8FEWX|9BEXP
