0	Index      	 *	Score 	Summary	Detail	
1	42233 11345	 * 	309.99	DCR|DCR|2VULN|1TLV|1MLV|1DMG	1AME|2BBNT|3MLV|4TLV|5RMIN|67VULN|8DMG|9aRCR
2	34231 14213	 * 	306.65	DCR|DCR|2VULN|1TLV|1LIT	1FEWX|2aVULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT
3	34237 16213	   	306.65	DCR|DCR|2VULN|1TLV|1LIT	1FEWX|2aVULN|3TLV|4MBVNT|5LHND|69RCR|7DUR|8LIT
4	24231 14213	   	306.55	DCR|DCR|2VULN|1TLV|1LIT	1DUST|2aVULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT
5	24231 18213	   	306.55	DCR|DCR|2VULN|1TLV|1LIT	1DUST|2aVULN|3TLV|4MBVNT|5DUR|69RCR|7FEWX|8LIT
6	24232 11413	   	306.55	DCR|DCR|2VULN|1TLV|1LIT	1DUST|2aVULN|3TLV|4MBVNT|5FEWX|69RCR|7LIT|8DUR
7	24232 16213	   	306.55	DCR|DCR|2VULN|1TLV|1LIT	1DUST|2aVULN|3TLV|4MBVNT|5FEWX|69RCR|7DUR|8LIT
8	24234 16213	   	306.55	DCR|DCR|2VULN|1TLV|1LIT	1DUST|2aVULN|3TLV|4MBVNT|5LHND|69RCR|7DUR|8LIT
9	42232 11145	   	303.48	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1AME|2BBNT|3MLV|4TLV|5ASPD|67VULN|8ERES|9aRCR
10	23611 43533	 * 	302.35	DCR|DCR|2LIT|1TLV|2DUR|2AART	18DUST|28DUR|3BBNT|46AART|58LIT|7aRCR|8BPWR|9TLV
11	32112 45125	 * 	300.96	DCR|DCR|2VULN|1TLV|2ASPD	19FEWX|29ASPD|3BBNT|47CGEN|5TLV|69VULN|8aRCR|9BPWR
12	22112 45125	   	300.76	DCR|DCR|2VULN|1TLV|2ASPD	19DUST|29ASPD|3BBNT|47CGEN|5TLV|69VULN|8aRCR|9BPWR
