0	Index      	 *	Score 	Summary	Detail	
1	52521 12213	 * 	318.00	DCR|DCR|1TLV|2DMG|1LIT|1VULN	1TLV|2LIT|3BBNT|46DMG|5VULN|7AME|8aRCR|9DLOT
2	61223 22564	 * 	306.55	DCR|DCR|2VULN|1TLV|1LIT	1LHND|2aVULN|3BBNT|4LEGI|5MBVNT|68RCR|7TLV|9LIT
3	52531 13213	   	300.51	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1TLV|2LIT|3BBNT|47CGEN|5VULN|6DMG|8aRCR|9DLOT
4	52526 13321	 * 	297.04	DCR|DCR|2LIT|1TLV|1DMG	1TLV|25LIT|3BBNT|4DMG|6AME|79RCR|8AART|aFEWX
5	52526 13323	   	297.04	DCR|DCR|2LIT|1TLV|1DMG	1TLV|25LIT|3BBNT|4DMG|6AME|79RCR|8AART|aLHND
6	52526 13322	   	296.94	DCR|DCR|2LIT|1TLV|1DMG	1TLV|25LIT|3BBNT|4DMG|6AME|79RCR|8AART|aAEFBLL
7	52232 23323	 * 	296.40	DCR|3VULN|2TLV|2LIT|1DMG	18TLV|28LIT|3ERES|4LWND|578VULN|6DMSP|8BPWR|9DMG|aRCR
8	52221 16213	   	296.21	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1TLV|2LIT|37ERES|4TBNT|5VULN|6DMG|8aRCR|9DLOT
9	56221 16213	   	296.21	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1TLV|27ERES|3LIT|4TBNT|5VULN|6DMG|8aRCR|9DLOT
10	52226 63322	   	296.18	DCR|DCR|2LIT|1TLV|1ASPD	1TLV|25LIT|3ERES|4TBNT|6ASPD|79RCR|8AART|aBBNT
11	52321 55222	 * 	296.04	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27LIT|3LEGI|4CGEN|5MLV|67VULN|7BPWR|8DUR|9RCR|aBEXP
12	52321 55221	   	295.94	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27LIT|3LEGI|4CGEN|5MLV|67VULN|7BPWR|8DUR|9RCR|aERES
13	52321 55223	   	295.94	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27LIT|3LEGI|4CGEN|5MLV|67VULN|7BPWR|8DUR|9RCR|aDUST
14	61223 22533	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1LHND|2VULN|3BBNT|4LEGI|5MBVNT|68RCR|7TLV|9CDMG|aLIT
15	52314 42113	 * 	291.60	DCR|2VULN|2TLV|2LIT|2DMG|1SELL	1aTLV|2aLIT|3LEGI|4LWND|58VULN|6RCR|7aDMG|9SELL|aBPWR
16	52334 42113	 * 	291.60	DCR|2VULN|2TLV|2LIT|2DMG|1SELL	1aTLV|2aLIT|3LEGI|4FEWX|58VULN|6RCR|7aDMG|9SELL|aBPWR
17	52561 13321	   	290.62	DCR|DCR|2LIT|1TLV|1ASPD	1TLV|24LIT|3BBNT|5ASPD|6AME|79RCR|8AART|aFEWX
18	52561 13323	   	290.62	DCR|DCR|2LIT|1TLV|1ASPD	1TLV|24LIT|3BBNT|5ASPD|6AME|79RCR|8AART|aLHND
19	52561 13322	   	290.52	DCR|DCR|2LIT|1TLV|1ASPD	1TLV|24LIT|3BBNT|5ASPD|6AME|79RCR|8AART|aAEFBLL
20	61223 22562	   	290.01	DCR|DCR|1TLV|1LIT|1VULN	1LHND|2VULN|3BBNT|4LEGI|5MBVNT|68RCR|7TLV|9LIT|aDUR
21	52122 15241	   	289.28	DCR|2VULN|2TLV|1LIT|1MLV|1ASPD	16TLV|2LIT|3DUR|4CGEN|5aVULN|7RCR|8ASPD|9MLV
22	52114 42113	 * 	288.82	DCR|2VULN|2TLV|2DMG|1LIT|2DUR|1SELL	1aTLV|2LIT|3aDUR|4LWND|58VULN|6RCR|7aDMG|9SELL|aBPWR
23	52134 42113	 * 	288.82	DCR|2VULN|2TLV|2DMG|1LIT|2DUR|1SELL	1aTLV|2LIT|3aDUR|4FEWX|58VULN|6RCR|7aDMG|9SELL|aBPWR
