0	Index      	 *	Score 	Summary	Detail	
1	65113 35323	 * 	304.53	DCR|3VULN|2TLV|3DMG|1ASPD|1CDMG	13aVULN|2CDMG|46aDMG|5ASPD|7CANHEL|8aTLV|9RCR|aBPWR
2	64111 22421	 * 	303.77	DCR|3VULN|3LIT|2TLV	18aVULN|2LEGI|3LHND|4BBNT|578LIT|68TLV|8BPWR|9RCR
3	64231 22421	   	299.67	DCR|3VULN|3LIT|2TLV	18aVULN|2LEGI|3TBNT|4LWND|578LIT|68TLV|8BPWR|9RCR
4	21333 43366	 * 	294.41	DCR|DCR|2DMG|1TLV|1LIT	1DUR|26BEXP|3TLV|4ERES|56DMG|6BPWR|7AART|8aRCR|9LIT
5	42215 33432	   	289.48	DCR|2VULN|2TLV|2LIT|1DMG	18TLV|2MSLTOX|38VULN|4TBNT|5BBNT|68LIT|7RCR|8BPWR|9RMIN|aDMG
6	42235 33432	   	289.48	DCR|2VULN|2TLV|2LIT|1DMG	18TLV|2MSLTOX|38VULN|4BBNT|5TBNT|68LIT|7RCR|8BPWR|9RMIN|aDMG
7	43322 42243	 * 	287.24	DCR|3TLV|2VULN|2LIT|1DMG|1CDMG	18aTLV|2MDPS|3FLTARM|4aLIT|5CDMG|6DMG|7RCR|9aVULN|aBPWR
8	42215 33422	   	287.19	DCR|3LIT|2VULN|2TLV	18TLV|2MSLTOX|38VULN|4TBNT|5BBNT|689LIT|7RCR|8BPWR|aLHND
9	42235 33422	   	287.19	DCR|3LIT|2VULN|2TLV	18TLV|2MSLTOX|38VULN|4BBNT|5TBNT|689LIT|7RCR|8BPWR|aLHND
10	42215 33423	   	287.09	DCR|3LIT|2VULN|2TLV	18TLV|2MSLTOX|38VULN|4TBNT|5BBNT|689LIT|7RCR|8BPWR|aDUST
11	42235 33423	   	287.09	DCR|3LIT|2VULN|2TLV	18TLV|2MSLTOX|38VULN|4BBNT|5TBNT|689LIT|7RCR|8BPWR|aDUST
12	42215 33421	 * 	286.63	DCR|3TLV|3LIT|2VULN	18aTLV|2MSLTOX|38VULN|4TBNT|5BBNT|689LIT|7RCR|8BPWR
13	42235 33421	   	286.63	DCR|3TLV|3LIT|2VULN	18aTLV|2MSLTOX|38VULN|4BBNT|5TBNT|689LIT|7RCR|8BPWR
14	43622 52333	   	285.52	DCR|3LIT|2VULN|2TLV|1CDMG	1aTLV|2MDPS|39aLIT|4MSLFST|5CDMG|6AAC|7RCR|8aVULN|aBPWR
15	22132 33366	   	284.49	DCR|DCR|1TLV|1LIT|1DMG|2DUR	12DUR|3LHND|4TLV|5ERES|6DMG|7AART|8aRCR|9LIT
16	64111 22422	   	281.63	DCR|3LIT|2VULN|2TLV	18VULN|2LEGI|3LHND|4BBNT|578LIT|68TLV|8BPWR|9RCR|aRMIN
17	64111 22423	   	281.53	DCR|3LIT|2VULN|2TLV	18VULN|2LEGI|3LHND|4BBNT|578LIT|68TLV|8BPWR|9RCR|aCRUHEL
18	42322 31124	 * 	279.89	DCR|2TLV|2LIT|1VULN|1MLV|2CDMG|1SELL	18TLV|2MSLTOX|38LIT|4LHND|5MLV|6SELL|78CDMG|8BPWR|9RCR|aVULN
19	64231 22422	   	277.53	DCR|3LIT|2VULN|2TLV	18VULN|2LEGI|3TBNT|4LWND|578LIT|68TLV|8BPWR|9RCR|aRMIN
20	64231 22423	   	277.43	DCR|3LIT|2VULN|2TLV	18VULN|2LEGI|3TBNT|4LWND|578LIT|68TLV|8BPWR|9RCR|aCRUHEL
21	65112 12316	   	276.75	DCR|2VULN|1TLV|1LIT|1DMG|2AART|1CDMG|1ASPD	13VULN|2CDMG|4DMG|58AART|6ASPD|7RCR|9TLV|aLIT
22	65113 22316	   	276.75	DCR|2VULN|1TLV|1LIT|1DMG|2AART|1CDMG|1ASPD	13VULN|2CDMG|4DMG|5ASPD|68AART|7RCR|9TLV|aLIT
23	21333 33366	   	276.72	DCR|DCR|1TLV|1LIT|1DMG	1DUR|26BEXP|3TLV|4ERES|5DMG|7AART|8aRCR|9LIT
24	21342 33366	   	276.72	DCR|DCR|1TLV|1LIT|1DMG	1DUR|24BEXP|3TLV|5ERES|6DMG|7AART|8aRCR|9LIT
25	24132 33366	   	276.72	DCR|DCR|1TLV|1LIT|1DMG	1DUR|23LHND|4TLV|5ERES|6DMG|7AART|8aRCR|9LIT
26	25132 33366	   	276.72	DCR|DCR|1TLV|1LIT|1DMG	1DUR|2DMSP|3LHND|4TLV|5ERES|6DMG|7AART|8aRCR|9LIT
27	43324 31311	   	276.52	DCR|DCR|1TLV|1LIT|1DMG	1TLV|2MDPS|3FLTARM|4LIT|5RPLT|6DMG|7ERES|8aRCR|9DUR
28	43424 31311	   	276.52	DCR|DCR|1TLV|1LIT|1DMG	1TLV|2MDPS|3CANHEL|4LIT|5RPLT|6DMG|7ERES|8aRCR|9DUR
29	43624 31311	   	276.52	DCR|DCR|1TLV|1LIT|1DMG	1TLV|2MDPS|3LIT|4MSLFST|5RPLT|6DMG|7ERES|8aRCR|9DUR
30	65133 22611	 * 	276.49	DCR|4VULN|1TLV|1LIT|1CDMG	1359VULN|2CDMG|4AART|6RCR|7BELT|8TLV|aLIT
