0	Index      	 *	Score 	Summary	Detail	
1	22135 31344	 * 	316.85	DCR|2VULN|2TLV|2MLV|2DMG|1LIT	1AAC|28TLV|38MLV|4LWND|5LIT|68DMG|7RCR|8BPWR|9aVULN
2	61432 13252	 * 	309.03	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1ASPD	1AEFBLL|2aRCR|37VULN|4TLV|5MLV|6ASPD|8DMG|9LIT
3	12113 34264	 * 	300.51	DCR|DCR|1TLV|1LIT|1VULN|2CDMG	1CGEN|25CDMG|3LIT|4VULN|6FEWX|7BBNT|8aRCR|9TLV
4	12113 21264	   	300.41	DCR|DCR|1TLV|1LIT|1VULN|2CDMG	1CGEN|25CDMG|3LIT|4VULN|6BBNT|7DUST|8aRCR|9TLV
5	22135 31324	   	300.31	DCR|2TLV|2MLV|2DMG|1LIT|1VULN	1AAC|28TLV|38MLV|4LWND|5LIT|68DMG|7RCR|8BPWR|9DUR|aVULN
6	22135 31343	   	300.31	DCR|2TLV|2MLV|2DMG|1LIT|1VULN	1AAC|28TLV|38MLV|4LWND|5LIT|68DMG|7RCR|8BPWR|9VULN|aBBNT
7	22135 31331	   	298.95	DCR|2TLV|2MLV|2DMG|1LIT|1VULN	1AAC|28TLV|38MLV|4LWND|5LIT|68DMG|7RCR|8BPWR|9RPLT|aVULN
8	12113 11264	   	296.31	DCR|DCR|1TLV|1LIT|1VULN|2CDMG	1CGEN|25CDMG|3LIT|4VULN|6TBNT|7DUST|8aRCR|9TLV
9	12116 21264	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	15CGEN|2CDMG|3LIT|4VULN|6BBNT|7DUST|8aRCR|9TLV
10	61431 13152	   	293.66	ACR|DCR|2VULN|1TLV|1LIT|1DMG|1ASPD	1AEFBLL|2aRCR|37VULN|4TLV|5DMG|6ASPD|8CGEN|9LIT
11	61431 13312	   	293.56	ACR|DCR|2VULN|1TLV|1LIT|1DMG|1ASPD	1AEFBLL|2aRCR|37VULN|4TLV|5DMG|6ASPD|8LIT|9ERES
12	22136 11252	 * 	291.81	DCR|DCR|2DMG|1TLV|1LIT|1MLV	1AAC|2TLV|3MLV|4LWND|56DMG|7RCVC|8aRCR|9LIT
13	22135 31342	   	290.64	DCR|2TLV|2MLV|2DMG|1LIT|1VULN	1AAC|28TLV|38MLV|4LWND|5LIT|68DMG|7RCR|8BPWR|9VULN|aDMSP
14	22135 31345	   	290.64	DCR|2TLV|2MLV|2DMG|1LIT|1VULN	1AAC|28TLV|38MLV|4aLWND|5LIT|68DMG|7RCR|8BPWR|9VULN
15	22135 31364	   	290.64	DCR|2TLV|2MLV|2DMG|1LIT|1VULN	1AAC|28TLV|38MLV|4LWND|5LIT|68DMG|7RCR|8BPWR|9BEXP|aVULN
16	22135 31341	   	290.54	DCR|2TLV|2MLV|2DMG|1LIT|1VULN	1AAC|28TLV|38MLV|4LWND|5LIT|68DMG|7RCR|8BPWR|9VULN|aERES
17	22135 31346	   	290.54	DCR|2TLV|2MLV|2DMG|1LIT|1VULN	1AAC|28TLV|38MLV|4LWND|5LIT|68DMG|7RCR|8BPWR|9VULN|aMDPS
18	12116 11264	   	289.99	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	15CGEN|2CDMG|3LIT|4VULN|6TBNT|7DUST|8aRCR|9TLV
19	61431 16312	 * 	287.90	ACR|DCR|2TLV|1LIT|1VULN|1DMG|1ASPD	1AEFBLL|2aRCR|3VULN|47TLV|5DMG|6ASPD|8LIT|9ERES
20	33125 42252	   	287.58	DCR|DCR|1TLV|1LIT|1MLV|1DMG|1ASPD	1MLV|2ASPD|3AME|4ERES|5TLV|6AEFBLL|7DMG|8aRCR|9LIT
21	12133 64224	   	287.04	DCR|DCR|1TLV|1LIT|1MLV|1CDMG	1CGEN|2CDMG|3LIT|4MLV|5DUR|6TLV|7BBNT|8aRCR|9ERES
22	32123 64224	   	287.04	DCR|DCR|1TLV|1LIT|1MLV|1CDMG	1MLV|2CDMG|3LIT|4CGEN|5DUR|6TLV|7BBNT|8aRCR|9ERES
