0	Index      	 *	Score 	Summary	Detail	
1	42553 23333	 * 	290.83	DCR|DCR|2TLV|2DMG|2DUR	1AART|29DMG|39TLV|46DUR|5ZMB|79BEXP|8aRCR|9BPWR
2	42136 51113	 * 	290.72	DCR|DCR|2MLV|2DMG|1TLV|1DUR	1AART|27DMG|3ZMB|47AME|57MLV|6aRCR|7BPWR|8DUR|9TLV
3	42622 14133	 * 	283.67	ACR|DCR|2VULN|2DMG|1TLV|1DUR	1AART|26DMG|3DMSP|4aRCR|56VULN|6BPWR|7AAC|8DUR|9TLV
4	42136 51213	   	281.06	DCR|DCR|2MLV|2DMG|1TLV	1AART|27DMG|3ZMB|47AME|57MLV|6aRCR|7BPWR|8BEXP|9TLV
5	51523 62332	 * 	280.02	DCR|2VULN|2LIT|2MLV|1TLV|1DUR	18MLV|28LIT|3TLV|4ERES|58VULN|6AART|7RCR|8BPWR|9RCVC|aDUR
6	51523 62312	   	279.92	DCR|2VULN|2LIT|2MLV|1TLV|1DUR	18MLV|28LIT|3TLV|49ERES|58VULN|6AART|7RCR|8BPWR|aDUR
7	42511 25233	   	273.40	DCR|DCR|2TLV|2DMG	1AART|29DMG|39TLV|45LWND|6FEWX|7aRCR|89ZMB|9BPWR
8	51431 83124	 * 	273.11	DCR|2TLV|2LIT|2MLV|1VULN	17MLV|27LIT|3AME|4MBVNT|5LHND|67TLV|7BPWR|8RCR|9AAC|aVULN
9	51431 83134	   	273.01	DCR|2TLV|2LIT|2MLV|1VULN	17MLV|27LIT|3AME|4MBVNT|5LHND|67TLV|7BPWR|8RCR|9TSLFST|aVULN
10	41123 32341	 * 	272.84	DCR|DCR|1TLV|1VULN|2DUR	1AART|24DUR|3CGEN|5RPLT|6TLV|7LWND|89RCR|aVULN
11	41123 32345	 * 	272.84	DCR|DCR|1TLV|1LIT|2DUR	1AART|24DUR|3CGEN|5RPLT|6TLV|7LWND|89RCR|aLIT
12	41123 33341	   	272.84	DCR|DCR|1TLV|1VULN|2DUR	1AART|24DUR|3CGEN|5RPLT|6TLV|7LHND|89RCR|aVULN
13	41123 33345	   	272.84	DCR|DCR|1TLV|1LIT|2DUR	1AART|24DUR|3CGEN|5RPLT|6TLV|7LHND|89RCR|aLIT
14	41123 34341	   	272.84	DCR|DCR|1TLV|1VULN|2DUR	1AART|24DUR|3CGEN|5RPLT|6TLV|7FEWX|89RCR|aVULN
15	11462 22422	 * 	270.78	DCR|DCR|1TLV|1LIT|1VULN	19LHND|2LWND|3VULN|4TLV|5GSSFST|6aRCR|7ZMB|8LIT
16	11462 22432	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1LHND|29LWND|3VULN|4TLV|5GSSFST|6aRCR|7ZMB|8LIT
17	22462 22422	   	270.78	DCR|DCR|1TLV|1LIT|1VULN	1BEXP|29LHND|3VULN|4TLV|5GSSFST|6aRCR|7ZMB|8LIT
18	43234 22151	 * 	270.72	DCR|3TLV|2VULN|2DMG|1LIT|1SELL	1AART|2SELL|3aDMG|4BELT|5LIT|6aVULN|7RCR|89aTLV|aBPWR
19	12462 22422	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	19LHND|2LEGI|3VULN|4TLV|5GSSFST|6aRCR|7ZMB|8LIT
20	32462 22422	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1DUST|29LHND|3VULN|4TLV|5GSSFST|6aRCR|7ZMB|8LIT
21	51523 62322	   	270.36	DCR|2VULN|2LIT|2MLV|1TLV	18MLV|28LIT|3TLV|4ERES|58VULN|6AART|7RCR|8BPWR|9CGEN|aRMIN
22	51523 62331	   	270.36	DCR|2VULN|2LIT|2MLV|1TLV	18MLV|28LIT|3TLV|4ERES|58VULN|6AART|7RCR|8BPWR|9RCVC|aCGEN
23	51523 62333	   	270.36	DCR|2VULN|2LIT|2MLV|1TLV	18MLV|28LIT|3TLV|4ERES|58VULN|6AART|7RCR|8BPWR|9RCVC|aRMIN
24	51523 62311	   	270.26	DCR|2VULN|2LIT|2MLV|1TLV	18MLV|28LIT|3TLV|49ERES|58VULN|6AART|7RCR|8BPWR|aCGEN
