0	Index      	 *	Score 	Summary	Detail	
1	24438 73384	 * 	306.16	ACR|4VULN|3TLV|3MLV	1MBVNT|2NUKE|3RCR|489aVULN|5DUR|689MLV|789TLV|89BPWR
2	24163 83364	 * 	305.54	DCR|3VULN|2TLV|1LIT|1MLV|2DUR	1MBVNT|2NUKE|38DUR|4MLV|58aVULN|6RCR|78TLV|8BPWR|9LIT
3	24264 83364	   	305.54	DCR|3VULN|2TLV|1LIT|1MLV|2DUR	1MBVNT|2NUKE|38aVULN|4MLV|58DUR|6RCR|78TLV|8BPWR|9LIT
4	24163 83384	 * 	298.39	DCR|4VULN|3TLV|3DUR|1MLV	1MBVNT|2NUKE|389DUR|4MLV|589aVULN|6RCR|789TLV|89BPWR
5	24264 83384	   	298.39	DCR|4VULN|3TLV|3DUR|1MLV	1MBVNT|2NUKE|389aVULN|4MLV|589DUR|6RCR|789TLV|89BPWR
6	24438 73381	   	294.77	ACR|3VULN|3TLV|3MLV|2DUR	1MBVNT|2NUKE|3RCR|489VULN|5aDUR|689MLV|789TLV|89BPWR
7	24438 73481	   	294.77	ACR|3VULN|3TLV|3MLV|2DUR	1MBVNT|2NUKE|3RCR|49aVULN|5aDUR|689MLV|79aTLV|9aBPWR
8	24163 83382	   	292.88	DCR|3VULN|3TLV|3DUR|1MLV|1ASPD	1MBVNT|2NUKE|389DUR|4MLV|589VULN|6RCR|789TLV|89BPWR|aASPD
9	24264 83382	   	292.88	DCR|3VULN|3TLV|3DUR|1MLV|1ASPD	1MBVNT|2NUKE|389VULN|4MLV|589DUR|6RCR|789TLV|89BPWR|aASPD
10	24163 83361	   	291.70	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	1MBVNT|2NUKE|38DUR|4MLV|58VULN|6RCR|78TLV|8BPWR|9LIT|aAART
11	24264 83361	   	291.70	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	1MBVNT|2NUKE|38VULN|4MLV|58DUR|6RCR|78TLV|8BPWR|9LIT|aAART
12	24553 83314	 * 	288.37	DCR|3VULN|2TLV|2MLV	1MBVNT|2NUKE|38MLV|4DUR|58aVULN|6RCR|78TLV|8BPWR|9BBNT
13	24438 73382	   	287.00	ACR|3VULN|3TLV|3MLV	1MBVNT|2NUKE|3RCR|489VULN|5DUR|689MLV|789TLV|89BPWR|aLWND
14	24438 73383	   	286.90	ACR|3VULN|3TLV|3MLV	1MBVNT|2NUKE|3RCR|489VULN|5DUR|689MLV|789TLV|89BPWR|aDUST
15	24163 83347	   	283.30	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	1MBVNT|2NUKE|38DUR|4MLV|58VULN|6RCR|78TLV|8BPWR|9ERES|aLIT
16	24163 83362	   	283.30	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	1MBVNT|2NUKE|38DUR|4MLV|58VULN|6RCR|78TLV|8BPWR|9LIT|aSNIHEL
17	24163 83363	   	283.30	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	1MBVNT|2NUKE|38DUR|4MLV|58VULN|6RCR|78TLV|8BPWR|9LIT|aDUST
18	24264 83347	   	283.30	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	1MBVNT|2NUKE|38VULN|4MLV|58DUR|6RCR|78TLV|8BPWR|9ERES|aLIT
19	24264 83362	   	283.30	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	1MBVNT|2NUKE|38VULN|4MLV|58DUR|6RCR|78TLV|8BPWR|9LIT|aSNIHEL
20	24264 83363	   	283.30	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	1MBVNT|2NUKE|38VULN|4MLV|58DUR|6RCR|78TLV|8BPWR|9LIT|aDUST
21	24163 83314	   	283.10	DCR|3VULN|2TLV|1MLV|2DUR	1MBVNT|2NUKE|38DUR|4MLV|58aVULN|6RCR|78TLV|8BPWR|9BBNT
22	24264 83314	   	283.10	DCR|3VULN|2TLV|1MLV|2DUR	1MBVNT|2NUKE|38aVULN|4MLV|58DUR|6RCR|78TLV|8BPWR|9BBNT
23	24244 83884	   	282.69	DCR|3VULN|2TLV|2MLV|1CDMG	1MBVNT|2NUKE|389VULN|4LHND|59MLV|6RCR|79TLV|9BPWR|aCDMG
24	24461 32244	 * 	281.04	ACR|3VULN|2TLV|2LIT|1MLV	1MBVNT|2NUKE|3RCR|49LIT|59TLV|6DUR|7MLV|89aVULN|9BPWR
25	24228 42412	 * 	280.10	DCR|2VULN|2TLV|2LIT|2ASPD	1MBVNT|2NUKE|3aVULN|45LIT|6MDPS|7aTLV|8aASPD|9RCR|aBPWR
26	24163 83381	   	279.23	DCR|3VULN|3TLV|3DUR|1MLV	1MBVNT|2NUKE|389DUR|4MLV|589VULN|6RCR|789TLV|89BPWR|aBELT
27	24264 83381	   	279.23	DCR|3VULN|3TLV|3DUR|1MLV	1MBVNT|2NUKE|389VULN|4MLV|589DUR|6RCR|789TLV|89BPWR|aBELT
28	24163 83383	   	279.13	DCR|3VULN|3TLV|3DUR|1MLV	1MBVNT|2NUKE|389DUR|4MLV|589VULN|6RCR|789TLV|89BPWR|aTSLFST
29	24264 83383	   	279.13	DCR|3VULN|3TLV|3DUR|1MLV	1MBVNT|2NUKE|389VULN|4MLV|589DUR|6RCR|789TLV|89BPWR|aTSLFST
30	24244 83882	   	278.70	DCR|3VULN|2TLV|2MLV	1MBVNT|2NUKE|389VULN|4LHND|59MLV|6RCR|79TLV|9BPWR|aDUR
31	24553 83332	   	278.70	DCR|3VULN|2TLV|2MLV	1MBVNT|2NUKE|38MLV|4DUR|58aVULN|6RCR|78TLV|8BPWR|9BEXP
32	24553 83344	   	278.60	DCR|3VULN|2TLV|2MLV	1MBVNT|2NUKE|38MLV|4DUR|58aVULN|6RCR|78TLV|8BPWR|9ERES
33	13231 54111	 * 	277.64	DCR|DCR|1TLV|1LIT|3DUR|1MLV	125DUR|3MLV|4MDPS|68RCR|7LHND|9TLV|aLIT
34	13231 54112	 * 	277.64	DCR|DCR|1TLV|1VULN|3DUR|1MLV	125DUR|3MLV|4MDPS|68RCR|7LHND|9TLV|aVULN
35	13231 53111	   	277.54	DCR|DCR|1TLV|1LIT|3DUR|1MLV	125DUR|3MLV|4MDPS|68RCR|7DUST|9TLV|aLIT
36	13231 53112	   	277.54	DCR|DCR|1TLV|1VULN|3DUR|1MLV	125DUR|3MLV|4MDPS|68RCR|7DUST|9TLV|aVULN
37	22263 83248	   	277.37	DCR|DCR|1TLV|1VULN|1MLV|1ASPD	1MBVNT|2FEWX|3ASPD|4MLV|5VULN|6aRCR|7TLV|8BEXP|9DUR
