0	Index      	 *	Score 	Summary	Detail	
1	11252 26311	 * 	262.85	橙3伤害3时间1易伤2矿等1等级	1赏金塔237时间479伤害57矿等6核7序列升级8易伤a等级
2	11252 26316	   	250.30	橙3伤害3时间1易伤2矿等1全技能	1赏金塔237时间479伤害57矿等6核7序列升级8易伤a全技能
3	11252 26361	 * 	247.19	橙2易伤3时间2伤害2矿等	1赏金塔237时间47伤害57矿等6核7序列升级89易伤a雷电
4	11252 26362	   	247.19	橙2易伤3时间2伤害2矿等	1赏金塔237时间47伤害57矿等6核7序列升级89易伤a额外掉落
5	11252 26363	   	247.19	橙2易伤3时间2伤害2矿等	1赏金塔237时间47伤害57矿等6核7序列升级89易伤a基地爆炸
6	11252 26215	   	247.19	橙3时间2伤害1易伤2矿等1等级	1赏金塔237时间47伤害57矿等6核7序列升级8随机技能9等级a易伤
7	32574 31344	 * 	246.05	橙橙3时间2伤害	1额外掉落25a时间3加一45敌人爆炸5a序列升级69核7a伤害8a机枪对头目
8	32577 31344	   	245.95	橙橙3时间2伤害	1额外掉落25a时间3加一4敌人爆炸69核7a伤害8a机枪对头目a序列升级
9	32574 32115	 * 	244.64	橙橙1易伤2时间1矿等	1额外掉落25时间3加一45敌人爆炸5序列升级6a核7易伤8矿等9雷电
10	51262 33216	 * 	243.59	橙橙1易伤1伤害1时间	1最后敌人2金币生成3随机技能4攻速5立即金币6易伤7a核8伤害9时间
11	51263 33216	   	243.59	橙橙1易伤1伤害1时间	1最后敌人2金币生成35随机技能4攻速6易伤7a核8伤害9时间
12	51422 33216	   	243.59	橙橙1易伤1伤害1时间	1最后敌人2金币生成3攻速4随机技能5立即金币6易伤7a核8伤害9时间
13	51423 33216	   	243.59	橙橙1易伤1伤害1时间	1最后敌人2金币生成3攻速45随机技能6易伤7a核8伤害9时间
14	61262 33216	   	243.59	橙橙1易伤1伤害1时间	1敌人爆炸2金币生成3随机技能4攻速5立即金币6易伤7a核8伤害9时间
15	61263 33216	   	243.59	橙橙1易伤1伤害1时间	1敌人爆炸2金币生成35随机技能4攻速6易伤7a核8伤害9时间
16	61422 33216	   	243.59	橙橙1易伤1伤害1时间	1敌人爆炸2金币生成3攻速4随机技能5立即金币6易伤7a核8伤害9时间
17	61423 33216	   	243.59	橙橙1易伤1伤害1时间	1敌人爆炸2金币生成3攻速45随机技能6易伤7a核8伤害9时间
18	13514 35131	 * 	239.65	橙橙1等级1矿等1时间1全技能	1赏金塔2双倍物品3挖青4全技能5等级6头目7a核8矿等9时间
19	32412 23254	 * 	238.51	橙3易伤2时间1等级1伤害	1额外掉落28时间345易伤6基地爆炸7伤害9等级a核
20	11252 26312	   	236.64	橙3伤害3时间1易伤2矿等	1赏金塔237时间479伤害57矿等6核7序列升级8易伤a最后敌人
21	11252 26313	   	236.64	橙3伤害3时间1易伤2矿等	1赏金塔237时间479伤害57矿等6核7序列升级8易伤a雷电
22	11252 26315	   	236.64	橙3伤害3时间1易伤2矿等	1赏金塔237时间479伤害57矿等6核7序列升级8易伤a头目
23	22313 23256	   	236.55	橙橙1易伤1伤害1时间	1立即金币2最后敌人3技能点4时间5易伤6随机技能7a核8伤害9策反
24	11252 26314	   	236.54	橙3伤害3时间1易伤2矿等	1赏金塔237时间479伤害57矿等6核7序列升级8易伤a掉矿
25	22313 23221	   	236.45	橙橙1易伤1伤害1时间	1立即金币2最后敌人3技能点4时间5易伤6随机技能7a核8伤害9双倍秒伤
26	61262 33621	 * 	235.98	橙橙2易伤	1敌人爆炸2金币生成3随机技能4攻速5立即金币69易伤7a核8赏金邻近
27	61263 33621	   	235.98	橙橙2易伤	1敌人爆炸2金币生成35随机技能4攻速69易伤7a核8赏金邻近
28	61422 33621	   	235.98	橙橙2易伤	1敌人爆炸2金币生成3攻速4随机技能5立即金币69易伤7a核8赏金邻近
29	61423 33621	   	235.98	橙橙2易伤	1敌人爆炸2金币生成3攻速45随机技能69易伤7a核8赏金邻近
30	11252 26253	   	234.64	橙3时间2伤害1易伤2矿等1技能	1赏金塔237时间47伤害57矿等6核7序列升级8随机技能9易伤a技能
31	11252 26262	   	234.64	橙3时间2伤害1易伤2矿等1暴击	1赏金塔237时间47伤害57矿等6核7序列升级8随机技能9暴击a易伤
32	11252 26328	   	234.54	橙3时间2伤害1易伤2矿等1技能	1赏金塔237时间47伤害57矿等6核7序列升级8易伤9加一a技能
33	32576 31344	   	234.50	橙橙2伤害2时间	1额外掉落2a时间3加一4敌人爆炸5双倍矿69核7a伤害8a机枪对头目a序列升级
