0	Index      	 *	Score 	Summary	Detail	
1	43343 32213	 * 	259.11	紫3全技能1基础对甲1易伤2基地爆炸1伤害	1激光对冰2伤害3核4a基地爆炸5易伤678全技能9基础对甲
2	63343 32262	 * 	256.09	紫3全技能2易伤2基地爆炸2基础对冰1伤害	1a基础对冰2伤害3核4a基地爆炸5a易伤678全技能9随机矿a序列升级
3	63343 32433	 * 	255.83	紫2易伤2伤害2全技能1攻速1基础对冰1基地爆炸	1基础对冰28伤害3核4基地爆炸59易伤67全技能a攻速
4	63343 11224	 * 	254.84	紫2易伤2攻速2基地爆炸2基础对冰1伤害1全技能	18基础对冰2伤害3核48基地爆炸59易伤6低血量敌人78攻速8序列升级a全技能
5	61121 32262	 * 	250.84	紫3全技能2易伤2伤害2基础对冰1基地爆炸	1a基础对冰2基地爆炸3a伤害4a易伤5核678全技能9随机矿a序列升级
6	61121 11224	 * 	249.59	紫2易伤2攻速2伤害2基础对冰1全技能1基地爆炸	18基础对冰2基地爆炸38伤害49易伤5核6低血量敌人78攻速8序列升级a全技能
7	61161 21224	   	249.59	紫2易伤2攻速2伤害2基础对冰1全技能1基地爆炸	18基础对冰2基地爆炸38伤害4低血量敌人5核69易伤78攻速8序列升级a全技能
8	41121 32213	   	249.11	紫3全技能1基础对甲1易伤2基地爆炸1伤害	1激光对冰2a基地爆炸3伤害4易伤5核678全技能9基础对甲
9	63343 11231	 * 	248.52	紫3攻速1易伤2基地爆炸2基础对冰1伤害	18基础对冰2伤害3核48基地爆炸5易伤6低血量敌人78a攻速8序列升级9技能
10	63343 11234	   	248.51	紫2攻速1易伤2基地爆炸2基础对冰1伤害1全技能	18基础对冰2伤害3核48基地爆炸5易伤6低血量敌人78攻速8序列升级9技能a全技能
11	63343 32113	 * 	247.79	紫1基础对甲2全技能1易伤1伤害1基础对冰1基地爆炸	1基础对冰2伤害3核4基地爆炸5易伤67全技能8防空对直升9挖青a基础对甲
12	63343 32613	   	247.79	紫1基础对甲2全技能1易伤1伤害1基础对冰1基地爆炸	1基础对冰2伤害3核4基地爆炸5易伤67全技能8狙击对毒9挖青a基础对甲
13	63343 11223	 * 	247.45	紫2易伤3基地爆炸2攻速2基础对冰1伤害	18基础对冰2伤害3核48a基地爆炸59易伤6低血量敌人78攻速8序列升级
14	61121 32433	   	245.83	紫2易伤2伤害2全技能1攻速1基础对冰1基地爆炸	1基础对冰2基地爆炸38伤害49易伤5核67全技能a攻速
15	61121 11223	 * 	245.78	紫2易伤2攻速2伤害2基地爆炸2基础对冰	18基础对冰2a基地爆炸38伤害49易伤5核6低血量敌人78攻速8序列升级
16	61161 21223	   	245.78	紫2易伤2攻速2伤害2基地爆炸2基础对冰	18基础对冰2a基地爆炸38伤害4低血量敌人5核69易伤78攻速8序列升级
17	65141 21223	   	245.78	紫2易伤2攻速2伤害2基地爆炸2基础对冰	18基础对冰2低血量敌人38伤害4a基地爆炸5核69易伤78攻速8序列升级
18	63343 11233	   	244.49	紫2易伤2攻速2基地爆炸2基础对冰1伤害	18基础对冰2伤害3核48基地爆炸5a易伤6低血量敌人78攻速8序列升级9技能
19	43324 32213	   	244.27	紫3全技能1基础对甲1易伤1伤害1基地爆炸	1激光对冰2伤害3核4易伤5敌人爆炸678全技能9基础对甲a基地爆炸
20	43343 32212	   	244.27	紫3全技能1基础对甲1易伤1伤害1基地爆炸	1激光对冰2伤害3核4基地爆炸5易伤678全技能9基础对甲a矿等
21	43343 32214	   	244.27	紫3全技能1基础对甲1易伤1伤害1基地爆炸	1激光对冰2伤害3核4基地爆炸5易伤678全技能9基础对甲a时间
22	43343 32211	   	244.17	紫3全技能1基础对甲1易伤1伤害1基地爆炸	1激光对冰2伤害3核4基地爆炸5易伤678全技能9基础对甲a挖尘
23	43343 32215	   	244.17	紫3全技能1基础对甲1易伤1伤害1基地爆炸	1激光对冰2伤害3核4基地爆炸5易伤678全技能9基础对甲a等级
24	61121 32443	 * 	244.04	紫2伤害2全技能1易伤2基地爆炸1攻速1基础对冰	1基础对冰29基地爆炸38伤害4易伤5核67全技能a攻速
25	63335 53233	 * 	243.07	紫1基础对甲2易伤1伤害1基础对冰1全技能1基地爆炸	1基础对冰2伤害3核4导弹对绿5全技能6基地爆炸79易伤8低血量敌人a基础对甲
26	61121 11231	 * 	242.27	紫3攻速2伤害1易伤2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害4易伤5核6低血量敌人78a攻速8序列升级9技能
27	61161 21231	   	242.27	紫3攻速2伤害2基础对冰1易伤1基地爆炸	18基础对冰2基地爆炸38伤害4低血量敌人5核6易伤78a攻速8序列升级9技能
28	65141 21231	   	242.27	紫3攻速2伤害2基础对冰1易伤1基地爆炸	18基础对冰2低血量敌人38伤害4基地爆炸5核6易伤78a攻速8序列升级9技能
29	61121 11234	   	242.26	紫2攻速2伤害1易伤2基础对冰1全技能1基地爆炸	18基础对冰2基地爆炸38伤害4易伤5核6低血量敌人78攻速8序列升级9技能a全技能
30	61161 21234	   	242.26	紫2攻速2伤害2基础对冰1易伤1全技能1基地爆炸	18基础对冰2基地爆炸38伤害4低血量敌人5核6易伤78攻速8序列升级9技能a全技能
31	63313 51233	 * 	242.18	紫2易伤2攻速2全技能1伤害1基础对冰	1基础对冰2伤害3核4金币生成58全技能69易伤7a攻速
32	63324 32433	   	242.18	紫2易伤2伤害2全技能1攻速1基础对冰	1基础对冰28伤害3核49易伤5敌人爆炸67全技能a攻速
33	63363 32433	   	242.08	紫2易伤2伤害2全技能1攻速1基础对冰	1基础对冰28伤害3核4挖尘59易伤67全技能a攻速
34	63343 11211	   	240.21	紫3攻速1易伤2基地爆炸2基础对冰1伤害	18基础对冰2伤害3核48基地爆炸5易伤6低血量敌人78a攻速8序列升级9矿等
35	63343 11241	   	240.21	紫2攻速1易伤2基地爆炸2基础对冰1伤害1全技能	18基础对冰2伤害3核48基地爆炸5易伤6低血量敌人78攻速8序列升级9时间a全技能
36	61121 11233	   	239.24	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害4a易伤5核6低血量敌人78攻速8序列升级9技能
37	61161 21233	   	239.24	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害4低血量敌人5核6a易伤78攻速8序列升级9技能
38	65141 21233	   	239.24	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2低血量敌人38伤害4基地爆炸5核6a易伤78攻速8序列升级9技能
39	63342 21235	   	238.10	紫2攻速2全技能1易伤1伤害1基础对冰1基地爆炸	1基础对冰2伤害3核4基地爆炸5掉矿68全技能7a攻速9易伤
40	63342 15231	   	237.83	紫2攻速2伤害2基地爆炸2基础对冰1全技能	19基础对冰28伤害3核49基地爆炸5掉矿6导弹对毒79攻速9序列升级a全技能
41	61121 32113	   	237.79	紫1基础对甲2全技能1易伤1伤害1基础对冰1基地爆炸	1基础对冰2基地爆炸3伤害4易伤5核67全技能8防空对直升9挖青a基础对甲
42	61121 32613	   	237.79	紫1基础对甲2全技能1易伤1伤害1基础对冰1基地爆炸	1基础对冰2基地爆炸3伤害4易伤5核67全技能8狙击对毒9挖青a基础对甲
43	63343 35233	   	237.45	紫2易伤2全技能1攻速1伤害1基础对冰1基地爆炸	1基础对冰2伤害3核4基地爆炸59易伤68全技能7立即金币a攻速
44	63324 11222	 * 	237.36	紫3易伤2攻速2基础对冰1伤害1全技能	18基础对冰2伤害3核489易伤5敌人爆炸6低血量敌人78攻速8序列升级a全技能
45	63321 21234	   	237.06	紫2易伤2攻速2基础对冰1伤害1全技能	18基础对冰2伤害3核48易伤5双倍秒伤6立即金币78攻速8序列升级9技能a全技能
46	63313 51235	   	236.24	紫2易伤2全技能1攻速1伤害1基础对冰1基地爆炸	1基础对冰2伤害3核4金币生成58全技能69易伤7攻速a基地爆炸
47	63343 11213	   	236.19	紫2易伤2攻速2基地爆炸2基础对冰1伤害	18基础对冰2伤害3核48基地爆炸5a易伤6低血量敌人78攻速8序列升级9矿等
48	63343 11221	   	236.19	紫2易伤2攻速2基地爆炸2基础对冰1伤害	18基础对冰2伤害3核48基地爆炸59易伤6低血量敌人78攻速8序列升级a敌人爆炸
49	63343 11222	   	236.19	紫2易伤2攻速2基础对冰2基地爆炸1伤害	18基础对冰2伤害3核48基地爆炸59易伤6低血量敌人78攻速8序列升级a金币生成
50	63343 11225	   	236.09	紫2易伤2攻速2基地爆炸2基础对冰1伤害	18基础对冰2伤害3核48基地爆炸59易伤6低血量敌人78攻速8序列升级a掉矿
51	63321 21231	 * 	236.06	紫3攻速2易伤2基础对冰1伤害	18基础对冰2伤害3核48易伤5双倍秒伤6立即金币78a攻速8序列升级9技能
52	62121 11224	   	235.84	紫2易伤2攻速2伤害2基础对冰1全技能	18基础对冰2挖青38伤害49易伤5核6低血量敌人78攻速8序列升级a全技能
53	43343 32433	   	235.67	紫2易伤2伤害2全技能1攻速1基地爆炸	1激光对冰28伤害3核4基地爆炸59易伤67全技能a攻速
54	63343 11263	   	234.82	紫3基地爆炸2攻速1易伤2基础对冰1伤害	18基础对冰2伤害3核48a基地爆炸5易伤69低血量敌人78攻速8序列升级
55	63324 11234	   	234.66	紫2易伤2攻速2基础对冰1伤害1全技能	18基础对冰2伤害3核48易伤5敌人爆炸6低血量敌人78攻速8序列升级9技能a全技能
56	63342 21241	   	234.35	紫2全技能2基地爆炸1攻速1伤害1基础对冰1易伤	1基础对冰2伤害3核49基地爆炸5掉矿68全技能7攻速a易伤
57	41121 32212	   	234.27	紫3全技能1基础对甲1易伤1伤害1基地爆炸	1激光对冰2基地爆炸3伤害4易伤5核678全技能9基础对甲a矿等
58	41121 32214	   	234.27	紫3全技能1基础对甲1易伤1伤害1基地爆炸	1激光对冰2基地爆炸3伤害4易伤5核678全技能9基础对甲a时间
59	43521 32213	   	234.27	紫3全技能1基础对甲1易伤1伤害1基地爆炸	1激光对冰2伤害3时间4易伤5核678全技能9基础对甲a基地爆炸
60	41121 32211	   	234.17	紫3全技能1基础对甲1易伤1伤害1基地爆炸	1激光对冰2基地爆炸3伤害4易伤5核678全技能9基础对甲a挖尘
61	41121 32215	   	234.17	紫3全技能1基础对甲1易伤1伤害1基地爆炸	1激光对冰2基地爆炸3伤害4易伤5核678全技能9基础对甲a等级
62	63324 32113	   	234.14	紫1基础对甲2全技能1易伤1伤害1基础对冰	1基础对冰2伤害3核4易伤5敌人爆炸67全技能8防空对直升9挖青a基础对甲
63	63324 32613	   	234.14	紫1基础对甲2全技能1易伤1伤害1基础对冰	1基础对冰2伤害3核4易伤5敌人爆炸67全技能8狙击对毒9挖青a基础对甲
64	63363 32113	   	234.04	紫1基础对甲2全技能1易伤1伤害1基础对冰	1基础对冰2伤害3核4挖尘5易伤67全技能8防空对直升9挖青a基础对甲
65	63363 32613	   	234.04	紫1基础对甲2全技能1易伤1伤害1基础对冰	1基础对冰2伤害3核4挖尘5易伤67全技能8狙击对毒9挖青a基础对甲
66	61121 11211	   	233.96	紫3攻速2伤害1易伤2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害4易伤5核6低血量敌人78a攻速8序列升级9矿等
67	61161 21211	   	233.96	紫3攻速2伤害2基础对冰1易伤1基地爆炸	18基础对冰2基地爆炸38伤害4低血量敌人5核6易伤78a攻速8序列升级9矿等
68	65141 21211	   	233.96	紫3攻速2伤害2基础对冰1易伤1基地爆炸	18基础对冰2低血量敌人38伤害4基地爆炸5核6易伤78a攻速8序列升级9矿等
69	61121 11241	   	233.96	紫2攻速2伤害1易伤2基础对冰1全技能1基地爆炸	18基础对冰2基地爆炸38伤害4易伤5核6低血量敌人78攻速8序列升级9时间a全技能
70	61121 11264	   	233.96	紫2攻速2伤害1易伤2基础对冰1全技能1基地爆炸	18基础对冰2基地爆炸38伤害4易伤5核69低血量敌人78攻速8序列升级a全技能
71	61161 21241	   	233.96	紫2攻速2伤害2基础对冰1易伤1全技能1基地爆炸	18基础对冰2基地爆炸38伤害4低血量敌人5核6易伤78攻速8序列升级9时间a全技能
72	63343 32432	   	233.77	紫2易伤2伤害2全技能1基础对冰1基地爆炸	1基础对冰28伤害3核4基地爆炸59易伤67全技能a雷电
73	63343 32431	   	233.67	紫2易伤2伤害2全技能1基础对冰1基地爆炸	1基础对冰28伤害3核4基地爆炸59易伤67全技能a火球减费
74	63324 11231	   	233.66	紫3攻速2易伤2基础对冰1伤害	18基础对冰2伤害3核48易伤5敌人爆炸6低血量敌人78a攻速8序列升级9技能
75	63321 21223	   	232.76	紫3易伤2攻速2基础对冰1伤害1基地爆炸	18基础对冰2伤害3核489易伤5双倍秒伤6立即金币78攻速8序列升级a基地爆炸
76	63335 11422	 * 	232.73	紫1基础对甲1攻速1伤害1基础对冰1全技能1基地爆炸	1基础对冰2伤害3核4导弹对绿5全技能6敌人爆炸7攻速8基地爆炸9金币生成a基础对甲
77	63335 21422	   	232.73	紫1基础对甲1攻速1伤害1基础对冰1全技能1基地爆炸	1基础对冰2伤害3核4导弹对绿5全技能6低血量敌人7攻速8基地爆炸9金币生成a基础对甲
78	63335 51122	   	232.73	紫1基础对甲1攻速1伤害1基础对冰1全技能1基地爆炸	1基础对冰2伤害3核4导弹对绿5全技能6基地爆炸7攻速8最后敌人9金币生成a基础对甲
79	63335 51212	   	232.53	紫1基础对甲1攻速1伤害1基础对冰1全技能1基地爆炸	1基础对冰2伤害3核4导弹对绿5全技能6基地爆炸7攻速8掉矿9挖青a基础对甲
80	63341 32214	 * 	232.46	紫1基础对甲2伤害1基础对冰1基地爆炸1暴击	1基础对冰2a伤害3核4基地爆炸5双倍秒伤6掉矿7暴击8技能9基础对甲
81	61121 11263	   	232.14	紫2攻速2伤害1易伤2基地爆炸2基础对冰	18基础对冰2a基地爆炸38伤害4易伤5核69低血量敌人78攻速8序列升级
82	61161 21263	   	232.14	紫2攻速2伤害2基地爆炸2基础对冰1易伤	18基础对冰2a基地爆炸38伤害49低血量敌人5核6易伤78攻速8序列升级
83	63343 11235	   	231.86	紫2攻速1易伤2基地爆炸2基础对冰1伤害	18基础对冰2伤害3核48基地爆炸5易伤6低血量敌人78攻速8序列升级9技能a矿等
84	63343 11236	   	231.86	紫2攻速1易伤2基地爆炸2基础对冰1伤害	18基础对冰2伤害3核48基地爆炸5易伤6低血量敌人78攻速8序列升级9技能a平台
85	63343 43231	   	231.86	紫2攻速1易伤2基地爆炸2基础对冰1伤害	18基础对冰2伤害3核48基地爆炸5易伤6a攻速78最后敌人8序列升级9技能
86	63343 11232	   	231.76	紫2攻速1易伤2基地爆炸2基础对冰1伤害	18基础对冰2伤害3核48基地爆炸5易伤6低血量敌人78攻速8序列升级9技能a掉矿
87	63343 42231	   	231.66	紫2攻速1易伤2基地爆炸2基础对冰1伤害	18基础对冰2伤害3核48基地爆炸5易伤6a攻速78挖尘8序列升级9技能
88	63341 32212	   	231.64	紫1基础对甲1伤害1基础对冰1易伤1基地爆炸1暴击	1基础对冰2伤害3核4基地爆炸5双倍秒伤6掉矿7暴击8技能9基础对甲a易伤
89	63341 52212	   	231.64	紫1基础对甲1伤害1基础对冰1易伤1基地爆炸1暴击	1基础对冰2伤害3核4基地爆炸5双倍秒伤6暴击7技能点8技能9基础对甲a易伤
90	63341 53212	   	231.64	紫1基础对甲1伤害1基础对冰1易伤1基地爆炸1暴击	1基础对冰2伤害3核4基地爆炸5双倍秒伤6暴击7等级8技能9基础对甲a易伤
91	63343 35113	   	231.54	紫1基础对甲1易伤1伤害1基础对冰1全技能1基地爆炸	1基础对冰2伤害3核4基地爆炸5易伤6全技能7立即金币8防空对直升9挖青a基础对甲
92	63342 21112	   	231.53	紫1基础对甲1攻速1伤害1基础对冰1全技能1基地爆炸	1基础对冰2伤害3核4基地爆炸5掉矿6全技能7攻速8散射对甲9挖青a基础对甲
93	63345 21112	   	231.53	紫1基础对甲1攻速1伤害1基础对冰1全技能1基地爆炸	1基础对冰2伤害3核4基地爆炸5技能点6全技能7攻速8散射对甲9挖青a基础对甲
94	63342 11532	 * 	231.23	紫2攻速2伤害3基础对冰2基地爆炸	179基础对冰27伤害3核49基地爆炸5掉矿67导弹对毒79序列升级89攻速a敌人爆炸
95	63342 11533	   	231.23	紫2攻速2伤害3基础对冰2基地爆炸	179基础对冰27伤害3核49基地爆炸5掉矿67导弹对毒79序列升级89攻速a金币生成
96	63342 11531	   	231.13	紫2攻速2伤害3基础对冰2基地爆炸	179基础对冰27伤害3核49基地爆炸5掉矿67导弹对毒79序列升级89攻速a磁铁减费
97	63313 62233	   	231.03	紫2易伤2伤害1攻速1基础对冰1全技能	1基础对冰26伤害3核4金币生成5全技能79易伤8技能a攻速
98	61121 11213	   	230.94	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害4a易伤5核6低血量敌人78攻速8序列升级9矿等
99	61121 11221	   	230.94	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害49易伤5核6低血量敌人78攻速8序列升级a敌人爆炸
100	61121 11222	   	230.94	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害49易伤5核6低血量敌人78攻速8序列升级a金币生成
101	61161 21213	   	230.94	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害4低血量敌人5核6a易伤78攻速8序列升级9矿等
102	61161 21221	   	230.94	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害4低血量敌人5核69易伤78攻速8序列升级a敌人爆炸
103	61161 21222	   	230.94	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害4低血量敌人5核69易伤78攻速8序列升级a金币生成
104	65141 21213	   	230.94	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2低血量敌人38伤害4基地爆炸5核6a易伤78攻速8序列升级9矿等
105	65141 21221	   	230.94	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2低血量敌人38伤害4基地爆炸5核69易伤78攻速8序列升级a敌人爆炸
106	65141 21222	   	230.94	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2低血量敌人38伤害4基地爆炸5核69易伤78攻速8序列升级a金币生成
107	61121 11225	   	230.84	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害49易伤5核6低血量敌人78攻速8序列升级a掉矿
108	61161 21225	   	230.84	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2基地爆炸38伤害4低血量敌人5核69易伤78攻速8序列升级a掉矿
109	62121 11223	   	230.84	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2挖青38伤害49易伤5核6低血量敌人78攻速8序列升级a基地爆炸
110	65161 21223	   	230.84	紫2易伤2攻速2伤害2基础对冰1基地爆炸	18基础对冰2低血量敌人38伤害4挖尘5核69易伤78攻速8序列升级a基地爆炸
111	63343 32213	   	230.73	紫3全技能1易伤2基地爆炸1伤害1基础对冰	1基础对冰2伤害3核4a基地爆炸5易伤678全技能9狙击对黄
112	63343 32235	   	230.73	紫3全技能1易伤2基地爆炸1伤害1基础对冰	1基础对冰2伤害3核4a基地爆炸5易伤678全技能9技能点
113	43324 32212	   	230.62	紫3全技能1基础对甲1易伤1伤害	1激光对冰2伤害3核4易伤5敌人爆炸678全技能9基础对甲a矿等
114	43324 32214	   	230.62	紫3全技能1基础对甲1易伤1伤害	1激光对冰2伤害3核4易伤5敌人爆炸678全技能9基础对甲a时间
115	43324 32211	   	230.52	紫3全技能1基础对甲1易伤1伤害	1激光对冰2伤害3核4易伤5敌人爆炸678全技能9基础对甲a挖尘
116	43324 32215	   	230.52	紫3全技能1基础对甲1易伤1伤害	1激光对冰2伤害3核4易伤5敌人爆炸678全技能9基础对甲a等级
