0	Index      	 *	Score 	Summary	Detail	
1	25162 34211	 * 	220.85	紫2基础对甲2基地爆炸1攻速1伤害	1平台2攻速3立即金币4核5策反67基地爆炸89基础对甲a伤害
2	25335 13211	   	212.54	紫2基础对甲2基地爆炸1攻速1伤害	1平台2攻速36基地爆炸4策反5核7双倍矿89基础对甲a伤害
3	25162 33211	   	206.02	紫2基础对甲1攻速1伤害1基地爆炸	1平台2攻速3立即金币4核5策反6基地爆炸7双倍矿89基础对甲a伤害
4	34231 21121	 * 	204.93	紫2基础对甲2攻速1基地爆炸	1a等级2导弹对毒3核47磁铁减费5a攻速6时间8基地爆炸9a基础对甲a序列升级
5	34231 51121	   	204.93	紫2基础对甲2攻速1基地爆炸	1a等级2导弹对毒3核47磁铁减费5a攻速6敌人爆炸8基地爆炸9a基础对甲a序列升级
6	25164 33321	 * 	204.88	紫1基础对甲1攻速1伤害1易伤1基地爆炸	1平台2攻速3立即金币4核5导弹对绿6基地爆炸7技能8伤害9易伤a基础对甲
7	25165 11311	 * 	202.41	紫1基础对甲2攻速1易伤1基地爆炸	1平台26攻速3立即金币4核5易伤7喷火对黄8基地爆炸9挖尘a基础对甲
8	25166 11321	   	202.41	紫1基础对甲2攻速1易伤1基地爆炸	1平台26攻速3立即金币4核5挖尘7多重对甲8基地爆炸9易伤a基础对甲
9	34216 12423	   	201.36	紫1基础对甲1易伤1攻速1全技能1基地爆炸	1等级2导弹对毒3核4全技能5喷火对甲6基地爆炸7易伤8基础对甲9低血量敌人a攻速
10	34216 12433	   	201.36	紫1基础对甲1易伤1攻速1基地爆炸1全技能	1等级2导弹对毒3核4全技能5喷火对甲6基地爆炸7易伤8基础对甲9最后敌人a攻速
11	25162 34212	   	200.79	紫2基础对甲2基地爆炸1攻速	1平台2攻速3立即金币4核5策反67基地爆炸89基础对甲a最后敌人
12	25162 34213	   	200.69	紫2基础对甲2基地爆炸1攻速	1平台2攻速3立即金币4核5策反67基地爆炸89基础对甲a挖青
13	34262 12315	 * 	199.66	紫2伤害1攻速1基础对冰1易伤1全技能	1等级2导弹对毒3核4时间56伤害7攻速8全技能9基础对冰a易伤
14	25164 32321	 * 	198.34	紫1基础对甲2基地爆炸1攻速1易伤	1平台2攻速3立即金币4核5导弹对绿68基地爆炸7挖尘9易伤a基础对甲
15	13622 12216	 * 	198.27	橙2基础对甲3攻速1基地爆炸1暴击	1随机矿2立即金币357攻速4暴击6基地爆炸89基础对甲a核
16	25343 63211	   	197.60	紫2基础对甲1攻速1伤害1基地爆炸	14平台2攻速3基地爆炸5核6技能7双倍矿89基础对甲a伤害
17	25133 11321	   	197.51	紫1基础对甲2攻速1易伤1基地爆炸	1平台26攻速3立即金币4低血量敌人5核7多重对甲8基地爆炸9易伤a基础对甲
18	25162 34223	 * 	197.47	紫1基础对甲3基地爆炸1攻速	1平台2攻速3立即金币4核5策反67a基地爆炸8基础对甲9金币生成
