0	Index      	 *	Score 	Summary	Detail	
1	13111 62525	 * 	238.53	DCR|2VULN|1MDPS|2DMG|2ASPD|1AART	19VULN|24DMG|39LIT|5AART|6RCR|7RPLT|89ASPD|9BPWR|aMDPS
2	13521 61136	 * 	238.16	DCR|4VULN|3DMG|1AART	179aVULN|28aDMG|3RCVC|4aLIT|5AART|6RCR|aBPWR
3	13436 22311	 * 	237.22	DCR|3DMG|2VULN|2AART|1ASPD	1aVULN|28aDMG|3AME|4ASPD|59AART|6RCR|7aCGEN|aBPWR
4	13436 24311	   	237.02	DCR|3DMG|2VULN|2AART|1ASPD	1aVULN|28aDMG|3AME|4ASPD|59AART|6RCR|7aERES|aBPWR
5	13111 61124	 * 	235.96	DCR|3DMG|2VULN|1MDPS|1AART|1CDMG	17VULN|248DMG|3LIT|5AART|6RCR|9CDMG|aMDPS
6	13111 61125	 * 	233.21	DCR|3DMG|2VULN|2AART|1CDMG	17VULN|248DMG|3LIT|5aAART|6RCR|9CDMG
7	13111 61132	   	229.25	DCR|3DMG|2VULN|1AART|1ASPD|1DUR	17VULN|248DMG|3LIT|5AART|6RCR|9DUR|aASPD
8	13111 61131	   	227.02	DCR|3VULN|3DMG|1AART|1DUR	17aVULN|248DMG|3LIT|5AART|6RCR|9DUR
9	13111 61121	   	225.44	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	17VULN|248DMG|3LIT|5AART|6RCR|9CDMG|aDUR
10	13121 15134	 * 	225.11	DCR|3ASPD|2VULN|2DMG|1CDMG	18VULN|28DMG|3LIT|4MLV|58aASPD|6RCR|7RMIN|8BPWR|9CDMG
11	13161 15134	   	225.11	DCR|3ASPD|2VULN|2DMG|1CDMG	18VULN|28DMG|3LIT|4AME|58aASPD|6RCR|7RMIN|8BPWR|9CDMG
12	13521 61126	   	223.79	DCR|3VULN|3DMG|1AART	17aVULN|28aDMG|39RCVC|4aLIT|5AART|6RCR|aBPWR
13	11414 21235	 * 	222.36	DCR|3VULN|1SPLARM|1AART|1CDMG|2DUR	134VULN|2LWND|5aDUR|6AART|7RCR|8SPLARM|9CDMG
14	12414 21235	   	222.26	DCR|3VULN|1SPLARM|1AART|1CDMG|2DUR	134VULN|2LEGI|5aDUR|6AART|7RCR|8SPLARM|9CDMG
15	11414 21325	 * 	221.88	DCR|5VULN|1AART|1DMG|1DUR	1349aVULN|2LWND|5DUR|6AART|7RCR|8DMG
16	12414 21325	   	221.78	DCR|5VULN|1AART|1DMG|1DUR	1349aVULN|2LEGI|5DUR|6AART|7RCR|8DMG
17	13636 21252	 * 	221.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1aVULN|2aDMG|37RMIN|4ASPD|5AART|6RCR|8CDMG|9aERES|aBPWR
18	13131 12525	 * 	221.13	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|2DUR	1VULN|29DMG|3LIT|4LHND|59DUR|6AART|7CDMG|89ASPD|9BPWR|aRCR
19	13151 12525	   	221.13	DCR|2DMG|2ASPD|1AART|1VULN|1CDMG|2DUR	1VULN|29DMG|3LIT|4LWND|59DUR|6AART|7CDMG|89ASPD|9BPWR|aRCR
20	13221 12525	   	221.03	DCR|2DMG|2ASPD|1AART|1VULN|1CDMG|2DUR	1VULN|29DMG|3DUST|4LIT|59DUR|6AART|7CDMG|89ASPD|9BPWR|aRCR
21	13614 11235	 * 	220.93	DCR|3VULN|1SPLARM|1AART|1DMG|1DUR	149VULN|2DMG|3RMIN|5AART|6BEXP|7RCR|8SPLARM|aDUR
22	13111 61142	   	220.84	DCR|3DMG|2VULN|1AART|1ASPD	17VULN|248DMG|3LIT|5AART|6RCR|9ERES|aASPD
23	13111 61162	   	220.84	DCR|3DMG|2VULN|1AART|1ASPD	17VULN|248DMG|3LIT|5AART|6RCR|9DUST|aASPD
24	13111 62521	   	219.71	DCR|2VULN|2DMG|2ASPD|1AART	19VULN|24DMG|39LIT|5AART|6RCR|7RPLT|89ASPD|9BPWR|aBEXP
25	13111 62522	   	219.71	DCR|2VULN|2DMG|2ASPD|1AART	19VULN|24DMG|39LIT|5AART|6RCR|7RPLT|89ASPD|9BPWR|aLHND
