0	Index      	 *	Score 	Summary	Detail	
1	63235 31313	 * 	223.69	DCR|4VULN|2CDMG|1ASPD|1DMG|1DUR	1DUR|2456VULN|36CDMG|6BPWR|7LIT|8DMG|9RCR|aASPD
2	63235 21313	   	216.16	DCR|4VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|2456VULN|3CDMG|7LIT|8DMG|9RCR|aASPD
3	63235 61313	   	216.16	DCR|4VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|2457VULN|3CDMG|6LIT|8DMG|9RCR|aASPD
4	63268 44143	 * 	213.59	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1DUR|26VULN|3aCDMG|4MBVNT|5AART|7DMG|8ASPD|9RCR
5	13326 16315	 * 	210.75	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1FEWX|28VULN|3ASPD|4AART|5MBVNT|6LWND|7SPLARM|9RCR|aDMG
6	22132 54163	 * 	209.88	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2TLV|3AME|4DMG|59AART|6RCR|7VULN|8ASPD|aZMB
7	31132 54163	   	209.88	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1TLV|2CDMG|3AME|4DMG|59AART|6RCR|7VULN|8ASPD|aZMB
8	63235 31511	   	208.87	DCR|4VULN|2CDMG|1DMG|2DUR	18DUR|2456VULN|36CDMG|6BPWR|7LIT|9RCR|aDMG
9	22132 53231	 * 	208.49	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD	18CDMG|2TLV|3AME|47DMG|5AART|6RCR|9VULN|aASPD
10	31132 53231	   	208.49	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD	1TLV|28CDMG|3AME|47DMG|5AART|6RCR|9VULN|aASPD
11	63268 44422	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|26VULN|3CDMG|4MBVNT|5AART|7DMG|8RCR|9LHND|aASPD
12	63268 44432	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|26VULN|3CDMG|4MBVNT|5AART|7DMG|8RCR|9LWND|aASPD
13	63268 44442	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|26VULN|3CDMG|4MBVNT|5AART|7DMG|8RCR|9FEWX|aASPD
14	25241 22613	 * 	208.12	DCR|2VULN|3CDMG|1AART|1DMG|2ZMB	137CDMG|27ZMB|4DMG|5FEWX|67VULN|7BPWR|8RCR|9AELBLL|aAART
15	63268 44412	   	208.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|26VULN|3CDMG|4MBVNT|5AART|7DMG|8RCR|9LEGI|aASPD
16	66322 33262	 * 	206.82	ACR|2DMG|2ASPD|1VULN|1AART|2CDMG|1DUR	1DUR|2RCR|35ASPD|4AART|68CDMG|79DMG|aVULN
17	13356 32521	 * 	206.33	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	17FEWX|27VULN|36ASPD|4DMG|57CDMG|7BPWR|8RCR|9CGEN|aDUR
18	63268 44141	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|26VULN|3CDMG|4MBVNT|5AART|7DMG|8ASPD|9RCR|aAME
19	63268 44142	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|26VULN|3CDMG|4MBVNT|5AART|7DMG|8ASPD|9RCR|aLIT
20	63268 44144	   	206.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1MSE	1DUR|26VULN|3CDMG|4MBVNT|5AART|7DMG|8ASPD|9RCR|aMSE
21	61535 31313	   	205.66	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	16DUR|2AELBLL|3CDMG|456VULN|6BPWR|7LIT|8DMG|9RCR|aASPD
22	63235 41313	   	205.56	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	16DUR|245VULN|3CDMG|7LIT|8DMG|9RCR|aASPD
23	63234 43113	 * 	204.54	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DUR|24VULN|3CDMG|5DMG|6ASPD|7LIT|8RCR|9LHND|aNUKE
24	63234 43133	   	204.54	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DUR|24VULN|3CDMG|5DMG|6ASPD|79LIT|8RCR|aNUKE
25	14323 14512	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1FEWX|2DUR|3ASPD|4AART|58VULN|6LWND|7RCR|9DMG|aZMB
26	14323 24512	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1FEWX|2DUR|3ASPD|4AART|58VULN|6LHND|7RCR|9DMG|aZMB
27	22132 54135	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2TLV|3AME|4DMG|5AART|6RCR|7aVULN|8ASPD|9FEWX
28	31132 54135	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|2CDMG|3AME|4DMG|5AART|6RCR|7aVULN|8ASPD|9FEWX
29	63235 31312	   	203.62	DCR|4VULN|2CDMG|1DMG|1DUR	1DUR|2456VULN|36CDMG|6BPWR|7LIT|8DMG|9RCR|aBEXP
30	63235 31316	   	203.62	DCR|4VULN|2CDMG|1DMG|1DUR	1DUR|2456VULN|36CDMG|6BPWR|7LIT|8DMG|9RCR|aLHND
31	63235 31611	   	203.62	DCR|4VULN|2CDMG|1DMG|1DUR	1DUR|2456VULN|36CDMG|6BPWR|7LIT|8DMSP|9RCR|aDMG
32	63235 31311	   	203.52	DCR|4VULN|2CDMG|1DMG|1DUR|1MSE	1DUR|2456VULN|36CDMG|6BPWR|7LIT|8DMG|9RCR|aMSE
33	63235 31314	   	203.52	DCR|4VULN|2CDMG|1DMG|1DUR	1DUR|2456VULN|36CDMG|6BPWR|7LIT|8DMG|9RCR|aMBVNT
34	63235 31315	   	203.52	DCR|4VULN|2CDMG|1DMG|1DUR	1DUR|2456VULN|36CDMG|6BPWR|7LIT|8DMG|9RCR|aDUST
35	63235 31413	   	203.52	DCR|4VULN|2CDMG|1ASPD|1AAC|1DUR	1DUR|2456VULN|36CDMG|6BPWR|7LIT|8AAC|9RCR|aASPD
36	63342 24132	 * 	203.10	DCR|2VULN|1MDPS|1AART|1ASPD|1ZMB|1DUR	1DUR|29VULN|34LWND|5ASPD|6AART|7RCR|8ZMB|aMDPS
37	63234 43122	   	202.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|24aVULN|3CDMG|5DMG|6ASPD|7LIT|8RCR|9RMIN
38	63235 62113	   	202.22	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|245VULN|3CDMG|6LIT|7DMG|8RCVC|9RCR|aASPD
