0	Index      	 *	Score 	Summary	Detail	
1	31314 25335	 * 	221.16	DCR|1SPLARM|2VULN|1AART|1DMG|1ASPD|1DUR	1DUR|27VULN|3DMG|4LWND|5MULARM|6AART|8RCR|9SPLARM|aASPD
2	31351 25335	   	221.06	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|27VULN|3DMG|4BASARM|5LWND|6AART|8RCR|9SPLARM|aASPD
3	31353 25335	   	221.06	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|27VULN|3DMG|4BASARM|5LHND|6AART|8RCR|9SPLARM|aASPD
4	31314 21335	 * 	218.36	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2VULN|37DMG|4LWND|5MULARM|6AART|8RCR|9SPLARM|aASPD
5	31351 21335	   	218.26	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2VULN|37DMG|4BASARM|5LWND|6AART|8RCR|9SPLARM|aASPD
6	31353 21335	   	218.26	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2VULN|37DMG|4BASARM|5LHND|6AART|8RCR|9SPLARM|aASPD
7	31326 22641	 * 	214.73	DCR|1SPLARM|2DMG|1VULN|1ASPD|1CDMG|1AAC|1DUR	1DUR|2VULN|39DMG|4AAC|5AME|6RCR|7CDMG|8ASPD|aSPLARM
8	11314 25335	   	212.85	DCR|1SPLARM|2VULN|1AART|1DMG|1ASPD	1BEXP|27VULN|3DMG|4LWND|5MULARM|6AART|8RCR|9SPLARM|aASPD
9	11351 25335	   	212.75	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1BEXP|27VULN|3DMG|4BASARM|5LWND|6AART|8RCR|9SPLARM|aASPD
10	11353 25335	   	212.75	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1BEXP|27VULN|3DMG|4BASARM|5LHND|6AART|8RCR|9SPLARM|aASPD
11	33361 25335	   	211.43	DCR|1SPLARM|2VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ZMB|3SNIFST|47VULN|5LWND|6AART|8RCR|9SPLARM|aASPD
