0	Index      	 *	Score 	Summary	Detail	
1	23535 22353	 * 	296.52	橙橙1易伤1等级2攻速1伤害	17攻速2伤害3赏金邻近4立即金币5等级6易伤8加农对甲9a核
2	43113 51432	 * 	293.52	橙橙2伤害1易伤1矿等1暴击	1雷电2低血量敌人3矿等47伤害5最后敌人69核8暴击a易伤
3	41113 51432	   	293.42	橙橙2伤害1易伤1矿等1暴击	1雷电2挖尘3矿等47伤害5最后敌人69核8暴击a易伤
4	23442 26333	 * 	293.01	橙橙1易伤2攻速1矿等1伤害	17攻速2伤害3敌人爆炸4最后敌人5基础对愈6易伤8矿等9a核
5	23432 26333	   	292.91	橙橙1易伤2攻速1矿等1伤害	17攻速2伤害3敌人爆炸4挖尘5基础对愈6易伤8矿等9a核
6	21141 61211	 * 	290.36	橙橙1易伤1等级1矿等1攻速	1攻速2挖尘3雷电减费4敌人爆炸5易伤6等级79核8金币生成a矿等
7	23461 23321	 * 	289.80	橙橙2易伤1伤害1攻速1暴击	1攻速2伤害3敌人爆炸4技能点5赏金塔68易伤79核a暴击
8	23545 23321	   	289.70	橙橙2易伤1伤害1攻速1暴击	1攻速2伤害3赏金邻近4基地爆炸5技能点68易伤79核a暴击
9	43112 54221	   	288.17	橙橙2伤害1易伤1矿等	1雷电2低血量敌人3矿等4a伤害5敌人爆炸67核8时间9易伤
10	43142 53221	   	286.84	橙橙1易伤1矿等1伤害1攻速	1雷电2低血量敌人3矿等4攻速5敌人爆炸67核8时间9易伤a伤害
11	22615 21214	 * 	284.35	橙橙2等级1易伤1攻速	1攻速2双倍秒伤3易伤45等级6敌人爆炸79核8金币生成a时间
12	23515 22353	 * 	281.91	橙橙2伤害1易伤2攻速	17攻速25伤害3赏金邻近45掉矿5序列升级6易伤8加农对甲9a核
13	23632 35613	 * 	281.60	橙橙2等级2伤害1攻速	1攻速29伤害3最后敌人4挖尘59基础对愈6敌人爆炸7a核89等级9序列升级
14	12324 64133	 * 	278.43	橙橙1等级1矿等1伤害1攻速	1最后敌人2金币生成3矿等4攻速5激光对绿6等级7敌人爆炸8伤害9a核
15	23442 21333	   	278.43	橙橙1易伤1矿等1伤害1攻速	1攻速2伤害3敌人爆炸4最后敌人5基础对愈6易伤7立即金币8矿等9a核
16	21131 61514	   	276.63	橙橙1易伤1等级1攻速2时间	1攻速2挖尘3雷电减费4a时间5易伤6等级79核8随机矿
17	23461 23322	   	276.15	橙橙2易伤1伤害1攻速	1攻速2伤害3敌人爆炸4技能点5赏金塔68易伤79核a雷电
18	23461 23326	   	276.15	橙橙2易伤1伤害1攻速	1攻速2伤害3敌人爆炸4技能点5赏金塔68易伤79核a立即金币
19	21411 14121	 * 	276.13	紫橙2伤害1易伤1等级1攻速1暴击	1攻速2挖尘39核4等级5易伤67伤害8赏金邻近a暴击
20	25411 14121	   	276.13	紫橙2伤害1易伤1等级1攻速1暴击	1攻速2基地爆炸39核4等级5易伤67伤害8赏金邻近a暴击
21	23545 23322	   	276.05	橙橙2易伤1伤害1攻速	1攻速2伤害3赏金邻近4基地爆炸5技能点68易伤79核a雷电
