0	Index      	 *	Score 	Summary	Detail	
1	24423 15561	 * 	307.35	橙橙2易伤1等级1矿等	1加一28易伤3矿等4随机技能5雷电6等级7赏金塔9a核
2	24423 14661	 * 	306.96	橙橙2矿等1等级1易伤	1加一2易伤37矿等4随机技能5雷电6等级8赏金邻近9a核
3	24421 12216	 * 	303.07	橙2易伤2矿等2等级1伤害1技能2随机技能	1加一28易伤36矿等48随机技能58等级7技能8序列升级9伤害a核
4	25541 12216	   	303.07	橙2易伤2矿等2等级1伤害1技能2随机技能	1加一28随机技能36矿等48易伤58等级7技能8序列升级9伤害a核
5	24233 71883	 * 	302.44	橙橙2易伤2矿等	1加一27易伤35寒冰对甲45矿等5序列升级69核8挖尘a时间
6	24233 73386	   	300.12	橙橙2矿等1等级1易伤	1加一2易伤35寒冰对甲45矿等5序列升级69核7低血量敌人8金币生成a等级
7	24233 38386	   	300.02	橙橙2矿等1等级1易伤	1加一2易伤35寒冰对甲45矿等5序列升级6挖青79核8金币生成a等级
8	24233 71881	   	294.13	橙橙2易伤2矿等	1加一27易伤35寒冰对甲45矿等5序列升级69核8挖尘a低血量敌人
9	24233 71882	   	294.13	橙橙2易伤2矿等	1加一27易伤35寒冰对甲45矿等5序列升级69核8挖尘a立即金币
10	24233 71884	   	294.13	橙橙2易伤2矿等	1加一27易伤35寒冰对甲45矿等5序列升级69核8挖尘a最后敌人
11	24234 68382	   	292.88	橙橙2易伤1矿等1攻速	1加一26易伤3寒冰对甲4矿等5时间79核8随机矿a攻速
12	24263 74354	   	291.89	橙橙2易伤1等级1伤害	1加一24易伤3寒冰对甲5等级6a核7赏金塔8伤害9雷电
13	24415 14182	 * 	291.49	橙3易伤2矿等2等级1技能	1加一26a易伤36矿等4技能5赏金塔6a序列升级7a掉矿8核9a等级
14	24481 41861	   	289.66	橙3易伤2矿等2等级2时间	1加一279易伤37矿等49时间5基地爆炸67等级79序列升级89金币生成a核
15	24234 38386	   	289.07	橙橙1等级1易伤1矿等2时间	1加一2易伤3寒冰对甲4矿等56时间79核8随机矿a等级
16	24238 74354	   	288.38	橙橙2易伤1矿等1伤害	1加一25易伤3寒冰对甲4矿等6a核7赏金塔8伤害9雷电
17	24233 74354	   	288.09	橙橙2矿等1易伤1伤害	1加一2易伤35寒冰对甲45矿等5序列升级6a核7赏金塔8伤害9雷电
18	24263 73382	   	288.07	橙橙2易伤1等级1攻速	1加一24易伤3寒冰对甲5等级69核7低血量敌人8金币生成a攻速
19	24263 38382	   	287.97	橙橙2易伤1等级1攻速	1加一24易伤3寒冰对甲5等级6挖青79核8金币生成a攻速
20	24463 74354	   	287.89	橙橙2矿等1易伤1伤害	1加一2易伤35矿等45基础对冰5序列升级6a核7赏金塔8伤害9雷电
21	51613 36111	 * 	287.29	橙4易伤2等级2攻速1技能	1额外掉落278a易伤3平台48攻速58等级6技能8序列升级9核
