0	Index      	 *	Score 	Summary	Detail	
1	32433 23352	 * 	308.32	橙橙2矿等1易伤1等级	1挖尘2雷电3全技能4等级58矿等6易伤7a核9赏金塔
2	31316 26531	 * 	302.17	橙橙3易伤1等级	146挖尘2随机矿345易伤4序列升级79核8等级a时间
3	61315 42232	 * 	300.31	橙橙2易伤1等级1矿等	14基地爆炸2随机矿34易伤4序列升级5等级6暴雪减费79核8敌人爆炸a矿等
4	61315 42332	   	300.31	橙橙2易伤1等级1矿等	14基地爆炸2随机矿34易伤4序列升级5等级6暴雪减费79核8低血量敌人a矿等
5	31315 42134	   	300.21	橙橙2易伤1等级1矿等	148挖尘2随机矿34易伤4序列升级5等级6暴雪减费79核a矿等
6	31315 42352	   	300.21	橙橙2易伤1等级1矿等	14挖尘2随机矿34易伤4序列升级5等级68暴雪减费79核a矿等
7	33315 14432	 * 	298.82	橙3易伤2伤害1等级1矿等1技能	1挖尘24伤害347易伤4序列升级5等级6矿等8核9技能a核弹
8	31316 26532	   	293.86	橙橙3易伤1等级	146挖尘2随机矿345易伤4序列升级79核8等级a赏金邻近
9	31316 26533	   	293.86	橙橙3易伤1等级	146挖尘2随机矿345易伤4序列升级79核8等级a赏金塔
10	61315 42231	   	293.86	橙橙3易伤1等级	14基地爆炸2随机矿34a易伤4序列升级5等级6暴雪减费79核8敌人爆炸
11	61315 42331	   	293.86	橙橙3易伤1等级	14基地爆炸2随机矿34a易伤4序列升级5等级6暴雪减费79核8低血量敌人
12	31315 42135	   	293.76	橙橙3易伤1等级	148挖尘2随机矿34a易伤4序列升级5等级6暴雪减费79核
13	31315 42351	   	293.76	橙橙3易伤1等级	14挖尘2随机矿34a易伤4序列升级5等级68暴雪减费79核
14	33315 13436	 * 	292.73	橙2易伤2矿等2伤害1等级1技能	17挖尘24伤害34易伤4序列升级5等级6a矿等8核9技能
15	33331 21512	 * 	290.21	橙2易伤2矿等2等级2伤害	1挖尘2a伤害39易伤4寒冰对冰5a矿等6技能点7a等级8核a序列升级
16	63331 21512	   	290.21	橙2易伤2矿等2等级2伤害	1基地爆炸2a伤害39易伤4寒冰对冰5a矿等6技能点7a等级8核a序列升级
17	33315 14431	   	289.16	橙3易伤2伤害1等级1矿等1技能	1挖尘24伤害347易伤4序列升级5等级6矿等8核9技能a随机矿
18	33315 14433	   	289.16	橙3易伤2伤害1等级1矿等1技能	1挖尘24伤害347易伤4序列升级5等级6矿等8核9技能a敌人爆炸
19	33313 11153	   	289.16	橙3易伤2伤害1等级1矿等1技能	1挖尘24伤害348易伤4序列升级5技能6矿等7赏金邻近9等级a核
20	33313 14263	   	289.16	橙3易伤2伤害1等级1矿等1技能	1挖尘24伤害347易伤4序列升级5技能6矿等8等级9赏金塔a核
21	63313 11153	   	289.16	橙3易伤2伤害1等级1矿等1技能	1基地爆炸24伤害348易伤4序列升级5技能6矿等7赏金邻近9等级a核
22	63313 14263	   	289.16	橙3易伤2伤害1等级1矿等1技能	1基地爆炸24伤害347易伤4序列升级5技能6矿等8等级9赏金塔a核
23	33315 13434	   	289.06	橙3易伤2伤害1等级1矿等1技能	17挖尘24伤害34a易伤4序列升级5等级6矿等8核9技能
24	63331 14432	   	288.38	橙橙2易伤1矿等1伤害	1基地爆炸2伤害37易伤4寒冰对冰5矿等6a核8雷电9立即金币
25	33331 14422	   	288.28	橙橙2易伤1矿等1伤害	19挖尘2伤害37易伤4寒冰对冰5矿等6a核8雷电
26	43221 27461	 * 	283.17	橙橙2伤害1易伤1等级	1平台2易伤3加一4等级5双倍秒伤6金币生成79伤害8a核
27	63313 11653	 * 	282.12	橙2易伤2伤害2技能1等级1矿等	1基地爆炸24伤害34易伤4序列升级58技能6矿等7赏金邻近9等级a核
28	31315 42131	   	279.93	橙橙2易伤1等级	148挖尘2随机矿34易伤4序列升级5等级6暴雪减费79核a时间
