0	Index      	 *	Score 	Summary	Detail	
1	14522 12433	 * 	220.84	ACR|1BASARM|2VULN|2DMG|1CDMG	1LEGI|2CDMG|3RCR|4CGEN|5AEMAG|68VULN|79DMG|aBASARM
2	14516 33131	 * 	203.07	ACR|2VULN|2DMG|1ASPD|2CDMG	1LEGI|29CDMG|3RCR|46RPLT|5ASPD|79DMG|89VULN|9BPWR|aLHND
3	14516 33132	   	203.07	ACR|2VULN|2DMG|1ASPD|2CDMG	1LEGI|29CDMG|3RCR|46RPLT|5ASPD|79DMG|89VULN|9BPWR|aRMIN
4	14516 33133	   	202.97	ACR|2VULN|2DMG|1ASPD|2CDMG	1LEGI|29CDMG|3RCR|46RPLT|5ASPD|79DMG|89VULN|9BPWR|aDUST
5	23232 23532	 * 	199.76	DCR|1BASARM|2AART|2BEXP|1VULN|1DMG	1LWND|2ZMB|34BEXP|5BASARM|6VULN|79AART|8DMG|aRCR
6	12232 23532	   	199.66	DCR|1BASARM|2AART|2BEXP|1VULN|1DMG	1LEGI|2ZMB|34BEXP|5BASARM|6VULN|79AART|8DMG|aRCR
7	14522 12353	 * 	195.96	ACR|1VULN|1ASPD|1DMG|1BASICY|1BEXP|1CDMG	1LEGI|2CDMG|3RCR|4CGEN|5AEMAG|6VULN|7DMG|8BASICY|9ASPD|aBEXP
8	23232 23522	 * 	195.94	DCR|1BASARM|2VULN|2BEXP|1DMG|1AART	1LWND|2ZMB|34BEXP|5BASARM|69VULN|7AART|8DMG|aRCR
9	33232 23522	   	195.94	DCR|1BASARM|2VULN|2BEXP|1DMG|1AART	1FEWX|2ZMB|34BEXP|5BASARM|69VULN|7AART|8DMG|aRCR
10	12232 23522	   	195.84	DCR|1BASARM|2VULN|2BEXP|1DMG|1AART	1LEGI|2ZMB|34BEXP|5BASARM|69VULN|7AART|8DMG|aRCR
11	14542 12323	   	191.23	ACR|1BASARM|1VULN|1DMG|1CDMG	1LEGI|2CDMG|3RCR|4RMIN|5AEFBLL|6VULN|7DMG|8MLV|9RCVC|aBASARM
12	14542 12123	   	191.13	ACR|1BASARM|1VULN|1DMG|1CDMG	1LEGI|2CDMG|3RCR|4RMIN|5AEFBLL|6VULN|7DMG|8ERES|9RCVC|aBASARM
