0	Index      	 *	Score 	Summary	Detail	
1	31266 26113	 * 	244.99	DCR|2BASARM|2ASPD|2DMG|1VULN|2BEXP|1AAC	18DMG|2CGEN|38BEXP|46ASPD|5VULN|78BASARM|8BPWR|9AAC|aRCR
2	32332 56113	 * 	243.68	DCR|2BASARM|2VULN|2ASPD|2DMG|1BEXP|1AAC	18DMG|24VULN|38ASPD|5ERES|6BEXP|78BASARM|8BPWR|9AAC|aRCR
3	32336 56113	   	243.68	DCR|2BASARM|2VULN|2ASPD|2DMG|1BEXP|1AAC	18DMG|24VULN|38ASPD|5AME|6BEXP|78BASARM|8BPWR|9AAC|aRCR
4	32333 66113	   	230.13	DCR|2BASARM|2VULN|2ASPD|2DMG|1AAC	18DMG|24VULN|38ASPD|5DUR|6CGEN|78BASARM|8BPWR|9AAC|aRCR
5	32332 16113	   	230.03	DCR|2BASARM|2VULN|2ASPD|2DMG|1AAC	18DMG|24VULN|38ASPD|5ERES|6LWND|78BASARM|8BPWR|9AAC|aRCR
6	32336 16113	   	230.03	DCR|2BASARM|2VULN|2ASPD|2DMG|1AAC	18DMG|24VULN|38ASPD|5AME|6LWND|78BASARM|8BPWR|9AAC|aRCR
7	32361 66113	   	230.03	DCR|2BASARM|2VULN|2ASPD|2DMG|1AAC	18DMG|28VULN|34ASPD|5LEGI|6CGEN|78BASARM|8BPWR|9AAC|aRCR
8	32362 66113	   	229.93	DCR|2BASARM|2VULN|2ASPD|2DMG|1AAC	18DMG|28VULN|34ASPD|5ERES|68BASARM|7LEGI|8BPWR|9AAC|aRCR
9	31266 16113	   	226.40	DCR|2BASARM|2DMG|1VULN|2BEXP|1ASPD|1AAC	18DMG|26CGEN|38BEXP|4ASPD|5VULN|78BASARM|8BPWR|9AAC|aRCR
10	51236 16113	   	226.40	DCR|2BASARM|2ASPD|1VULN|2BEXP|1DMG|1AAC	18ASPD|26CGEN|38BEXP|4VULN|5DMG|78BASARM|8BPWR|9AAC|aRCR
11	32236 32516	 * 	224.56	DCR|4VULN|1BASARM|2ASPD|2DMG	17DMG|2478VULN|39LWND|5BASARM|67ASPD|7BPWR|aRCR
12	22333 56113	   	224.00	DCR|2BASARM|2VULN|2ASPD|1DMG|1BEXP|1AAC	18AME|24VULN|38ASPD|5DMG|6BEXP|78BASARM|8BPWR|9AAC|aRCR
13	32331 66113	 * 	219.45	DCR|3VULN|2BASARM|2DMG|1ASPD|1AAC	18DMG|248VULN|3ASPD|5LEGI|6CGEN|78BASARM|8BPWR|9AAC|aRCR
14	32332 66113	   	219.35	DCR|3VULN|2BASARM|2DMG|1ASPD|1AAC	18DMG|248VULN|3ASPD|5ERES|68BASARM|7LEGI|8BPWR|9AAC|aRCR
15	52332 56132	 * 	217.97	2BASARM|3ASPD|2VULN|2DMG|2BEXP	138ASPD|29VULN|48DMG|5ERES|6aBEXP|78BASARM|8BPWR
16	32362 56132	   	217.97	2BASARM|3ASPD|2VULN|2DMG|2BEXP	18DMG|29VULN|348ASPD|5ERES|6aBEXP|78BASARM|8BPWR
17	32322 66113	   	216.50	DCR|2BASARM|2ASPD|2DMG|1VULN|1AAC	18DMG|2VULN|38ASPD|4RMIN|5ZMB|6CGEN|78BASARM|8BPWR|9AAC|aRCR
18	34333 66113	   	216.50	DCR|2BASARM|2ASPD|2DMG|1VULN|1AAC	18DMG|25DUR|38ASPD|4VULN|6CGEN|78BASARM|8BPWR|9AAC|aRCR
19	32312 66133	   	216.40	DCR|2BASARM|2ASPD|2DMG|1VULN|1AAC	18DMG|2VULN|38ASPD|4AAC|5ZMB|6CGEN|78BASARM|8BPWR|9ERES|aRCR
20	32345 16113	   	216.40	DCR|2BASARM|2ASPD|2DMG|1VULN|1AAC	18DMG|2VULN|38ASPD|4TLV|5DMSP|6LWND|78BASARM|8BPWR|9AAC|aRCR
21	32332 56163	 * 	215.55	3VULN|2BASARM|2ASPD|2DMG|1BASICY|1BEXP	18DMG|24aVULN|38ASPD|5ERES|6BEXP|78BASARM|8BPWR|9BASICY
22	32332 62113	   	215.45	DCR|2VULN|1BASARM|2ASPD|2DMG|1AAC	18DMG|24VULN|38ASPD|5ERES|6BASARM|78FEWX|8BPWR|9AAC|aRCR
23	32336 62113	   	215.45	DCR|2VULN|1BASARM|2ASPD|2DMG|1AAC	18DMG|24VULN|38ASPD|5AME|6BASARM|78FEWX|8BPWR|9AAC|aRCR
24	51153 23162	 * 	215.26	ACR|1BASARM|2ASPD|1DMG|1AART|1CDMG	16ASPD|2CGEN|3LEGI|4RMIN|5RCR|7DMG|8CDMG|9BASARM|aAART
25	32332 61113	   	215.25	DCR|2VULN|1BASARM|2ASPD|2DMG|1AAC	18DMG|24VULN|38ASPD|5ERES|6BASARM|78DUST|8BPWR|9AAC|aRCR
26	32336 61113	   	215.25	DCR|2VULN|1BASARM|2ASPD|2DMG|1AAC	18DMG|24VULN|38ASPD|5AME|6BASARM|78DUST|8BPWR|9AAC|aRCR
