0	Index      	 *	Score 	Summary	Detail	
1	15374 28324	 * 	224.13	ACR|1BASARM|1VULN|1ASPD|1DMG|2CDMG|1BEXP	18CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|9BEXP|aASPD
2	34232 56121	 * 	221.12	ACR|3DMG|2VULN|2ASPD|1CDMG	19VULN|2LHND|369DMG|4LIT|5RCR|7CGEN|89ASPD|9BPWR|aCDMG
3	34232 53121	   	221.02	ACR|3DMG|2VULN|2ASPD|1CDMG	19VULN|2LHND|369DMG|4LIT|5RCR|7AME|89ASPD|9BPWR|aCDMG
4	34232 53126	   	218.75	ACR|3DMG|2VULN|2ASPD|1BEXP	19VULN|2LHND|369DMG|4LIT|5RCR|7AME|89ASPD|9BPWR|aBEXP
5	15374 28144	 * 	217.71	ACR|1BASARM|1VULN|2BEXP|1DMG|2CDMG	1aCDMG|2VULN|3MBVNT|4RCR|5aTLV|6BASARM|7DMG|8RPLT|9aBEXP|aBPWR
6	15374 28322	   	217.61	ACR|1BASARM|1VULN|2BEXP|1DMG|2CDMG	18CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|9aBEXP
7	42312 23542	 * 	216.06	ACR|2ASPD|2DMG|1VULN|2AART|1BEXP	18DMG|2BEXP|39AART|4RMIN|5RCR|6VULN|7aASPD
8	32232 34612	 * 	215.62	ACR|2VULN|2ASPD|2DMG|2BEXP	19VULN|2LWND|39DMG|4LIT|5RCR|6MDPS|7aASPD|89BEXP|9BPWR
9	42312 23536	 * 	215.41	ACR|3DMG|2BEXP|1VULN|1ASPD|1AART	18aDMG|2aBEXP|3AART|4RMIN|5RCR|6VULN|7ASPD|9aFEWX|aBPWR
10	42312 21142	 * 	214.81	ACR|2VULN|2ASPD|2AART|1DMG|1BEXP	1DMG|2BEXP|39AART|4RMIN|5RCR|67VULN|8aASPD
11	42336 21142	   	214.81	ACR|2VULN|2ASPD|2AART|1DMG|1BEXP	1DMG|2BEXP|39AART|4CGEN|5RCR|67VULN|8aASPD
12	42362 21142	   	214.71	ACR|2VULN|2ASPD|2AART|1DMG|1BEXP	1DMG|2BEXP|39AART|4AAC|5RCR|67VULN|8aASPD
13	42312 21136	   	214.10	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1aDMG|2aBEXP|3AART|4RMIN|5RCR|67VULN|8ASPD|9aFEWX|aBPWR
14	45312 21136	   	214.10	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1aDMG|2aFEWX|3AART|4RMIN|5RCR|67VULN|8ASPD|9aBEXP|aBPWR
15	15374 28141	 * 	214.05	ACR|1BASARM|2DMG|1VULN|1BEXP|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7aDMG|8RPLT|9BEXP
16	32232 34614	   	214.00	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	19VULN|2LWND|39DMG|4LIT|5RCR|6MDPS|7ASPD|89BEXP|9BPWR|aAART
17	42362 21136	   	214.00	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1aDMG|2aBEXP|3AART|4AAC|5RCR|67VULN|8ASPD|9aFEWX|aBPWR
18	15374 23318	 * 	213.95	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8DUST|9aASPD
19	42336 25221	   	213.02	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1DMG|2BEXP|3AART|4CGEN|5RCR|6VULN|7ASPD|8BELT|9BASARM|aDMSP
20	42336 25222	   	212.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1DMG|2BEXP|3AART|4CGEN|5RCR|6VULN|7ASPD|8BELT|9BASARM|aTLV
21	42336 25223	   	212.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1DMG|2BEXP|3AART|4CGEN|5RCR|6VULN|7ASPD|8BELT|9BASARM|aERES
22	42312 23316	 * 	212.26	ACR|2DMG|2BEXP|1VULN|2AART|1ASPD	1aDMG|2aBEXP|39AART|4RMIN|5RCR|6VULN|7ASPD|8aFEWX|aBPWR
23	15374 23121	 * 	212.18	ACR|1BASARM|1VULN|2AART|1BEXP|1CDMG|1AAC	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8aAART|9AAC
24	42362 23316	   	212.16	ACR|2DMG|2BEXP|1VULN|2AART|1ASPD	1aDMG|2aBEXP|39AART|4AAC|5RCR|6VULN|7ASPD|8aFEWX|aBPWR
25	15374 23317	   	211.31	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AART	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8DUST|9ASPD|aAART
26	15374 24614	 * 	210.96	ACR|2VULN|1BASARM|1ASPD|2CDMG|1AAC	17CDMG|28VULN|3MBVNT|4RCR|5TLV|6BASARM|9ASPD|aAAC
27	15373 23621	 * 	210.89	ACR|3VULN|2DMG|1ASPD|2CDMG	1aCDMG|26aVULN|3MBVNT|4RCR|5LIT|7ASPD|8aDMG|9DMSP|aBPWR
28	15374 24184	   	210.48	ACR|1BASARM|1VULN|2CDMG|1ASPD|1DMG	17CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|8LHND|9ASPD|aDMG
29	15374 23245	   	209.99	ACR|1BASARM|1VULN|2BEXP|1DMG|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|79BEXP|8LHND|aDMG
30	44216 23311	   	209.93	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DMG|23RCVC|4RCR|5ASPD|6DUR|7VULN|8BASARM|9AIRHEL|aCDMG
31	44216 33221	   	208.72	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1DMG|23RCVC|4RCR|5ASPD|6BEXP|7CDMG|8FEWX|9CGEN|aBASARM
32	44216 33321	   	208.62	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1DMG|23RCVC|4RCR|5ASPD|6BEXP|7CDMG|8MLV|9LEGI|aBASARM
33	15374 28314	 * 	208.01	ACR|1BASARM|2DMG|1VULN|2CDMG	18CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7aDMG|9DUR
34	42312 22226	   	206.50	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1DMG|2aBEXP|3AART|4RMIN|5RCR|6VULN|7CGEN|8BELT|9BASARM
35	42312 24226	   	206.50	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1DMG|2aBEXP|3AART|4RMIN|5RCR|6VULN|7MLV|8BELT|9BASARM
36	42312 52226	   	206.50	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1DMG|2aBEXP|3AART|4RMIN|5RCR|6MLV|7VULN|8BELT|9BASARM
37	42312 26226	   	206.40	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1DMG|2aBEXP|3AART|4RMIN|5RCR|6VULN|7AME|8BELT|9BASARM
38	42312 42226	   	206.40	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1DMG|2aBEXP|3AART|4RMIN|5RCR|6TLV|7VULN|8BELT|9BASARM
39	42362 22226	   	206.40	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1DMG|2aBEXP|3AART|4AAC|5RCR|6VULN|7CGEN|8BELT|9BASARM
40	15374 23124	   	205.96	ACR|1BASARM|1VULN|2CDMG|1BEXP|1AART|1AAC	1aCDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8AART|9AAC
41	42312 33213	 * 	205.48	ACR|1BASARM|2AART|1VULN|1DMG|1BEXP	1DMG|2BEXP|3aAART|4RMIN|5RCR|6LHND|7LWND|8BASARM|9VULN
42	41333 21542	 * 	205.45	3ASPD|2VULN|1BASARM|2DMG|1BEXP|1AART	1aDMG|2DUST|3AART|4aVULN|5BELT|6BEXP|7BASARM|89aASPD|aBPWR
43	41312 63213	   	205.38	ACR|1BASARM|2AART|1VULN|1DMG|1BEXP	1DMG|2DUST|3aAART|4RMIN|5RCR|6BEXP|7LWND|8BASARM|9VULN
44	15374 28344	   	205.35	ACR|1BASARM|1VULN|1DMG|2CDMG|1AART	18CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|9RMIN|aAART
45	34232 12123	 * 	205.20	ACR|3ASPD|2VULN|2DMG	19VULN|279LHND|3aDMG|4LIT|5RCR|689ASPD|9BPWR
46	34232 56122	   	205.20	ACR|3DMG|2VULN|2ASPD	19VULN|2LHND|369DMG|4LIT|5RCR|7CGEN|89ASPD|9BPWR|aLWND
47	34232 56123	   	205.20	ACR|3DMG|2VULN|2ASPD	19VULN|2aLHND|369DMG|4LIT|5RCR|7CGEN|89ASPD|9BPWR
48	42312 33211	 * 	205.19	ACR|1BASARM|2VULN|1DMG|1AART|1BEXP	1DMG|2BEXP|3AART|4RMIN|5RCR|6LHND|7LWND|8BASARM|9aVULN
49	34232 53122	   	205.10	ACR|3DMG|2VULN|2ASPD	19VULN|2LHND|369DMG|4LIT|5RCR|7AME|89ASPD|9BPWR|aLWND
50	34232 53123	   	205.10	ACR|3DMG|2VULN|2ASPD	19VULN|2aLHND|369DMG|4LIT|5RCR|7AME|89ASPD|9BPWR
51	41312 63211	   	205.09	ACR|1BASARM|2VULN|1DMG|1AART|1BEXP	1DMG|2DUST|3AART|4RMIN|5RCR|6BEXP|7LWND|8BASARM|9aVULN
52	34232 53124	   	205.00	ACR|3DMG|2VULN|2ASPD	19VULN|2LHND|369DMG|4LIT|5RCR|7AME|89ASPD|9BPWR|aERES
53	15374 23145	   	204.89	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7aBEXP|8AART|9DUR
54	15374 23173	   	204.89	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7aBEXP|8AART|9BELT
55	44212 12341	 * 	204.18	ACR|2ASPD|2DMG|2CDMG|1BEXP|3RCVC	19DMG|235RCVC|4RCR|6DUST|79CDMG|89ASPD|9BPWR|aBEXP
56	32232 34615	   	204.00	ACR|2VULN|2DMG|2BEXP|1ASPD|1AAC	19VULN|2LWND|39DMG|4LIT|5RCR|6MDPS|7ASPD|89BEXP|9BPWR|aAAC
57	15374 24218	   	203.96	ACR|1BASARM|1VULN|1ASPD|2CDMG|1BEXP	17CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|8RCVC|9ASPD|aBEXP
58	15374 23143	   	203.87	ACR|1BASARM|1VULN|2AART|1BEXP|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8aAART|9DUR
59	15374 23151	   	203.87	ACR|1BASARM|1VULN|2AART|1BEXP|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8aAART|9ZMB
60	44216 23331	   	203.38	ACR|1BASARM|1VULN|1ASPD|1DMG|1AAC	1DMG|23RCVC|4RCR|5ASPD|6aDUR|7VULN|8BASARM|9AAC
61	44216 23333	   	203.38	ACR|1BASARM|1VULN|1ASPD|1DMG|1AAC	1DMG|23RCVC|4RCR|5ASPD|6DUR|7VULN|8BASARM|9AAC|aLWND
62	44216 23332	   	203.28	ACR|1BASARM|1VULN|1ASPD|1DMG|1AAC	1DMG|23RCVC|4RCR|5ASPD|6DUR|7VULN|8BASARM|9AAC|aTLV
63	41333 21562	 * 	203.25	2VULN|1BASARM|2ASPD|2DMG|2AART|1BEXP	1aDMG|2DUST|39AART|4aVULN|5BELT|6BEXP|7BASARM|8aASPD|aBPWR
64	34232 43126	   	203.10	ACR|2VULN|2ASPD|2DMG|1CDMG	19VULN|26LHND|39DMG|4LIT|5RCR|7AME|89ASPD|9BPWR|aCDMG
65	15374 24125	   	202.78	ACR|1BASARM|1VULN|2CDMG|1DMG|1BEXP	17CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|8LHND|9BEXP|aDMG
66	15374 24182	   	202.78	ACR|1BASARM|1VULN|1ASPD|2CDMG|1BEXP	17CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|8LHND|9ASPD|aBEXP
