0	Index      	 *	Score 	Summary	Detail	
1	11167 44216	 * 	268.44	ACR|3DMG|2VULN|1BASARM|2ASPD	18ASPD|2RCR|3MBVNT|4TLV|589DMG|68VULN|7RPLT|8BPWR|aBASARM
2	11361 51613	 * 	266.91	ACR|1BASARM|2ASPD|2DMG|2CDMG|1AART|1BEXP	1aASPD|2RCR|3ERES|4aDMG|5BASARM|6BEXP|7aCDMG|8AAC|9AART|aBPWR
3	11442 11512	 * 	264.65	ACR|3VULN|3ASPD|2DMG|1BEXP|1CDMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|7aDMG|8CDMG|9BEXP
4	11432 62611	 * 	264.46	ACR|4VULN|3ASPD|2DMG|1CDMG	145ASPD|2RCR|3578VULN|58BPWR|68DMG|9CGEN|aCDMG
5	11432 62631	   	264.36	ACR|4VULN|3ASPD|2DMG|1CDMG	145ASPD|2RCR|3578VULN|58BPWR|68DMG|9ERES|aCDMG
6	11127 26131	 * 	264.13	ACR|2BASARM|2ASPD|2DMG|1VULN|1BEXP	1aASPD|2RCR|3MBVNT|4VULN|5MDPS|6aBASARM|7LIT|8BEXP|9aDMG|aBPWR
7	11331 62635	 * 	263.23	ACR|2BASARM|3ASPD|2VULN|1DMG	18aASPD|2RCR|38ERES|4AAC|5aBASARM|6DMG|78VULN|8aBPWR|9aCGEN
8	11331 61525	   	263.13	ACR|2BASARM|3ASPD|2VULN|1DMG	18aASPD|2RCR|3ERES|4AAC|5aBASARM|6DMG|7CGEN|9aVULN|aBPWR
9	11361 52522	   	262.44	ACR|3ASPD|1BASARM|1VULN|1DMG|1BEXP|1CDMG	178ASPD|2RCR|3ERES|4DMG|5BASARM|6BEXP|9VULN|aCDMG
10	11442 11212	 * 	261.87	ACR|3VULN|3ASPD|1BASARM|1DMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|7DMG|8DUR|9DUST|aBASARM
11	11127 28351	 * 	260.09	ACR|2BASARM|2ASPD|1VULN|2BEXP|1DMG	1aASPD|2RCR|3MBVNT|4VULN|5MDPS|6aBASARM|7DMG|8LIT|9aBEXP|aBPWR
12	11171 44336	 * 	258.22	ACR|3DMG|2VULN|2ASPD|1BASICY|1AART	19ASPD|2RCR|3MBVNT|4AART|59VULN|6BASICY|7ERES|89aDMG|9BPWR
13	11331 61135	 * 	257.48	ACR|2BASARM|3VULN|2ASPD|1DMG	1aASPD|2RCR|3ERES|4AAC|5aBASARM|6DMG|7CGEN|89aVULN|aBPWR
14	11442 11511	   	256.78	ACR|4VULN|3ASPD|1DMG|1BEXP|1CDMG	145ASPD|2RCR|345aVULN|45BPWR|6LIT|7DMG|8CDMG|9BEXP
15	11141 56721	 * 	256.19	ACR|3ASPD|2VULN|2BASICY|2AART|1CDMG	168ASPD|2RCR|3MBVNT|48BASICY|59AART|78VULN|8BPWR|aCDMG
16	11171 41183	 * 	256.12	ACR|2VULN|2ASPD|2DMG|2AART|1BASICY	1aASPD|2RCR|3MBVNT|48AART|5aVULN|6BASICY|7LHND|9aDMG|aBPWR
17	11141 56813	 * 	255.92	ACR|3ASPD|2VULN|3BEXP|1BASICY|1AART	16aASPD|2RCR|3MBVNT|4BASICY|5AART|7aVULN|89aBEXP|aBPWR
18	11171 44334	 * 	255.21	ACR|3VULN|2ASPD|2DMG|1BASICY|1AART	19ASPD|2RCR|3MBVNT|4AART|59aVULN|6BASICY|7ERES|89DMG|9BPWR
19	11442 62333	 * 	254.12	ACR|4VULN|3ASPD|2BEXP|1DMG	145ASPD|2RCR|3457VULN|45BPWR|6DMG|8aBEXP|9LHND
20	11442 11533	 * 	253.37	ACR|3VULN|3ASPD|1DMG|2CDMG|1BEXP	145ASPD|2RCR|345VULN|45BPWR|6LIT|7DMG|89CDMG|aBEXP
21	11442 11632	 * 	253.00	ACR|3VULN|3ASPD|3DMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|78aDMG|9RPLT
22	11331 61145	   	252.97	ACR|2BASARM|2VULN|2ASPD|1DMG	1aASPD|2RCR|3ERES|49AAC|5aBASARM|6DMG|7CGEN|8aVULN|aBPWR
23	11432 11155	   	252.90	ACR|3VULN|3ASPD|3DMG	145ASPD|2RCR|358VULN|5BPWR|6LIT|79aDMG
24	11361 35213	 * 	252.83	ACR|3ASPD|1BASARM|2DMG|1VULN	179ASPD|2RCR|39ERES|48DMG|5BASARM|69LIT|9BPWR|aVULN
25	11361 61522	   	252.73	ACR|3DMG|1BASARM|2ASPD|1VULN	18ASPD|2RCR|3ERES|46aDMG|5BASARM|7LWND|9VULN
26	11361 65232	   	252.73	ACR|3DMG|1BASARM|2ASPD|1VULN	1aASPD|2RCR|3ERES|468DMG|5BASARM|7LIT|9VULN
