0	Index      	 *	Score 	Summary	Detail	
1	11325 12314	 * 	267.60	ACR|3ASPD|3DMG|2VULN|2BEXP	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9aVULN
2	11651 21612	 * 	254.41	ACR|1BASARM|2VULN|2DMG|1ASPD|1BEXP	1ASPD|2RCR|3BEXP|46DMG|5aVULN|7CGEN|8AAC|9BASARM
3	11615 12314	   	252.76	ACR|3ASPD|3DMG|2VULN|1BEXP	168ASPD|2RCR|3BEXP|48LHND|568DMG|68BPWR|7MDPS|9aVULN
4	11625 12314	   	252.76	ACR|3ASPD|3DMG|2VULN|1BEXP	168ASPD|2RCR|3BEXP|48FEWX|568DMG|68BPWR|7MDPS|9aVULN
5	11325 12312	   	251.96	ACR|3ASPD|3DMG|2BEXP|1VULN	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9VULN|aLHND
6	11325 12313	   	251.96	ACR|3ASPD|3DMG|2BEXP|1VULN	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9VULN|aFEWX
7	11325 12315	   	251.96	ACR|3ASPD|3DMG|2BEXP|1VULN	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9VULN|aLIT
8	11325 12354	   	251.96	ACR|3ASPD|3DMG|2BEXP|1VULN	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9MLV|aVULN
9	11325 12364	   	251.96	ACR|3ASPD|3DMG|2BEXP|1VULN	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9CGEN|aVULN
10	11325 12316	   	251.86	ACR|3ASPD|3DMG|2BEXP|1VULN	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9VULN|aDUST
11	11325 12324	   	251.86	ACR|3ASPD|3DMG|2BEXP|1VULN	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9ERES|aVULN
12	11325 12344	   	251.86	ACR|3ASPD|3DMG|2BEXP|1VULN	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9AME|aVULN
13	11325 16163	   	251.86	ACR|3ASPD|3DMG|2BEXP|1VULN	169ASPD|2RCR|3LWND|4aBEXP|568DMG|6BPWR|7VULN
14	11116 13526	   	249.94	ACR|3ASPD|2DMG|2VULN|2BEXP	18aASPD|2RCR|3aAME|45RPLT|68DMG|78BEXP|8aBPWR|9aVULN
15	11331 36115	 * 	248.09	ACR|1BASARM|2DMG|1VULN|1ASPD|1BASICY	1ASPD|2RCR|3LWND|4ERES|5VULN|6AAC|78DMG|9BASARM|aBASICY
16	11625 15333	   	246.51	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART	16ASPD|2RCR|3aBEXP|4FEWX|56DMG|6BPWR|7AART|8VULN|9AAC
17	11325 12363	   	244.85	ACR|3ASPD|3DMG|2BEXP|1CDMG	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9CGEN|aCDMG
18	11325 12323	   	244.75	ACR|3ASPD|3DMG|2BEXP|1CDMG	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9ERES|aCDMG
19	11325 12343	   	244.75	ACR|3ASPD|3DMG|2BEXP|1CDMG	168ASPD|2RCR|3LWND|48BEXP|568DMG|68BPWR|7MDPS|9AME|aCDMG
20	11611 32415	 * 	244.10	ACR|2VULN|1BASARM|2ASPD|1BASICY|1BEXP	15ASPD|2RCR|3BEXP|4LHND|67VULN|8CGEN|9BASARM|aBASICY
21	11325 12362	 * 	242.66	ACR|3ASPD|3DMG|3BEXP	168ASPD|2RCR|3aLWND|48aBEXP|568DMG|68aBPWR|7MDPS|9aCGEN
