0	Index      	 *	Score 	Summary	Detail	
1	41335 32226	 * 	222.30	ACR|3DMG|1BASARM|3BEXP	129BEXP|367DMG|4RMIN|5RCR|8ERES|aBASARM
2	14422 22313	 * 	220.26	ACR|2BASARM|2VULN|1ASPD|1DMG	1aDUR|2DLOT|3RCR|4LHND|5aBASARM|6ASPD|7DMG|8BELT|9aVULN|aBPWR
3	64422 22313	   	220.16	ACR|2BASARM|2VULN|1ASPD|1DMG	1aLHND|2DLOT|3RCR|4LEGI|5aBASARM|6ASPD|7DMG|8BELT|9aVULN|aBPWR
4	14422 12332	 * 	218.98	ACR|2BASARM|2DMG|1BEXP|1AART	1aDUR|2DLOT|3RCR|4LHND|5aBASARM|6LWND|7BEXP|8AART|9aDMG|aBPWR
5	64422 12332	   	218.88	ACR|2BASARM|2DMG|1BEXP|1AART	1aLHND|2DLOT|3RCR|4LEGI|5aBASARM|6LWND|7BEXP|8AART|9aDMG|aBPWR
6	14422 32331	 * 	216.40	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7aBEXP|8AART|9DMG
7	64422 32331	   	216.30	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6VULN|7aBEXP|8AART|9DMG
8	32335 15243	 * 	214.81	ACR|3ASPD|3DMG|1AART|1BEXP	189ERES|2MLV|389DMG|4TLV|5RCR|6BEXP|789ASPD|89BPWR|aAART
9	14422 22326	 * 	214.75	ACR|1BASARM|2ASPD|2DMG	19DUR|2DLOT|3RCR|49LHND|5BASARM|6aASPD|79DMG|8BELT|9BPWR
10	64422 22321	   	214.55	ACR|1BASARM|2ASPD|2DMG	19LHND|2DLOT|3RCR|4LEGI|5BASARM|69ASPD|79DMG|8BELT|9BPWR|aDUST
11	64422 22323	   	214.55	ACR|1BASARM|2ASPD|2DMG	19LHND|2DLOT|3RCR|4LEGI|5BASARM|69ASPD|79DMG|8BELT|9BPWR|aMDPS
12	14422 32363	 * 	212.71	ACR|1BASARM|2VULN|1BASICY|1BEXP|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6aVULN|7BEXP|8AART|9BASICY
13	14422 23111	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|69ASPD|7BELT|8BEXP|aDMG
14	64422 23111	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	1LHND|2DLOT|3RCR|4LEGI|5BASARM|69ASPD|7BELT|8BEXP|aDMG
15	14422 32341	   	208.68	ACR|1BASARM|2VULN|1BEXP|1AART|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|69VULN|7BEXP|8AART|aCDMG
16	14422 32342	 * 	207.68	ACR|1BASARM|2VULN|2BEXP|1AART	1aDUR|2DLOT|3RCR|4aLHND|5BASARM|69VULN|7aBEXP|8AART|aBPWR
17	14422 22315	   	206.67	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9VULN|aBEXP
18	14422 22431	   	206.67	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8CDMG|9FEWX|aAART
19	14422 32623	   	206.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8ASPD|9LIT|aDMG
20	41335 12226	   	206.65	ACR|1BASARM|3BEXP|2DMG	126BEXP|37DMG|4RMIN|5RCR|7BPWR|8MDPS|9CGEN|aBASARM
21	14422 22223	   	206.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8MDPS|9AART|aBEXP
22	41335 33335	 * 	205.14	ACR|3DMG|3BEXP|1VULN|1AART	127BEXP|367DMG|4RMIN|5RCR|7BPWR|8VULN|9MDPS|aAART
23	33525 31313	 * 	204.30	ACR|3DMG|2BEXP|1ASPD|1VULN	18ERES|27RCVC|38BEXP|468DMG|5RCR|8BPWR|9ASPD|aVULN
24	14422 23112	   	204.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|69ASPD|7BELT|8BEXP|aCDMG
25	14462 32211	   	204.19	ACR|1BASARM|2ASPD|1CDMG|1AART	1DUR|2DLOT|3RCR|4RMIN|5CDMG|6AART|7ZMB|89ASPD|aBASARM
26	64422 23112	   	204.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1LHND|2DLOT|3RCR|4LEGI|5BASARM|69ASPD|7BELT|8BEXP|aCDMG
27	14422 33333	 * 	203.73	ACR|2BASARM|2VULN|2BEXP	1aDUR|2DLOT|3RCR|4LHND|5aBASARM|67VULN|8FEWX|9aBEXP|aBPWR
28	64422 33333	   	203.63	ACR|2BASARM|2VULN|2BEXP	1aLHND|2DLOT|3RCR|4LEGI|5aBASARM|67VULN|8FEWX|9aBEXP|aBPWR
29	14422 32431	   	203.53	ACR|2BASARM|2VULN|2BEXP	1DUR|2DLOT|3RCR|4LHND|5aBASARM|68VULN|79BEXP
30	33525 32413	   	202.64	ACR|3DMG|2BEXP|1ASPD|1VULN	1ERES|2RCVC|38BEXP|467DMG|5RCR|9ASPD|aVULN
31	41335 33136	 * 	202.45	ACR|3DMG|3BEXP|2VULN	127BEXP|367DMG|4RMIN|5RCR|7BPWR|8DUST|9aVULN
32	32335 15224	 * 	202.21	ACR|2ASPD|2DMG|1VULN|1AART|1BEXP	18ERES|2MLV|38DMG|4TLV|5RCR|6BEXP|78ASPD|8BPWR|9AART|aVULN
33	14422 32336	   	201.89	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9DMG|aRCVC
34	14422 12333	   	201.56	ACR|1BASARM|1DMG|1VULN|1AART|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6LWND|7BEXP|8AART|9DMG|aVULN
35	14422 12341	   	201.56	ACR|1BASARM|1DMG|1VULN|1AART|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6LWND|7BEXP|8AART|9VULN|aDMG
36	14422 13331	   	201.56	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6LWND|7VULN|8AART|9DMG|aBEXP
37	14422 23522	   	201.56	ACR|1BASARM|1ASPD|1VULN|1BEXP|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7BELT|8AART|9BEXP|aVULN
38	14422 32332	   	201.56	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9DMG|aLWND
39	14422 32334	   	201.56	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9DMG|aLIT
40	14422 32335	   	201.56	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1aDUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9DMG
41	14422 32333	   	201.46	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9DMG|aTLV
42	64422 12333	   	201.46	ACR|1BASARM|1DMG|1VULN|1AART|1BEXP	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6LWND|7BEXP|8AART|9DMG|aVULN
43	64422 32332	   	201.46	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6VULN|7BEXP|8AART|9DMG|aLWND
44	14422 12331	   	201.44	ACR|1BASARM|2BEXP|1DMG|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6LWND|7aBEXP|8AART|9DMG
45	64422 32333	   	201.36	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6VULN|7BEXP|8AART|9DMG|aTLV
46	14422 24132	 * 	201.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|79BEXP|8ERES|aCDMG
47	14422 24232	   	201.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|79BEXP|8AME|aCDMG
48	64422 12331	   	201.34	ACR|1BASARM|2BEXP|1DMG|1AART	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6LWND|7aBEXP|8AART|9DMG
49	32335 15241	   	201.16	ACR|3ASPD|3DMG|1BEXP	189ERES|2MLV|389DMG|4TLV|5RCR|6BEXP|789ASPD|89BPWR|aFEWX
50	32335 15242	   	201.16	ACR|3ASPD|3DMG|1BEXP	189ERES|2MLV|389DMG|4TLV|5RCR|6BEXP|789ASPD|89BPWR|aDUR
51	32335 15261	   	201.06	ACR|3ASPD|3DMG|1BEXP	18ERES|2MLV|38aDMG|4TLV|5RCR|6BEXP|789ASPD|8BPWR
52	41335 12433	 * 	200.33	ACR|3BEXP|2DMG|1ASPD|1CDMG|1AAC	126BEXP|37DMG|4RMIN|5RCR|7BPWR|8ASPD|9AAC|aCDMG
53	14422 32361	   	200.26	ACR|1BASARM|1VULN|1BASICY|1AART|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9BASICY|aLWND
54	14422 32362	   	200.26	ACR|1BASARM|1VULN|1BASICY|1AART|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9BASICY|aCGEN
55	55213 21522	 * 	200.25	ACR|1BASARM|1VULN|2CDMG|1DMG|1AART	1aCDMG|2MDPS|3ERES|4DMG|5RCR|6LEGI|7VULN|8BASARM|9AART
56	41315 32251	 * 	200.24	ACR|3DMG|2ASPD|2BEXP	12BEXP|367DMG|4AME|5RCR|8LWND|9aASPD
57	41315 13433	   	200.23	ACR|3BEXP|2DMG|1ASPD|1CDMG|1AAC	126BEXP|37DMG|4AME|5RCR|8ASPD|9AAC|aCDMG
58	41335 32613	   	200.19	ACR|3DMG|2BEXP|1ASPD|1VULN	12BEXP|367DMG|4RMIN|5RCR|8RCVC|9ASPD|aVULN
59	41315 32613	   	200.09	ACR|3DMG|2BEXP|1ASPD|1VULN	12BEXP|367DMG|4AME|5RCR|8RCVC|9ASPD|aVULN
60	14422 22336	 * 	199.33	ACR|1BASARM|1ASPD|1DMG|2CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9aCDMG
61	33525 31316	 * 	199.32	ACR|3DMG|3BEXP|1ASPD	18ERES|27RCVC|38aBEXP|468DMG|5RCR|8BPWR|9ASPD
62	12315 22343	   	199.17	ACR|1BASARM|1ASPD|1DMG|1VULN|1AART	12DUR|3DMG|4AME|5RCR|6ERES|7ASPD|8BASARM|9AART|aVULN
63	52322 22156	 * 	198.96	ACR|3DMG|1VULN|2AART|1CDMG	1CDMG|2CGEN|3AAC|4RCR|569DMG|7aAART|8VULN
