0	Index      	 *	Score 	Summary	Detail	
1	54151 21332	 * 	254.41	ACR|2VULN|1BASARM|2DMG|1ASPD|1BEXP|1AAC	1AAC|2RCR|3BEXP|47VULN|58DMG|6BELT|9BASARM|aASPD
2	23141 63225	 * 	249.51	ACR|1BASARM|2DMG|2AART|1VULN|1CDMG	1FEWX|2LHND|3RCR|4CDMG|56AART|7BASARM|8VULN|9aDMG
3	33141 63225	   	249.41	ACR|1BASARM|2DMG|2AART|1VULN|1CDMG	1DUST|2LHND|3RCR|4CDMG|56AART|7BASARM|8VULN|9aDMG
4	23141 63226	   	244.58	ACR|1BASARM|2AART|1VULN|1DMG|1BEXP|1CDMG	1FEWX|2LHND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aBEXP
5	33141 63226	   	244.48	ACR|1BASARM|2AART|1VULN|1DMG|1BEXP|1CDMG	1DUST|2LHND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aBEXP
6	54151 21333	 * 	240.35	ACR|3VULN|1BASARM|2DMG|1BEXP|1AAC	1AAC|2RCR|3BEXP|47aVULN|58DMG|6BELT|9BASARM
7	54151 21232	   	234.82	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1AAC|2RCR|3BEXP|47VULN|5DMG|68BELT|9BASARM|aASPD
8	54333 31243	 * 	233.08	ACR|3ASPD|3BEXP|1VULN|1AART|1AAC	1AAC|2RCR|38aASPD|48aCGEN|5MLV|6VULN|78aBEXP|8aBPWR|9AART
9	54121 23243	 * 	232.98	ACR|3DMG|3BEXP|1VULN|1AART|1AAC	1AAC|2RCR|38aBEXP|48aMLV|5VULN|6AME|78aDMG|8aBPWR|9AART
10	54111 13243	   	232.78	ACR|3DMG|3BEXP|1VULN|1AART|1AAC	1AAC|2RCR|38aBEXP|48aTLV|5VULN|6MLV|78aDMG|8aBPWR|9AART
11	54151 21331	   	232.35	ACR|2VULN|1BASARM|2DMG|1BEXP|1AAC	1AAC|2RCR|3BEXP|47VULN|58DMG|6BELT|9BASARM|aLHND
12	54152 11211	 * 	231.62	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG|1AAC	1AAC|2RCR|3aBEXP|4VULN|5LIT|6CDMG|7BASARM|8ASPD|9DUR
13	54152 11223	   	231.52	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG|1AAC	1AAC|2RCR|3aBEXP|4VULN|5LIT|6CDMG|7BASARM|8ASPD|9AME
14	23141 63224	   	230.93	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1FEWX|2LHND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aLWND
15	23141 63221	   	230.83	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1FEWX|2LHND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aERES
16	23141 63222	   	230.83	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1FEWX|2LHND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aAME
17	25141 63221	   	230.83	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1FEWX|2LWND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aERES
18	25141 63222	   	230.83	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1FEWX|2LWND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aAME
