0	Index      	 *	Score 	Summary	Detail	
1	12322 43332	 * 	243.74	ACR|2BASARM|2DMG|1VULN|1AART|1CDMG	1AART|2DUR|3aMLV|4RCR|5VULN|6ERES|7aBASARM|8CDMG|9aDMG|aBPWR
2	15126 31224	 * 	230.44	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1BEXP	1AART|2VULN|3DMG|4RCR|5RPLT|6LHND|7MULARM|8ASPD|9BEXP|aBASARM
3	15123 61116	 * 	230.31	ACR|2VULN|1BASARM|1AART|1DMG|1BEXP|1AAC	1AART|25VULN|3DMG|4RCR|6VENTOX|7AME|8AAC|9BEXP|aBASARM
4	15123 63116	   	230.31	ACR|2VULN|1BASARM|1AART|1DMG|1BEXP|1AAC	1AART|25VULN|3DMG|4RCR|6VENTOX|7ERES|8AAC|9BEXP|aBASARM
5	11122 24315	   	227.96	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1AART|2LHND|37DMG|4RCR|5VULN|6RMIN|8BEXP|9MULARM|aBASARM
6	11124 34315	   	227.96	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1AART|2LHND|37DMG|4RCR|5RMIN|6VULN|8BEXP|9MULARM|aBASARM
7	12122 24315	   	227.96	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1AART|2DUR|37DMG|4RCR|5VULN|6RMIN|8BEXP|9MULARM|aBASARM
8	15123 16142	 * 	227.81	ACR|3VULN|2AART|2DMG|1BEXP	17AART|259VULN|39DMG|4RCR|69LWND|8RCVC|9BPWR|aBEXP
9	15123 36142	   	227.81	ACR|3VULN|2AART|2DMG|1BEXP	17AART|259VULN|39DMG|4RCR|69LHND|8RCVC|9BPWR|aBEXP
10	22422 21615	 * 	227.52	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AART|1AAC	17BEXP|2FEWX|3AAC|4RCR|5ASPD|6AART|8VULN|9MULARM|aBASARM
11	22422 26115	   	227.52	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AART|1AAC	18BEXP|2FEWX|3AAC|4RCR|5ASPD|6AART|7VULN|9MULARM|aBASARM
12	15126 34312	 * 	226.74	ACR|2VULN|2AART|2DMG|2BEXP	19AART|2aVULN|3aDMG|4RCR|5RPLT|6LHND|7LWND|8aBEXP|aBPWR
13	15123 44332	 * 	226.52	ACR|3VULN|2DMG|1AART|1ASPD|1BEXP	1AART|257VULN|37DMG|4RCR|67LIT|7BPWR|8BEXP|9LHND|aASPD
14	11122 21235	 * 	225.83	ACR|1BASARM|2AART|1VULN|1DMG|1BEXP	19AART|2LHND|3DMG|4RCR|5VULN|6RMIN|7BEXP|8MSLFST|aBASARM
15	11124 31235	   	225.83	ACR|1BASARM|2AART|1VULN|1DMG|1BEXP	19AART|2LHND|3DMG|4RCR|5RMIN|6VULN|7BEXP|8MSLFST|aBASARM
16	15124 11235	   	225.83	ACR|1BASARM|2AART|1VULN|1DMG|1BEXP	19AART|2VULN|3DMG|4RCR|5RMIN|6LHND|7BEXP|8MSLFST|aBASARM
17	11122 21115	 * 	224.21	ACR|1BASARM|1VULN|2BEXP|1AART|1DMG	1AART|2LHND|3DMG|4RCR|5VULN|6RMIN|78BEXP|9MULARM|aBASARM
18	11124 31115	   	224.21	ACR|1BASARM|1VULN|2BEXP|1AART|1DMG	1AART|2LHND|3DMG|4RCR|5RMIN|6VULN|78BEXP|9MULARM|aBASARM
19	12122 21115	   	224.21	ACR|1BASARM|1VULN|2BEXP|1AART|1DMG	1AART|2DUR|3DMG|4RCR|5VULN|6RMIN|78BEXP|9MULARM|aBASARM
20	15124 11115	   	224.21	ACR|1BASARM|1VULN|2BEXP|1AART|1DMG	1AART|2VULN|3DMG|4RCR|5RMIN|6LHND|78BEXP|9MULARM|aBASARM
21	15125 21115	   	224.21	ACR|1BASARM|1VULN|2BEXP|1AART|1DMG	1AART|2VULN|3DMG|4RCR|5FEWX|6RMIN|78BEXP|9MULARM|aBASARM
22	12322 43334	   	224.00	ACR|1BASARM|2VULN|1AART|1DMG|1CDMG	1AART|2DUR|3MLV|4RCR|5aVULN|6ERES|7BASARM|8CDMG|9DMG
23	15126 13235	 * 	223.31	ACR|2VULN|2AART|2DMG|1ASPD	16AART|29VULN|39DMG|4RCR|5RPLT|789CGEN|9BPWR|aASPD
24	11122 21615	   	222.00	ACR|2VULN|1BASARM|1AART|1DMG|1BEXP	1AART|2LHND|3DMG|4RCR|58VULN|6RMIN|7BEXP|9MULARM|aBASARM
25	11124 31615	   	222.00	ACR|2VULN|1BASARM|1AART|1DMG|1BEXP	1AART|2LHND|3DMG|4RCR|5RMIN|68VULN|7BEXP|9MULARM|aBASARM
26	12122 21615	   	222.00	ACR|2VULN|1BASARM|1AART|1DMG|1BEXP	1AART|2DUR|3DMG|4RCR|58VULN|6RMIN|7BEXP|9MULARM|aBASARM
27	12122 65215	   	221.38	ACR|1BASARM|2AART|1VULN|1DMG|1AAC	18AART|2DUR|3DMG|4RCR|5VULN|6DUST|7AAC|9MULARM|aBASARM
28	12223 43353	 * 	219.39	ACR|1BASARM|2VULN|2AART|1CDMG	1aAART|2DUR|3CGEN|4RCR|59VULN|6ERES|7BASARM|8CDMG
29	12322 43353	   	219.39	ACR|1BASARM|2VULN|2AART|1CDMG	1aAART|2DUR|3MLV|4RCR|59VULN|6ERES|7BASARM|8CDMG
