0	Index      	 *	Score 	Summary	Detail	
1	62241 21351	 * 	238.57	ACR|3VULN|3DMG|1BASICY|2CDMG	17aVULN|2RCR|3AME|478DMG|57CDMG|6RCVC|7BPWR|9BASICY
2	62241 21112	 * 	235.06	ACR|2VULN|3DMG|3CDMG|1ASPD	17VULN|2RCR|3AME|47aDMG|578CDMG|6RCVC|7BPWR|9ASPD
3	62251 16122	 * 	234.54	ACR|3VULN|2ASPD|1DMG|1BASICY|1AART	149VULN|2RCR|39AME|5AART|6LHND|7BASICY|89ASPD|9BPWR|aDMG
4	62243 12115	 * 	234.37	ACR|3VULN|3DMG|2ASPD	17aVULN|2RCR|3AME|47aDMG|57LHND|6RMIN|7aBPWR|8LWND|9aASPD
5	62343 52222	 * 	233.00	ACR|3VULN|1BASARM|2DMG|1BEXP	18aVULN|2RCR|3DUST|4SNIFST|5BEXP|67DMG|9BASARM
6	62241 21111	 * 	232.04	ACR|3VULN|2DMG|3CDMG|1ASPD	17aVULN|2RCR|3AME|47DMG|578CDMG|6RCVC|7BPWR|9ASPD
7	32111 62141	 * 	231.86	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1LWND|2RCR|3CDMG|4CGEN|5ERES|6BASARM|7VULN|89DMG|aASPD
8	32151 62141	   	231.86	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1LWND|2RCR|3CDMG|4MLV|5ERES|6BASARM|7VULN|89DMG|aASPD
9	32141 62141	   	231.76	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1LWND|2RCR|3CDMG|4AME|5ERES|6BASARM|7VULN|89DMG|aASPD
10	32221 62141	   	231.76	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1LWND|2RCR|3AME|4ERES|5CDMG|6BASARM|7VULN|89DMG|aASPD
11	62241 21113	   	230.82	ACR|2VULN|2DMG|3CDMG|1ASPD|1BEXP	17VULN|2RCR|3AME|47DMG|578CDMG|6RCVC|7BPWR|9ASPD|aBEXP
12	32111 62153	 * 	230.56	ACR|1BASARM|2DMG|1VULN|1BASICY|1CDMG	1LWND|2RCR|3CDMG|4CGEN|5ERES|6BASARM|7VULN|8aDMG|9BASICY
13	62155 11332	   	230.11	ACR|3VULN|2DMG|3CDMG|1ASPD	179VULN|2RCR|359CDMG|47AME|67MLV|79BPWR|89DMG|aASPD
