0	Index      	 *	Score 	Summary	Detail	
1	31318 27384	 * 	375.11	DCR|2VULN|1MDPS|3DUR|1DMG	1DLOT|259DUR|35VULN|4MBVNT|5BPWR|6FRZICY|7DMG|8RCR|aMDPS
2	31353 33441	 * 	370.37	DCR|2MDPS|1VULN|1CDMG|2DUR	1DLOT|25DUR|3VULN|4BEXP|6RCR|7aMDPS|8BOSS|9CDMG
3	31363 33441	   	370.37	DCR|2MDPS|1VULN|1CDMG|2DUR	1DLOT|24DUR|3VULN|5LWND|6RCR|7aMDPS|8BOSS|9CDMG
4	31318 63316	 * 	369.80	DCR|2VULN|1MDPS|2DUR|1TLV	1DLOT|25DUR|35VULN|4MBVNT|5BPWR|6RAT|7BELT|8TLV|9RCR|aMDPS
5	31623 52621	 * 	368.12	ACR|DCR|1MDPS|1VULN|3DUR|1TLV	1DLOT|239DUR|48RCR|5VULN|6TLV|7ERES|aMDPS
6	31336 44133	 * 	361.59	3MDPS|3VULN|1DUR	1DLOT|2DUR|368VULN|4AME|5BOSS|79aMDPS
7	31336 44333	 * 	361.59	3MDPS|2VULN|2DUR	1DLOT|28DUR|36VULN|4AME|5BOSS|79aMDPS
8	31317 34517	 * 	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DLOT|2DUR|37VULN|4MBVNT|5LHND|6RCR|8CDMG|9BELT|aMDPS
9	14132 25215	   	358.40	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	15FEWX|2DUR|37VULN|4LWND|6CDMG|8SELL|9RCR|aMDPS
10	21161 25215	   	358.40	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	15LHND|2FEWX|37VULN|4DUR|6CDMG|8SELL|9RCR|aMDPS
11	24133 25215	   	358.40	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	1LHND|2DUR|37VULN|4LWND|5RCVC|6CDMG|8SELL|9RCR|aMDPS
12	53133 25215	   	358.30	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	1DUST|2DUR|37VULN|4LWND|5RCVC|6CDMG|8SELL|9RCR|aMDPS
13	31323 33441	   	357.91	DCR|2MDPS|1VULN|1CDMG|1DUR	1DLOT|2DUR|3VULN|4RCVC|5LWND|6RCR|7aMDPS|8BOSS|9CDMG
14	31351 33441	   	357.81	DCR|2MDPS|1VULN|1CDMG|1DUR	1DLOT|2DUR|3VULN|4BEXP|5AEPOI|6RCR|7aMDPS|8BOSS|9CDMG
15	21111 63144	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2FEWX|36VULN|4MLV|5RAT|7RCR|8TLV|9DUR|aMDPS
16	21121 63144	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2FEWX|36VULN|4AME|5RAT|7RCR|8TLV|9DUR|aMDPS
17	31316 63316	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DLOT|2DUR|35VULN|4MBVNT|6RAT|7BELT|8TLV|9RCR|aMDPS
18	31324 12125	 * 	351.63	2MDPS|2VULN|1CDMG|2DUR	1DLOT|26DUR|36VULN|4RCVC|5TBNT|6BPWR|7CDMG|8aMDPS|9BEXP
19	31324 12155	   	351.63	2MDPS|2VULN|1CDMG|2DUR	1DLOT|26DUR|36VULN|4RCVC|5TBNT|6BPWR|7CDMG|8aMDPS|9LEGI
