0	Index      	 *	Score 	Summary	Detail	
1	66332 33123	 * 	410.75	DCR|2VULN|1MDPS|3DMG|1TLV|1DUR	14VULN|2DUR|359DMG|6TLV|7RCR|8CGEN|aMDPS
2	66332 33113	   	395.00	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	14VULN|2DUR|35DMG|6TLV|7RCR|8CGEN|9BBNT|aMDPS
3	66332 33141	   	395.00	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	14VULN|2DUR|35DMG|6TLV|7RCR|8CGEN|9MDPS|aRCVC
4	66332 33142	   	395.00	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	14VULN|2DUR|35DMG|6TLV|7RCR|8aCGEN|9MDPS
5	66332 33143	   	395.00	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	14VULN|2DUR|35DMG|6TLV|7RCR|8CGEN|9MDPS|aAAC
6	66332 33313	   	394.90	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	14VULN|2DUR|35DMG|6TLV|7RCR|8ERES|9BBNT|aMDPS
7	66332 33341	   	394.90	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	14VULN|2DUR|35DMG|6TLV|7RCR|8ERES|9MDPS|aRCVC
8	66332 33342	   	394.90	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	14VULN|2DUR|35DMG|6TLV|7RCR|8ERES|9MDPS|aCGEN
9	66332 33343	 * 	394.90	DCR|2VULN|1MDPS|2TLV|2DMG|1DUR	14VULN|2DUR|35DMG|6aTLV|7RCR|8ERES|9MDPS
10	63522 12621	 * 	387.58	DCR|3VULN|1MDPS|2DUR	128VULN|3RMIN|48CGEN|5RPLT|68DUR|7RCR|8BPWR|9MDPS|aBBNT
11	63522 12622	   	387.58	DCR|3VULN|1MDPS|2DUR	128VULN|3RMIN|48CGEN|5RPLT|68DUR|7RCR|8BPWR|9MDPS|aMBVNT
12	63522 12623	   	387.58	DCR|3VULN|1MDPS|2DUR	128VULN|3RMIN|48CGEN|5RPLT|68DUR|7RCR|8BPWR|9MDPS|aAEPOI
13	66333 23422	 * 	386.62	DCR|4VULN|2CDMG|2DUR|1DMG	1478VULN|27DUR|3DMG|5ASPD|67CDMG|7BPWR|9CGEN|aRCR
14	66332 43123	   	384.45	DCR|2VULN|1MDPS|3DMG|1DUR	14VULN|2DUR|359DMG|6ERES|7RCR|8CGEN|aMDPS
