0	Index      	 *	Score 	Summary	Detail	
1	33623 11333	 * 	408.17	DCR|DCR|3VULN|2CDMG|2DUR	1AETHUN|28CDMG|389VULN|4ZMB|5LIT|6aRCR|78DUR|8BPWR
2	25623 13261	 * 	401.23	DCR|3VULN|1MDPS|1TLV|1DUR	147VULN|26RMIN|3DUR|5TLV|8RCR|9FEWX|aMDPS
3	26633 23332	   	401.23	DCR|3VULN|1MDPS|1TLV|1DUR	145VULN|2DUR|39LIT|6LHND|7RCR|8TLV|aMDPS
4	26633 23362	   	401.23	DCR|3VULN|1MDPS|1TLV|1DUR	145VULN|2DUR|3LIT|6LHND|7RCR|8TLV|9RCVC|aMDPS
5	21135 31624	   	401.13	DCR|3VULN|1MDPS|1TLV|1DUR	125VULN|3ZMB|4FEWX|6TLV|7RCR|8DUR|9AIRARM|aMDPS
6	61124 11311	 * 	397.20	DCR|2VULN|1MDPS|1CDMG|2DUR|1TLV	1DUST|25VULN|35DUR|4LEGI|5BPWR|6CDMG|7TLV|8LIT|9RCR|aMDPS
7	22625 63221	 * 	394.59	4VULN|2MDPS|1DUR	1457VULN|2ASPD|3DUR|6MLV|8aMDPS|9LWND
8	21323 23434	   	387.24	DCR|3VULN|1MDPS|2DUR|1SELL	128VULN|3LHND|4SELL|58AME|68DUR|7RMIN|8BPWR|9RCR|aMDPS
9	26534 11311	   	384.95	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	15VULN|2DUR|3LWND|45LHND|5BPWR|6CDMG|7TLV|8LIT|9RCR|aMDPS
10	24152 33231	   	384.85	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	15VULN|2BOSS|3LHND|4DUR|6FEWX|7RCR|8TLV|9CDMG|aMDPS
11	26354 11311	   	384.85	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	15VULN|2DUR|3DUST|45LWND|5BPWR|6CDMG|7TLV|8LIT|9RCR|aMDPS
12	21653 11311	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	12VULN|3DUR|4DUST|5FEWX|6CDMG|7TLV|8LIT|9RCR|aMDPS
13	21654 11311	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	12VULN|3DUR|4DUST|5BEXP|6CDMG|7TLV|8LIT|9RCR|aMDPS
14	21655 11311	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	12VULN|3DUR|4DUST|5LHND|6CDMG|7TLV|8LIT|9RCR|aMDPS
15	21351 11311	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	12VULN|3LHND|4DUST|5DUR|6CDMG|7TLV|8LIT|9RCR|aMDPS
16	61636 23331	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1DUST|24VULN|3LIT|5FEWX|6DUR|7RCR|8TLV|9CDMG|aMDPS
17	33623 11321	 * 	383.65	DCR|2VULN|1MDPS|2CDMG|2DUR	1AETHUN|28CDMG|38VULN|4ZMB|5LIT|6RCR|78DUR|8BPWR|9LWND|aMDPS
18	33623 11361	   	383.65	DCR|2VULN|1MDPS|2CDMG|2DUR	1AETHUN|28CDMG|38VULN|4ZMB|5LIT|6RCR|78DUR|8BPWR|9LHND|aMDPS
19	35622 11152	 * 	383.28	3VULN|1MDPS|2TLV|2DMG|1CDMG|1DUR	1AETHUN|29DMG|3DUR|489VULN|5ERES|6CDMG|79TLV|9BPWR|aMDPS
20	24243 11233	   	383.07	DCR|DCR|3VULN|1CDMG|1DUR	189VULN|2BOSS|3ASPD|4CDMG|5FEWX|6aRCR|7DUR
21	21135 13431	   	381.87	2MDPS|3VULN|1TLV|1DUR	125VULN|3ZMB|4FEWX|6DUR|7TLV|8aMDPS|9RCVC
22	21145 13431	   	381.87	2MDPS|3VULN|1TLV|1DUR	125VULN|3ZMB|4BEXP|6DUR|7TLV|8aMDPS|9RCVC
23	21115 13431	   	381.77	2MDPS|3VULN|1TLV|1DUR	125VULN|3ZMB|4DUST|6DUR|7TLV|8aMDPS|9RCVC
24	22625 33411	   	381.77	2MDPS|3VULN|1TLV|1DUR	145VULN|2ASPD|3DUR|69LHND|7TLV|8aMDPS
25	21614 11613	 * 	380.11	DCR|4VULN|1MDPS|1CDMG|2DUR|1TLV	1259VULN|35DUR|4MDPS|5BPWR|6CDMG|7TLV|8TBNT|aRCR
26	24152 33531	   	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	15VULN|2BOSS|3LHND|4DUR|6FEWX|7RCR|8DMG|9CDMG|aMDPS
27	24343 11221	   	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	18VULN|2BOSS|3DMG|4CDMG|5FEWX|6RCR|7DUR|9LWND|aMDPS
28	24343 11261	   	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	18VULN|2BOSS|3DMG|4CDMG|5FEWX|6RCR|7DUR|9LHND|aMDPS
